axis,panel_kind,locus_tag,direction
cell_death,positive,PMM0191,1
cell_death,positive,PMM0400,-1
cell_death,positive,PMM1171,-1
n_stress,positive,PMM0246,1
n_stress,positive,PMM0920,1
n_stress,positive,PMM0263,1
n_stress,positive,PMM1463,1
n_stress,positive,PMM0970,1
oxidative,positive,PMM1294,1
oxidative,positive,PMM0856,1
oxidative,positive,PMM0079,-1
oxidative,positive,PMM1061,1
oxidative,positive,PMM0567,1
photo,positive,PMM0223,-1
photo,positive,PMM1157,-1
photo,positive,PMM0743,-1
photo,positive,PMM1404,1
photo,positive,PMM0064,1
proteotoxic,positive,PMM1436,1
proteotoxic,positive,PMM1432,1
proteotoxic,positive,PMM0901,1
proteotoxic,positive,PMM1657,-1
proteotoxic,positive,PMM1437,1
n_stress,cyanorak,PMM0246,1
n_stress,cyanorak,PMM0263,1
n_stress,cyanorak,PMM0370,1
n_stress,cyanorak,PMM0371,1
n_stress,cyanorak,PMM0372,1
n_stress,cyanorak,PMM0373,1
n_stress,cyanorak,PMM0407,1
n_stress,cyanorak,PMM0408,1
n_stress,cyanorak,PMM0409,1
n_stress,cyanorak,PMM0642,1
n_stress,cyanorak,PMM0920,1
n_stress,cyanorak,PMM0951,1
n_stress,cyanorak,PMM0963,1
n_stress,cyanorak,PMM0964,1
n_stress,cyanorak,PMM0965,1
n_stress,cyanorak,PMM0966,1
n_stress,cyanorak,PMM0967,1
n_stress,cyanorak,PMM0968,1
n_stress,cyanorak,PMM0969,1
n_stress,cyanorak,PMM0970,1
n_stress,cyanorak,PMM0971,1
n_stress,cyanorak,PMM0972,1
n_stress,cyanorak,PMM0973,1
n_stress,cyanorak,PMM0974,1
n_stress,cyanorak,PMM1463,1
n_stress,cyanorak,PMM1512,1
n_stress,cyanorak,PMM1569,1
n_stress,cyanorak,PMM1670,1
oxidative,cyanorak,PMM0070,1
oxidative,cyanorak,PMM0079,1
oxidative,cyanorak,PMM0110,1
oxidative,cyanorak,PMM0178,1
oxidative,cyanorak,PMM0211,1
oxidative,cyanorak,PMM0221,1
oxidative,cyanorak,PMM0283,1
oxidative,cyanorak,PMM0559,1
oxidative,cyanorak,PMM0567,1
oxidative,cyanorak,PMM0653,1
oxidative,cyanorak,PMM0856,1
oxidative,cyanorak,PMM0976,1
oxidative,cyanorak,PMM0977,1
oxidative,cyanorak,PMM0978,1
oxidative,cyanorak,PMM1001,1
oxidative,cyanorak,PMM1025,1
oxidative,cyanorak,PMM1052,1
oxidative,cyanorak,PMM1061,1
oxidative,cyanorak,PMM1111,1
oxidative,cyanorak,PMM1150,1
oxidative,cyanorak,PMM1172,1
oxidative,cyanorak,PMM1294,1
oxidative,cyanorak,PMM1295,1
oxidative,cyanorak,PMM1333,1
oxidative,cyanorak,PMM1459,1
proteotoxic,cyanorak,PMM0016,1
proteotoxic,cyanorak,PMM0017,1
proteotoxic,cyanorak,PMM0122,1
proteotoxic,cyanorak,PMM0132,1
proteotoxic,cyanorak,PMM0207,1
proteotoxic,cyanorak,PMM0296,1
proteotoxic,cyanorak,PMM0452,1
proteotoxic,cyanorak,PMM0474,1
proteotoxic,cyanorak,PMM0482,1
proteotoxic,cyanorak,PMM0580,1
proteotoxic,cyanorak,PMM0873,1
proteotoxic,cyanorak,PMM0894,1
proteotoxic,cyanorak,PMM0896,1
proteotoxic,cyanorak,PMM0897,1
proteotoxic,cyanorak,PMM0901,1
proteotoxic,cyanorak,PMM1088,1
proteotoxic,cyanorak,PMM1106,1
proteotoxic,cyanorak,PMM1156,1
proteotoxic,cyanorak,PMM1293,1
proteotoxic,cyanorak,PMM1295,1
proteotoxic,cyanorak,PMM1432,1
proteotoxic,cyanorak,PMM1436,1
proteotoxic,cyanorak,PMM1437,1
proteotoxic,cyanorak,PMM1474,1
proteotoxic,cyanorak,PMM1480,1
proteotoxic,cyanorak,PMM1655,1
proteotoxic,cyanorak,PMM1657,1
proteotoxic,cyanorak,PMM1704,1
photo,cyanorak,PMM0062,-1
photo,cyanorak,PMM0223,-1
photo,cyanorak,PMM0228,-1
photo,cyanorak,PMM0251,-1
photo,cyanorak,PMM0252,-1
photo,cyanorak,PMM0253,-1
photo,cyanorak,PMM0272,-1
photo,cyanorak,PMM0296,-1
photo,cyanorak,PMM0297,-1
photo,cyanorak,PMM0298,-1
photo,cyanorak,PMM0299,-1
photo,cyanorak,PMM0300,-1
photo,cyanorak,PMM0314,-1
photo,cyanorak,PMM0315,-1
photo,cyanorak,PMM0317,-1
photo,cyanorak,PMM0500,-1
photo,cyanorak,PMM0507,-1
photo,cyanorak,PMM0741,-1
photo,cyanorak,PMM0840,-1
photo,cyanorak,PMM0926,-1
photo,cyanorak,PMM0944,-1
photo,cyanorak,PMM1098,-1
photo,cyanorak,PMM1117,-1
photo,cyanorak,PMM1152,-1
photo,cyanorak,PMM1157,-1
photo,cyanorak,PMM1158,-1
photo,cyanorak,PMM1186,-1
photo,cyanorak,PMM1356,-1
photo,cyanorak,PMM1490,-1
photo,cyanorak,PMM1644,-1
photo,cyanorak,PMM1900,-1
