axis,panel_kind,experiment_id,experiment_short,condition,omics,timepoint,timepoint_hours,growth_phase,axis_score,axis_mean_signed_lfc,background_mean_lfc,background_sd_lfc,n_axis_with_data,n_axis_total,n_background
cell_death,positive,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 89,2136.0,nutrient_limited,0.5440483774923179,0.5618316862318263,0.06998656910684453,0.9040466573800724,3,3,1421
cell_death,positive,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 60,1440.0,nutrient_limited,0.47511814610169906,0.4715095096164263,0.07479664531638859,0.834977294710864,3,3,1421
cell_death,positive,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 31,744.0,nutrient_limited,1.03453559425821,0.8174724578857412,-0.030067882766025747,0.8192471533659278,3,3,1421
cell_death,positive,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 18,432.0,nutrient_limited,1.0998653484068615,0.611695395575628,0.005144389951394054,0.551477511772522,3,3,1421
n_stress,positive,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 89,2136.0,nutrient_limited,2.490265290544743,2.28966388702393,0.060507232660639086,0.8951482650572,5,5,1419
n_stress,positive,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 60,1440.0,nutrient_limited,2.762149768235955,2.344466400146486,0.06507955528296912,0.8252220321562236,5,5,1419
n_stress,positive,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 31,744.0,nutrient_limited,2.6559922257079953,2.118033981323246,-0.04012742377458851,0.8125631484190596,5,5,1419
n_stress,positive,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 18,432.0,nutrient_limited,2.793116575952641,1.5201412200927762,-0.0017236714523276313,0.5448626472119393,5,5,1419
n_stress,cyanorak,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 89,2136.0,nutrient_limited,1.4141441824569763,1.273180890966346,0.045048102021814716,0.8684636292253713,27,28,1397
n_stress,cyanorak,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 60,1440.0,nutrient_limited,1.5580866047039248,1.2886010158209156,0.04959054654266349,0.7952128370384743,27,28,1397
n_stress,cyanorak,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 31,744.0,nutrient_limited,1.9086009108709945,1.4263408331223488,-0.060745774462296544,0.7791501089172225,27,28,1397
n_stress,cyanorak,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 18,432.0,nutrient_limited,2.049323055683418,1.0479910579728495,-0.01656474034048387,0.5194670480874086,27,28,1397
oxidative,positive,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 89,2136.0,nutrient_limited,0.5520137662193495,0.5674640019734711,0.06800448292433618,0.9047954047774027,5,5,1419
oxidative,positive,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 60,1440.0,nutrient_limited,0.49263155015053056,0.4842723846435554,0.0726043153654837,0.8356510441775007,5,5,1419
oxidative,positive,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 31,744.0,nutrient_limited,0.6306982816197816,0.48435656229655005,-0.03442651597664403,0.8225534988629382,5,5,1419
oxidative,positive,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 18,432.0,nutrient_limited,0.3504273792149388,0.19700597127278555,0.0029369418767239345,0.5538066969277166,5,5,1419
oxidative,cyanorak,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,proteomics_coculture,coculture,PROTEOMICS,day 89,2136.0,nutrient_limited,0.030102651603349344,0.09525978754437278,0.06793130936716653,0.9078428883044168,21,25,1403
