study,platform,condition,timepoint,core_hit_rate,core_mean_signed_log2fc,core_rank_score,extended_hit_rate,extended_mean_signed_log2fc,extended_rank_score
weissberg_2025,rnaseq,axenic,single,0.8181818181818182,2.679918089062077,0.7432983157699221,0.5068119891008175,1.1471612192320066,0.3821109576868268
weissberg_2025,rnaseq,coculture,day 18,0.0151515151515151,-0.0773325615671534,-0.0149821634407897,0.0136239782016348,-0.0384142591086152,-0.0081331244667196
weissberg_2025,rnaseq,coculture,day 31,0.1818181818181818,0.058633193885996,0.0580357386739214,0.0980926430517711,-0.0212209428059383,-0.0196880853189661
weissberg_2025,rnaseq,coculture,day 60,0.1767676767676767,0.1389299883726363,0.0678253601455332,0.1171662125340599,-0.01592355571222,0.0099133046362788
weissberg_2025,rnaseq,coculture,day 89,0.1363636363636363,0.0279646481873722,0.0612069860312153,0.0681198910081744,-0.0505736492255781,-0.0159214127085411
weissberg_2025,rnaseq,coculture,days 60+89,0.1414141414141414,0.077696874160396,0.0439221856204008,0.0681198910081744,-0.0383661992985144,-0.0131804068183258
weissberg_2025,proteomics,axenic,day 14,0.1212121212121212,0.4151861321212898,0.1129589433662467,0.0735694822888283,0.1937999225646224,0.045223188317056
weissberg_2025,proteomics,axenic,day 31,0.1868686868686868,0.3131919742649435,0.0120339632277834,0.1989100817438692,0.1727795255356943,0.0545801059302574
weissberg_2025,proteomics,axenic,day 89,0.202020202020202,0.2280397904224882,0.0365062138236295,0.1961852861035422,0.1566960824904766,0.0564438355325597
weissberg_2025,proteomics,coculture,day 18,0.0656565656565656,0.4700589628301114,0.0651139200998751,0.0435967302452316,0.2680053540828369,0.0430896580228392
weissberg_2025,proteomics,coculture,day 31,0.2828282828282828,0.7594022526700269,0.2680137044603337,0.1444141689373297,0.3289202708198607,0.0934122707650858
weissberg_2025,proteomics,coculture,day 60,0.1515151515151515,0.4142163574186145,0.1069011746680286,0.1117166212534059,0.2827316845539822,0.0735350396473073
weissberg_2025,proteomics,coculture,day 89,0.1666666666666666,0.433932149512136,0.1210596129837702,0.1280653950953678,0.3103908232621923,0.0837989468205615
weissberg_2025,proteomics,coculture,days 60+89,0.1767676767676767,0.4240742534653755,0.1261739586880036,0.1253405994550408,0.2965612539080871,0.0891413832164834
tolonen_ndep,microarray,reference,12h,0.7777777777777778,1.6600748256741469,0.7451652649059839,0.3896457765667575,0.8754157636656968,0.3703169080232949
tolonen_ndep,microarray,reference,24h,0.7121212121212122,1.477319450090357,0.688291280512848,0.1798365122615803,0.6384999733941545,0.1732180045247343
tolonen_ndep,microarray,reference,48h,0.3484848484848485,1.6254267658805477,0.3438390981113433,0.0544959128065395,0.65757209828069,0.0536690007530519
tolonen_ndep,microarray,reference,6h,0.5858585858585859,1.204969436306654,0.5671803479699766,0.2888283378746594,0.6398466698153378,0.277832816044984
read_ndep,rnaseq,reference,12h,0.7474747474747475,2.43479381443299,0.6999639249639249,0.1689373297002724,0.970103448275862,0.1489684702218762
read_ndep,rnaseq,reference,24h,0.8585858585858586,2.5245454545454544,0.7923135220907787,0.2915531335149863,1.1413013698630137,0.2605358232364694
read_ndep,rnaseq,reference,3h,0.0808080808080808,0.0932994923857868,0.0380619512605243,0.1525885558583106,0.3399651567944251,0.1295719705683191
