locus_tag,gene_name,product,timepoint,omics_type,log2fc,expression_status,rank,rank_up,rank_down
ACZ81_00520,hemC,hydroxymethylbilane synthase,day 60,RNASEQ,-1.0105887916849954,significant_down,1080,,524.0
ACZ81_01160,ramA,carbon-nitrogen hydrolase family protein,day 18,RNASEQ,-1.314758844882753,significant_down,543,,234.0
ACZ81_01160,ramA,carbon-nitrogen hydrolase family protein,day 31,RNASEQ,-1.4176232192076204,significant_down,603,,321.0
ACZ81_01160,ramA,carbon-nitrogen hydrolase family protein,day 60,RNASEQ,-1.1076449775380188,significant_down,933,,481.0
ACZ81_01825,glnK,P-II family nitrogen regulator,day 31,RNASEQ,5.315746515296258,significant_up,12,8.0,
ACZ81_01825,glnK,P-II family nitrogen regulator,day 60,RNASEQ,5.384504757584833,significant_up,10,7.0,
ACZ81_01825,glnK,P-II family nitrogen regulator,day 89,RNASEQ,4.263486858396482,significant_up,29,20.0,
ACZ81_01825,glnK,P-II family nitrogen regulator,days 60+89,RNASEQ,4.930105204121131,significant_up,12,8.0,
ACZ81_02070,argC,N-acetyl-gamma-glutamyl-phosphate reductase,day 60,PROTEOMICS,-1.05142339070638,significant_down,637,,245.0
ACZ81_02660,fadB,fatty acid oxidation complex subunit alpha FadB,day 31,PROTEOMICS,1.37239583333333,significant_up,284,149.0,
ACZ81_02660,fadB,fatty acid oxidation complex subunit alpha FadB,day 60,PROTEOMICS,2.04833666483561,significant_up,148,83.0,
ACZ81_02660,fadB,fatty acid oxidation complex subunit alpha FadB,day 89,PROTEOMICS,2.40910085042318,significant_up,101,67.0,
ACZ81_02660,fadB,fatty acid oxidation complex subunit alpha FadB,days 60+89,PROTEOMICS,2.2287187576294,significant_up,113,69.0,
ACZ81_02730,nlpD,peptidoglycan DD-metalloendopeptidase family protein,day 31,RNASEQ,-1.1436326236383805,significant_down,891,,425.0
ACZ81_02730,nlpD,peptidoglycan DD-metalloendopeptidase family protein,day 89,RNASEQ,-1.183014501097096,significant_down,800,,471.0
ACZ81_02790,putA,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA,day 18,RNASEQ,-1.208837998027546,significant_down,651,,268.0
ACZ81_02790,putA,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA,day 31,RNASEQ,-1.1593474263294845,significant_down,873,,419.0
ACZ81_02790,putA,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA,day 60,RNASEQ,-1.3544654008033268,significant_down,674,,375.0
ACZ81_02790,putA,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA,day 89,RNASEQ,-1.1170687155530092,significant_down,885,,507.0
ACZ81_02790,putA,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA,days 60+89,RNASEQ,-1.2308295344912812,significant_down,730,,431.0
ACZ81_03695,sspB,ClpXP protease specificity-enhancing factor,day 89,PROTEOMICS,-1.59455553690592,significant_down,306,,109.0
ACZ81_03695,sspB,ClpXP protease specificity-enhancing factor,days 60+89,PROTEOMICS,-1.38328615824382,significant_down,385,,156.0
ACZ81_03730,ptsN,PTS IIA-like nitrogen regulatory protein PtsN,day 60,PROTEOMICS,-1.71597735087077,significant_down,249,,98.0
ACZ81_03730,ptsN,PTS IIA-like nitrogen regulatory protein PtsN,day 89,PROTEOMICS,-1.13715807596843,significant_down,587,,214.0
ACZ81_03730,ptsN,PTS IIA-like nitrogen regulatory protein PtsN,days 60+89,PROTEOMICS,-1.4265677134196,significant_down,355,,141.0
ACZ81_03775,mlaF,phospholipid ABC transporter ATP-binding protein MlaF,days 60+89,RNASEQ,-1.27407203086483,significant_down,673,,400.0
ACZ81_03780,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE,day 89,RNASEQ,-1.252155522167862,significant_down,739,,441.0
ACZ81_03780,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE,days 60+89,RNASEQ,-1.1221474607742223,significant_down,849,,480.0
ACZ81_03785,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,day 18,PROTEOMICS,1.89818445841471,significant_up,31,13.0,
ACZ81_03785,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,day 60,PROTEOMICS,1.65119806925456,significant_up,269,150.0,
ACZ81_03785,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,day 89,PROTEOMICS,2.01523462931315,significant_up,163,102.0,
ACZ81_03785,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,days 60+89,PROTEOMICS,1.83321634928386,significant_up,199,120.0,
ACZ81_03790,ttg2D,MlaC/ttg2D family ABC transporter substrate-binding protein,day 89,RNASEQ,-1.0104152347334807,significant_down,1041,,554.0
ACZ81_03820,degQ,DegQ family serine endoprotease,day 60,RNASEQ,-1.6781088236429529,significant_down,442,,256.0
ACZ81_03820,degQ,DegQ family serine endoprotease,days 60+89,RNASEQ,-1.2197590184005151,significant_down,738,,434.0
ACZ81_04585,pyrG,CTP synthase,day 89,RNASEQ,1.2973830323500095,significant_up,683,182.0,
ACZ81_04830,map,type I methionyl aminopeptidase,day 31,RNASEQ,-1.026385942243803,significant_down,1043,,476.0
ACZ81_04830,map,type I methionyl aminopeptidase,day 60,PROTEOMICS,1.06589571634928,significant_up,624,299.0,
ACZ81_04830,map,type I methionyl aminopeptidase,day 60,RNASEQ,-1.081804580669104,significant_down,966,,491.0
ACZ81_04830,map,type I methionyl aminopeptidase,day 89,PROTEOMICS,1.16862042744954,significant_up,560,295.0,
ACZ81_04830,map,type I methionyl aminopeptidase,days 60+89,PROTEOMICS,1.11725807189941,significant_up,578,301.0,
ACZ81_04935,tadA,tRNA adenosine(34) deaminase TadA,day 18,RNASEQ,-1.5045387641686765,significant_down,402,,178.0
ACZ81_04935,tadA,tRNA adenosine(34) deaminase TadA,day 31,RNASEQ,-1.201583491405665,significant_down,814,,401.0
ACZ81_04935,tadA,tRNA adenosine(34) deaminase TadA,day 60,RNASEQ,-1.2666756847605094,significant_down,740,,405.0
ACZ81_04935,tadA,tRNA adenosine(34) deaminase TadA,day 89,RNASEQ,-1.5880138154643244,significant_down,439,,295.0
ACZ81_04935,tadA,tRNA adenosine(34) deaminase TadA,days 60+89,RNASEQ,-1.4188028062287903,significant_down,542,,333.0
ACZ81_05380,pepO,M13 family metallopeptidase,day 18,RNASEQ,1.0394786363486042,significant_up,821,322.0,
ACZ81_05380,pepO,M13 family metallopeptidase,day 31,RNASEQ,1.464457018580215,significant_up,564,218.0,
