hit_rate_concordant,hit_rate_reversed,concordant_hits,reversed_hits,not_significant,mean_signed_log2fc,n_detected,rank_score,n_concordant_rank,n_reversed_rank,study,platform,condition,timepoint,timepoint_hours,total_genes_in_experiment,signature_genes_total
0.5068119891008175,0.07901907356948229,186,29,152,1.1471612192320066,362,0.3821109576868268,186,29,weissberg_2025,rnaseq,axenic,single,,1849,367
0.013623978201634877,0.021798365122615803,5,8,354,-0.03841425910861525,362,-0.008133124466719622,5,8,weissberg_2025,rnaseq,coculture,day 18,432.0,1849,367
0.09809264305177112,0.11989100817438691,36,44,287,-0.021220942805938395,362,-0.01968808531896614,36,44,weissberg_2025,rnaseq,coculture,day 31,744.0,1849,367
0.11716621253405994,0.10626702997275204,43,39,285,-0.015923555712220008,362,0.009913304636278838,43,39,weissberg_2025,rnaseq,coculture,day 60,1440.0,1849,367
0.0681198910081744,0.08446866485013624,25,31,311,-0.050573649225578145,362,-0.015921412708541176,25,31,weissberg_2025,rnaseq,coculture,day 89,2136.0,1849,367
0.0681198910081744,0.08174386920980926,25,30,312,-0.038366199298514404,362,-0.013180406818325835,25,30,weissberg_2025,rnaseq,coculture,days 60+89,,1849,367
0.07356948228882834,0.027247956403269755,27,10,330,0.19379992256462247,299,0.045223188317056,27,10,weissberg_2025,proteomics,axenic,day 14,336.0,1424,367
0.1989100817438692,0.14168937329700274,73,52,242,0.1727795255356943,299,0.05458010593025747,73,52,weissberg_2025,proteomics,axenic,day 31,744.0,1424,367
0.19618528610354224,0.1362397820163488,72,50,245,0.15669608249047662,299,0.056443835532559786,72,50,weissberg_2025,proteomics,axenic,day 89,2136.0,1424,367
0.043596730245231606,0.0,16,0,351,0.2680053540828369,299,0.043089658022839296,16,0,weissberg_2025,proteomics,coculture,day 18,432.0,1424,367
0.1444141689373297,0.04632152588555858,53,17,297,0.3289202708198607,299,0.09341227076508589,53,17,weissberg_2025,proteomics,coculture,day 31,744.0,1424,367
0.11171662125340599,0.035422343324250684,41,13,313,0.28273168455398223,299,0.07353503964730736,41,13,weissberg_2025,proteomics,coculture,day 60,1440.0,1424,367
0.12806539509536785,0.04087193460490463,47,15,305,0.31039082326219236,299,0.0837989468205615,47,15,weissberg_2025,proteomics,coculture,day 89,2136.0,1424,367
0.12534059945504086,0.0326975476839237,46,12,309,0.2965612539080871,299,0.08914138321648347,46,12,weissberg_2025,proteomics,coculture,days 60+89,,1424,367
0.3896457765667575,0.0,143,0,224,0.8754157636656968,354,0.3703169080232949,143,0,tolonen_ndep,microarray,reference,12h,12.0,1697,367
0.17983651226158037,0.0,66,0,301,0.6384999733941545,354,0.17321800452473432,66,0,tolonen_ndep,microarray,reference,24h,24.0,1697,367
0.05449591280653951,0.0,20,0,347,0.65757209828069,354,0.05366900075305195,20,0,tolonen_ndep,microarray,reference,48h,48.0,1697,367
0.2888283378746594,0.0,106,0,261,0.6398466698153378,354,0.277832816044984,106,0,tolonen_ndep,microarray,reference,6h,6.0,1697,367
0.16893732970027248,0.008174386920980926,62,3,302,0.970103448275862,290,0.1489684702218762,62,3,read_ndep,rnaseq,reference,12h,12.0,840,367
0.29155313351498635,0.0027247956403269754,107,1,259,1.1413013698630137,292,0.26053582323646945,107,1,read_ndep,rnaseq,reference,24h,24.0,853,367
0.15258855585831063,0.01907356948228883,56,7,304,0.3399651567944251,287,0.12957197056831912,56,7,read_ndep,rnaseq,reference,3h,3.0,841,367
