hit_rate_concordant,hit_rate_reversed,concordant_hits,reversed_hits,not_significant,mean_signed_log2fc,n_detected,rank_score,n_concordant_rank,n_reversed_rank,study,platform,condition,timepoint,timepoint_hours,total_genes_in_experiment,signature_genes_total
0.8181818181818182,0.015151515151515152,162,3,33,2.679918089062077,194,0.7432983157699221,162,3,weissberg_2025,rnaseq,axenic,single,,1849,198
0.015151515151515152,0.030303030303030304,3,6,189,-0.0773325615671534,194,-0.014982163440789726,3,6,weissberg_2025,rnaseq,coculture,day 18,432.0,1849,198
0.18181818181818182,0.12121212121212122,36,24,138,0.05863319388599606,194,0.058035738673921464,36,24,weissberg_2025,rnaseq,coculture,day 31,744.0,1849,198
0.17676767676767677,0.10606060606060606,35,21,142,0.13892998837263637,194,0.0678253601455332,35,21,weissberg_2025,rnaseq,coculture,day 60,1440.0,1849,198
0.13636363636363635,0.0707070707070707,27,14,157,0.027964648187372276,194,0.061206986031215334,27,14,weissberg_2025,rnaseq,coculture,day 89,2136.0,1849,198
0.1414141414141414,0.09595959595959595,28,19,151,0.077696874160396,194,0.04392218562040087,28,19,weissberg_2025,rnaseq,coculture,days 60+89,,1849,198
0.12121212121212122,0.005050505050505051,24,1,173,0.4151861321212898,156,0.11295894336624673,24,1,weissberg_2025,proteomics,axenic,day 14,336.0,1424,198
0.18686868686868688,0.18181818181818182,37,36,125,0.31319197426494355,156,0.012033963227783452,37,36,weissberg_2025,proteomics,axenic,day 31,744.0,1424,198
0.20202020202020202,0.16666666666666666,40,33,125,0.2280397904224882,156,0.03650621382362955,40,33,weissberg_2025,proteomics,axenic,day 89,2136.0,1424,198
0.06565656565656566,0.0,13,0,185,0.4700589628301114,156,0.06511392009987516,13,0,weissberg_2025,proteomics,coculture,day 18,432.0,1424,198
0.2828282828282828,0.005050505050505051,56,1,141,0.7594022526700269,156,0.2680137044603337,56,1,weissberg_2025,proteomics,coculture,day 31,744.0,1424,198
0.15151515151515152,0.04040404040404041,30,8,160,0.4142163574186145,156,0.1069011746680286,30,8,weissberg_2025,proteomics,coculture,day 60,1440.0,1424,198
0.16666666666666666,0.04040404040404041,33,8,157,0.43393214951213605,156,0.12105961298377028,33,8,weissberg_2025,proteomics,coculture,day 89,2136.0,1424,198
0.17676767676767677,0.045454545454545456,35,9,154,0.4240742534653755,156,0.12617395868800363,35,9,weissberg_2025,proteomics,coculture,days 60+89,,1424,198
0.7777777777777778,0.0,154,0,44,1.6600748256741467,198,0.7451652649059839,154,0,tolonen_ndep,microarray,reference,12h,12.0,1697,198
0.7121212121212122,0.0,141,0,57,1.477319450090357,198,0.688291280512848,141,0,tolonen_ndep,microarray,reference,24h,24.0,1697,198
0.3484848484848485,0.0,69,0,129,1.6254267658805475,198,0.3438390981113433,69,0,tolonen_ndep,microarray,reference,48h,48.0,1697,198
0.5858585858585859,0.0,116,0,82,1.2049694363066539,198,0.5671803479699766,116,0,tolonen_ndep,microarray,reference,6h,6.0,1697,198
0.7474747474747475,0.0,148,0,50,2.43479381443299,194,0.6999639249639249,148,0,read_ndep,rnaseq,reference,12h,12.0,840,198
0.8585858585858586,0.0,170,0,28,2.5245454545454544,198,0.7923135220907787,170,0,read_ndep,rnaseq,reference,24h,24.0,853,198
0.08080808080808081,0.04040404040404041,16,8,174,0.09329949238578682,197,0.03806195126052439,16,8,read_ndep,rnaseq,reference,3h,3.0,841,198
