axis,panel_kind,experiment_short,condition,omics,timepoint,timepoint_hours,growth_phase,n_axis_with_data,axis_score,permutation_p_raw,permutation_n_exceed,permutation_mean,permutation_sd,permutation_p_bh,sig_05,sig_01
oxidative,cyanorak,proteomics_coculture,coculture,PROTEOMICS,day 89,2136.0,nutrient_limited,21,0.0301026516033493,0.42255774422557746,4225,-0.004665925771671309,0.22249931957135013,0.44741408212119965,False,False
oxidative,cyanorak,proteomics_coculture,coculture,PROTEOMICS,day 60,1440.0,nutrient_limited,21,0.1318162008857281,0.26447355264473554,2644,-0.0014451510868098278,0.22069940388810383,0.33212957773990043,False,False
oxidative,cyanorak,proteomics_coculture,coculture,PROTEOMICS,day 31,744.0,nutrient_limited,21,0.2255768782927712,0.1504849515048495,1504,-0.0029000355740060237,0.22097071200659738,0.23900551121358452,False,False
oxidative,cyanorak,proteomics_coculture,coculture,PROTEOMICS,day 18,432.0,nutrient_limited,21,-0.1745497052076416,0.21377862213778623,2137,-4.029761468745843e-05,0.22167601283254773,0.2847227472374714,False,False
photo,positive,proteomics_coculture,coculture,PROTEOMICS,day 89,2136.0,nutrient_limited,3,1.1498078647892085,0.0086991300869913,86,-0.13951665481632572,0.5751105934334848,0.03167683231676833,True,False
photo,positive,proteomics_coculture,coculture,PROTEOMICS,day 60,1440.0,nutrient_limited,3,1.0672198275429838,0.008799120087991202,87,-0.18272209998354869,0.5794675067364791,0.03167683231676833,True,False
photo,positive,proteomics_coculture,coculture,PROTEOMICS,day 31,744.0,nutrient_limited,3,2.136678358792427,0.0004999500049995,4,0.08066301023836481,0.5713551428399366,0.0028418210810497897,True,True
photo,positive,proteomics_coculture,coculture,PROTEOMICS,day 18,432.0,nutrient_limited,3,1.065751727672908,0.027797220277972202,277,-0.008723005015361015,0.5766983011675981,0.07697691769284609,False,False
photo,cyanorak,proteomics_coculture,coculture,PROTEOMICS,day 89,2136.0,nutrient_limited,22,0.3085033022995723,0.0084991500849915,84,-0.15741030948190146,0.20729633539073342,0.03167683231676833,True,False
photo,cyanorak,proteomics_coculture,coculture,PROTEOMICS,day 60,1440.0,nutrient_limited,22,0.1639502886412894,0.041995800419958006,419,-0.18118130322684975,0.20710886022984099,0.09859883576859706,False,False
photo,cyanorak,proteomics_coculture,coculture,PROTEOMICS,day 31,744.0,nutrient_limited,22,0.789574384260326,9.999000099990002e-05,0,0.06835462072133514,0.20431787419772987,0.00071992800719928,True,True
photo,cyanorak,proteomics_coculture,coculture,PROTEOMICS,day 18,432.0,nutrient_limited,22,0.448970677972718,0.012198780121987801,121,-0.02025826688904999,0.21037142165135783,0.0399232803992328,True,False
proteotoxic,positive,proteomics_coculture,coculture,PROTEOMICS,day 89,2136.0,nutrient_limited,5,0.3509131378009961,0.18068193180681932,1806,-0.03945027177500581,0.4472786308299625,0.2748401216216407,False,False
proteotoxic,positive,proteomics_coculture,coculture,PROTEOMICS,day 60,1440.0,nutrient_limited,5,0.1987290579443738,0.27687231276872315,2768,-0.03621646167213768,0.4476552126972266,0.339513301417111,False,False
proteotoxic,positive,proteomics_coculture,coculture,PROTEOMICS,day 31,744.0,nutrient_limited,5,0.4698533942207251,0.1476852314768523,1476,0.0212084719932539,0.44508317547071957,0.23805977611194104,False,False
proteotoxic,positive,proteomics_coculture,coculture,PROTEOMICS,day 18,432.0,nutrient_limited,5,-0.0603415146253395,0.45095490450954906,4509,-0.0011992437755124997,0.4513528026418619,0.4682993239137625,False,False
proteotoxic,cyanorak,proteomics_coculture,coculture,PROTEOMICS,day 89,2136.0,nutrient_limited,27,0.2611376548982786,0.08259174082591741,825,-0.007002180681431816,0.19254163259003107,0.17319806480890373,False,False
proteotoxic,cyanorak,proteomics_coculture,coculture,PROTEOMICS,day 60,1440.0,nutrient_limited,27,0.2463100035447997,0.10008999100089991,1000,-0.00377915492218856,0.19220902405373044,0.19303069693030697,False,False
proteotoxic,cyanorak,proteomics_coculture,coculture,PROTEOMICS,day 31,744.0,nutrient_limited,27,-0.1547112024297735,0.20277972202779723,2027,0.0030139599967305996,0.19475763325118825,0.2807719228077193,False,False
proteotoxic,cyanorak,proteomics_coculture,coculture,PROTEOMICS,day 18,432.0,nutrient_limited,27,-0.2360127065918523,0.1055894410558944,1055,0.0023014695144551863,0.19453911915269287,0.1932823666785864,False,False
cell_death,positive,proteomics_axenic,axenic,PROTEOMICS,day 89,2136.0,death,3,0.4787431938883419,0.14578542145785423,1457,-0.10522767725241589,0.5782050739389758,0.23805977611194104,False,False
cell_death,positive,proteomics_axenic,axenic,PROTEOMICS,day 31,744.0,death,3,0.549640570511349,0.18648135186481352,1864,0.05733063130421599,0.5792904187896081,0.27774822517748227,False,False
cell_death,positive,proteomics_axenic,axenic,PROTEOMICS,day 14,336.0,nutrient_limited,3,0.87055135579799,0.06729327067293271,672,0.06171611716123373,0.5846638164346852,0.1483198618913619,False,False
n_stress,positive,proteomics_axenic,axenic,PROTEOMICS,day 89,2136.0,death,5,1.0118305666521883,0.010698930106989302,106,-0.0011533923567672289,0.4470558672630437,0.03610888911108889,True,False
n_stress,positive,proteomics_axenic,axenic,PROTEOMICS,day 31,744.0,death,5,0.9265501648933996,0.012898710128987101,128,-0.006566005973726888,0.4441337882955658,0.040972373350900204,True,False
n_stress,positive,proteomics_axenic,axenic,PROTEOMICS,day 14,336.0,nutrient_limited,5,1.7068766766298755,0.0005999400059994001,5,-0.0013824730745604014,0.4409452989466237,0.0032396760323967605,True,True
