clade_group,pathway,n_strains_in_group,in_present,in_absent,out_present,out_absent,odds_ratio,p_value,q_value_bh
Pro HLI,regulation,2,2,0,17,0,,1.0,1.0
Pro HLI,assimilation_core,2,2,0,17,0,,1.0,1.0
Pro HLI,ammonium_uptake,2,2,0,17,0,,1.0,1.0
Pro HLI,urea_uptake,2,2,0,14,3,inf,1.0,1.0
Pro HLI,urease,2,2,0,13,4,inf,1.0,1.0
Pro HLI,cyanate,2,2,0,10,7,inf,0.5087719298245614,1.0
Pro HLI,nitrate_nitrite,2,0,2,13,4,0.0,0.08771929824561403,1.0
Pro HLI,mo_cofactor,2,2,0,17,0,,1.0,1.0
Pro HLI,met_biosynthesis,2,2,0,17,0,,1.0,1.0
Pro HLI,other,2,2,0,10,7,inf,0.5087719298245614,1.0
Pro HLII,regulation,3,3,0,16,0,,1.0,1.0
Pro HLII,assimilation_core,3,3,0,16,0,,1.0,1.0
Pro HLII,ammonium_uptake,3,3,0,16,0,,1.0,1.0
Pro HLII,urea_uptake,3,3,0,13,3,inf,1.0,1.0
Pro HLII,urease,3,3,0,12,4,inf,1.0,1.0
Pro HLII,cyanate,3,0,3,12,4,0.0,0.03611971104231166,0.9631922944616443
Pro HLII,nitrate_nitrite,3,0,3,13,3,0.0,0.02063983488132095,0.9631922944616443
Pro HLII,mo_cofactor,3,3,0,16,0,,1.0,1.0
Pro HLII,met_biosynthesis,3,3,0,16,0,,1.0,1.0
Pro HLII,other,3,3,0,9,7,inf,0.2631578947368421,1.0
Pro LLI,regulation,3,3,0,16,0,,1.0,1.0
Pro LLI,assimilation_core,3,3,0,16,0,,1.0,1.0
Pro LLI,ammonium_uptake,3,3,0,16,0,,1.0,1.0
Pro LLI,urea_uptake,3,3,0,13,3,inf,1.0,1.0
Pro LLI,urease,3,3,0,12,4,inf,1.0,1.0
Pro LLI,cyanate,3,3,0,9,7,inf,0.2631578947368421,1.0
Pro LLI,nitrate_nitrite,3,3,0,10,6,inf,0.5170278637770898,1.0
Pro LLI,mo_cofactor,3,3,0,16,0,,1.0,1.0
Pro LLI,met_biosynthesis,3,3,0,16,0,,1.0,1.0
Pro LLI,other,3,3,0,9,7,inf,0.2631578947368421,1.0
Pro LLII,regulation,1,1,0,18,0,,1.0,1.0
Pro LLII,assimilation_core,1,1,0,18,0,,1.0,1.0
Pro LLII,ammonium_uptake,1,1,0,18,0,,1.0,1.0
Pro LLII,urea_uptake,1,0,1,16,2,0.0,0.15789473684210525,1.0
Pro LLII,urease,1,0,1,15,3,0.0,0.21052631578947367,1.0
Pro LLII,cyanate,1,0,1,12,6,0.0,0.368421052631579,1.0
Pro LLII,nitrate_nitrite,1,0,1,13,5,0.0,0.31578947368421056,1.0
Pro LLII,mo_cofactor,1,1,0,18,0,,1.0,1.0
Pro LLII,met_biosynthesis,1,1,0,18,0,,1.0,1.0
Pro LLII,other,1,1,0,11,7,inf,1.0,1.0
Pro LLIV,regulation,2,2,0,17,0,,1.0,1.0
