clade_group,pathway,n_strains_in_group,in_present,in_absent,out_present,out_absent,odds_ratio,p_value,q_value_bh
Pro LLIV,assimilation_core,2,2,0,17,0,,1.0,1.0
Pro LLIV,ammonium_uptake,2,2,0,17,0,,1.0,1.0
Pro LLIV,urea_uptake,2,2,0,14,3,inf,1.0,1.0
Pro LLIV,urease,2,2,0,13,4,inf,1.0,1.0
Pro LLIV,cyanate,2,0,2,12,5,0.0,0.12280701754385966,1.0
Pro LLIV,nitrate_nitrite,2,2,0,11,6,inf,1.0,1.0
Pro LLIV,mo_cofactor,2,2,0,17,0,,1.0,1.0
Pro LLIV,met_biosynthesis,2,2,0,17,0,,1.0,1.0
Pro LLIV,other,2,2,0,10,7,inf,0.5087719298245614,1.0
Marine Syn,regulation,4,4,0,15,0,,1.0,1.0
Marine Syn,assimilation_core,4,4,0,15,0,,1.0,1.0
Marine Syn,ammonium_uptake,4,4,0,15,0,,1.0,1.0
Marine Syn,urea_uptake,4,4,0,12,3,inf,1.0,1.0
Marine Syn,urease,4,3,1,12,3,0.75,1.0,1.0
Marine Syn,cyanate,4,4,0,8,7,inf,0.24509803921568626,1.0
Marine Syn,nitrate_nitrite,4,4,0,9,6,inf,0.2554179566563468,1.0
Marine Syn,mo_cofactor,4,4,0,15,0,,1.0,1.0
Marine Syn,met_biosynthesis,4,4,0,15,0,,1.0,1.0
Marine Syn,other,4,1,3,11,4,0.12121212121212122,0.11738906088751289,1.0
Non-marine Syn,regulation,3,3,0,16,0,,1.0,1.0
Non-marine Syn,assimilation_core,3,3,0,16,0,,1.0,1.0
Non-marine Syn,ammonium_uptake,3,3,0,16,0,,1.0,1.0
Non-marine Syn,urea_uptake,3,1,2,15,1,0.03333333333333333,0.05056759545923632,1.0
Non-marine Syn,urease,3,1,2,14,2,0.07142857142857142,0.09700722394220845,1.0
Non-marine Syn,cyanate,3,3,0,9,7,inf,0.2631578947368421,1.0
Non-marine Syn,nitrate_nitrite,3,3,0,10,6,inf,0.5170278637770898,1.0
Non-marine Syn,mo_cofactor,3,3,0,16,0,,1.0,1.0
Non-marine Syn,met_biosynthesis,3,3,0,16,0,,1.0,1.0
Non-marine Syn,other,3,0,3,12,4,0.0,0.03611971104231166,0.9631922944616443
Thermosyn,regulation,1,1,0,18,0,,1.0,1.0
Thermosyn,assimilation_core,1,1,0,18,0,,1.0,1.0
Thermosyn,ammonium_uptake,1,1,0,18,0,,1.0,1.0
Thermosyn,urea_uptake,1,1,0,15,3,inf,1.0,1.0
Thermosyn,urease,1,1,0,14,4,inf,1.0,1.0
Thermosyn,cyanate,1,0,1,12,6,0.0,0.368421052631579,1.0
Thermosyn,nitrate_nitrite,1,1,0,12,6,inf,1.0,1.0
Thermosyn,mo_cofactor,1,1,0,18,0,,1.0,1.0
Thermosyn,met_biosynthesis,1,1,0,18,0,,1.0,1.0
Thermosyn,other,1,0,1,12,6,0.0,0.368421052631579,1.0
