contrast,pathway,a_n,a_median_pct,b_n,b_median_pct,U_statistic,p_value,q_value_bh
Syn vs Pro: nitrate_nitrite,nitrate_nitrite,8,0.6428571428571428,11,0.0,88.0,0.00021072979352520374,0.0005268244838130094
Syn vs Pro: mo_cofactor,mo_cofactor,8,0.7777777777777777,11,0.1111111111111111,88.0,5.922943694387844e-05,0.0002961471847193922
Marine Syn vs Non-marine Syn: met_biosynthesis,met_biosynthesis,4,1.0,4,0.4,16.0,0.01935946732736835,0.024199334159210436
HL Pro vs LL Pro: nitrate_nitrite,nitrate_nitrite,5,0.0,6,0.2857142857142857,2.5,0.011412036386001651,0.019020060643336088
HL Pro vs LL Pro: cyanate,cyanate,5,0.0,6,0.0625,16.5,0.8404757258503166,0.8404757258503166
