locus_tag,direction,log2fc,expression_status,rank,rank_up,rank_down,gene_name,de_direction,concordance,dir_rank,timepoint,label
PMM0030,up,0.905448477,not_significant,134,,,,,0,,,Tolonen cyanate
PMM0337,up,-0.397563875,not_significant,544,,,,,0,,,Tolonen cyanate
PMM0346,down,-0.441224048,not_significant,478,,,,,0,,,Tolonen cyanate
PMM0370,up,1.17115756396876,significant_up,67,13,,cynA,up,1,13.0,,Tolonen cyanate
PMM0550,down,-1.18385467279872,significant_down,63,,2,rbcL,down,1,2.0,,Tolonen cyanate
PMM1453,down,-0.720256287830524,significant_down,217,,16,atpF,down,1,16.0,,Tolonen cyanate
PMM1452,down,-0.544914956,not_significant,344,,,atpD,,0,,,Tolonen cyanate
PMM0690,up,0.908877032,not_significant,132,,,hli,,0,,,Tolonen cyanate
PMM1454,down,-0.564422711,not_significant,332,,,atpG,,0,,,Tolonen cyanate
PMM1404,up,1.39435440492259,significant_up,38,7,,hli,up,1,7.0,,Tolonen cyanate
PMM0920,up,1.39901265866978,significant_up,37,6,,glnA,up,1,6.0,,Tolonen cyanate
PMM0970,up,0.905388640964646,significant_up,135,16,,urtA,up,1,16.0,,Tolonen cyanate
PMM0699,down,1.20015494335126,significant_up,61,12,,,up,-1,12.0,,Tolonen cyanate
PMM1557,down,-0.266708841,not_significant,844,,,rplD,,0,,,Tolonen cyanate
PMM1390,up,2.00964087770951,significant_up,7,1,,hli,up,1,1.0,,Tolonen cyanate
PMM1455,down,-0.614934915033887,significant_down,284,,20,atpH,down,1,20.0,,Tolonen cyanate
PMM0818,up,1.35946697356617,significant_up,42,8,,hli,up,1,8.0,,Tolonen cyanate
PMM0453,down,-0.440361947,not_significant,481,,,fabG,,0,,,Tolonen cyanate
PMM0689,up,1.543512361,not_significant,23,,,hli,,0,,,Tolonen cyanate
PMM1706,down,-0.239433354,not_significant,915,,,rpsF,,0,,,Tolonen cyanate
PMM0365,up,0.337248836,not_significant,687,,,,,0,,,Tolonen cyanate
PMM0246,up,0.032980289,not_significant,1580,,,ntcA,,0,,,Tolonen cyanate
PMM0336,up,-0.287980542,not_significant,795,,,PTOX,,0,,,Tolonen cyanate
PMM1451,down,-0.520707792,not_significant,368,,,atpA,,0,,,Tolonen cyanate
PMM0901,down,0.808898620364609,significant_up,172,19,,htpG,up,-1,19.0,,Tolonen cyanate
PMM0687,up,0.023050364,not_significant,1617,,,,,0,,,Tolonen cyanate
PMM0374,up,0.699533165,not_significant,226,,,tatA,,0,,,Tolonen cyanate
PMM0583,down,-0.708209211,not_significant,221,,,hemE,,0,,,Tolonen cyanate
PMM1558,down,-0.5051553,not_significant,388,,,rplC,,0,,,Tolonen cyanate
PMM0447,up,0.484851916,not_significant,416,,,ctaA,,0,,,Tolonen cyanate
PMM0452,down,0.516058573,not_significant,376,,,groL2,,0,,,Tolonen cyanate
PMM0334,up,0.359572794,not_significant,639,,,,,0,,,Tolonen cyanate
PMM0549,down,-1.1225755828196,significant_down,75,,3,csoS1A,down,1,3.0,,Tolonen cyanate
PMM1541,down,-0.207192644,not_significant,1018,,,rplO,,0,,,Tolonen cyanate
PMM0272,down,-0.56264705,not_significant,334,,,psbK,,0,,,Tolonen cyanate
PMM0819,up,-0.016344216,not_significant,1646,,,,,0,,,Tolonen cyanate
PMM1538,down,-0.472890166,not_significant,431,,,rpmJ,,0,,,Tolonen cyanate
PMM1520,down,-0.599112242806542,significant_down,302,,22,psaI,down,1,22.0,,Tolonen cyanate
PMM1537,down,-0.322295884,not_significant,718,,,rpsM,,0,,,Tolonen cyanate
PMM1396,up,1.32412798684196,significant_up,45,9,,hli,up,1,9.0,,Tolonen cyanate
PMM0684,up,-0.159843542,not_significant,1155,,,,,0,,,Tolonen cyanate
PMM1397,up,1.2222501316875,significant_up,58,11,,hli,up,1,11.0,,Tolonen cyanate
PMM0552,down,-0.567055987,not_significant,329,,,csoS2,,0,,,Tolonen cyanate
PMM0785,down,-0.819442972332764,significant_down,167,,10,prkB,down,1,10.0,,Tolonen cyanate
PMM1523,down,-0.269174198,not_significant,838,,,psaB,,0,,,Tolonen cyanate
PMM1519,down,-0.468983899,not_significant,440,,,psaL,,0,,,Tolonen cyanate
PMM1556,down,-0.283296146,not_significant,805,,,rplW,,0,,,Tolonen cyanate
PMM1507,down,-0.228745062,not_significant,947,,,rpsJ,,0,,,Tolonen cyanate
PMM0876,down,-0.389053957,not_significant,566,,,,,0,,,Tolonen cyanate
PMM1134,up,-0.110556178,not_significant,1323,,,,,0,,,Tolonen cyanate
PMM1457,down,-0.934708723795444,significant_down,123,,7,atp1,down,1,7.0,,Tolonen cyanate
PMM1700,up,-0.015476278,not_significant,1649,,,acnB,,0,,,Tolonen cyanate
PMM0710,down,-0.106824307,not_significant,1332,,,pstS,,0,,,Tolonen cyanate
PMM1385,up,0.840698922590708,significant_up,156,18,,hli,up,1,18.0,,Tolonen cyanate
PMM0605,down,0.348090846,not_significant,663,,,,,0,,,Tolonen cyanate
PMM1554,down,0.114826016,not_significant,1308,,,rpsS,,0,,,Tolonen cyanate
PMM1350,down,-0.373438922,not_significant,603,,,,,0,,,Tolonen cyanate
PMM0971,up,0.451163303,not_significant,460,,,urtB,,0,,,Tolonen cyanate
PMM0548,up,-0.405242548,not_significant,537,,,rdgB,,0,,,Tolonen cyanate
PMM1262,up,-0.373646786,not_significant,602,,,lexA,,0,,,Tolonen cyanate
PMM0540,down,-0.189347138,not_significant,1069,,,psaM,,0,,,Tolonen cyanate
