locus_tag,direction,log2fc,expression_status,rank,rank_up,rank_down,gene_name,de_direction,concordance,dir_rank,timepoint,label
PMM0030,up,1.47497577335469,significant_up,236,78,,,up,1,78.0,12h,Tolonen N-dep
PMM0337,up,3.74335459218155,significant_up,14,8,,,up,1,8.0,12h,Tolonen N-dep
PMM0346,down,-1.40798830576566,significant_down,250,,125,,down,1,125.0,12h,Tolonen N-dep
PMM0370,up,4.58350176619516,significant_up,3,2,,cynA,up,1,2.0,12h,Tolonen N-dep
PMM0550,down,-4.30651567565564,significant_down,8,,5,rbcL,down,1,5.0,12h,Tolonen N-dep
PMM1453,down,-4.66693634582272,significant_down,1,,1,atpF,down,1,1.0,12h,Tolonen N-dep
PMM1452,down,-4.44250020489064,significant_down,5,,3,atpD,down,1,3.0,12h,Tolonen N-dep
PMM0690,up,2.76132603871906,significant_up,39,15,,hli,up,1,15.0,12h,Tolonen N-dep
PMM1454,down,-4.51957072990943,significant_down,4,,2,atpG,down,1,2.0,12h,Tolonen N-dep
PMM1404,up,0.295080792,not_significant,1281,,,hli,,0,,12h,Tolonen N-dep
PMM0920,up,4.14177961834331,significant_up,9,4,,glnA,up,1,4.0,12h,Tolonen N-dep
PMM0970,up,3.75015994971883,significant_up,13,7,,urtA,up,1,7.0,12h,Tolonen N-dep
PMM0699,down,0.525360608,not_significant,939,,,,,0,,12h,Tolonen N-dep
PMM1557,down,-3.87596446294377,significant_down,11,,6,rplD,down,1,6.0,12h,Tolonen N-dep
PMM1390,up,3.11653833759454,significant_up,24,10,,hli,up,1,10.0,12h,Tolonen N-dep
PMM1455,down,-3.69860245394677,significant_down,16,,8,atpH,down,1,8.0,12h,Tolonen N-dep
PMM0818,up,-0.098134574,not_significant,1549,,,hli,,0,,12h,Tolonen N-dep
PMM0453,down,-1.93434355364041,significant_down,103,,62,fabG,down,1,62.0,12h,Tolonen N-dep
PMM0689,up,2.85853629106744,significant_up,37,14,,hli,up,1,14.0,12h,Tolonen N-dep
PMM1706,down,-1.98862530540259,significant_down,96,,59,rpsF,down,1,59.0,12h,Tolonen N-dep
PMM0365,up,2.48535175312954,significant_up,51,16,,,up,1,16.0,12h,Tolonen N-dep
PMM0246,up,3.01927772296539,significant_up,30,13,,ntcA,up,1,13.0,12h,Tolonen N-dep
PMM0336,up,3.77550384537103,significant_up,12,6,,PTOX,up,1,6.0,12h,Tolonen N-dep
PMM1451,down,-3.44156486911062,significant_down,20,,11,atpA,down,1,11.0,12h,Tolonen N-dep
PMM0901,down,-1.82224583703434,significant_down,123,,73,htpG,down,1,73.0,12h,Tolonen N-dep
PMM0687,up,3.09633685443019,significant_up,26,11,,,up,1,11.0,12h,Tolonen N-dep
PMM0374,up,3.57957842609776,significant_up,19,9,,tatA,up,1,9.0,12h,Tolonen N-dep
PMM0583,down,-2.47130073907243,significant_down,52,,33,hemE,down,1,33.0,12h,Tolonen N-dep
PMM1558,down,-3.43615277911982,significant_down,21,,12,rplC,down,1,12.0,12h,Tolonen N-dep
PMM0447,up,2.19124796169587,significant_up,74,24,,ctaA,up,1,24.0,12h,Tolonen N-dep
PMM0452,down,-1.6421760216633,significant_down,178,,97,groL2,down,1,97.0,12h,Tolonen N-dep
PMM0334,up,1.05677141362936,significant_up,433,138,,,up,1,138.0,12h,Tolonen N-dep
PMM0549,down,-1.09884738181078,significant_down,400,,158,csoS1A,down,1,158.0,12h,Tolonen N-dep
PMM1541,down,-2.93295890542382,significant_down,32,,18,rplO,down,1,18.0,12h,Tolonen N-dep
PMM0272,down,-2.08690457333444,significant_down,89,,55,psbK,down,1,55.0,12h,Tolonen N-dep
PMM0819,up,1.11682815406026,significant_up,389,130,,,up,1,130.0,12h,Tolonen N-dep
PMM1538,down,-2.2561983485542,significant_down,67,,40,rpmJ,down,1,40.0,12h,Tolonen N-dep
PMM1520,down,-2.17660876507575,significant_down,80,,49,psaI,down,1,49.0,12h,Tolonen N-dep
PMM1537,down,-2.6176661295402,significant_down,44,,26,rpsM,down,1,26.0,12h,Tolonen N-dep
PMM1396,up,-0.647476864,not_significant,785,,,hli,,0,,12h,Tolonen N-dep
PMM0684,up,0.88487092,not_significant,560,,,,,0,,12h,Tolonen N-dep
PMM1397,up,-0.567850101,not_significant,883,,,hli,,0,,12h,Tolonen N-dep
PMM0552,down,-2.3326645155314,significant_down,60,,36,csoS2,down,1,36.0,12h,Tolonen N-dep
PMM0785,down,-2.14879229203189,significant_down,86,,52,prkB,down,1,52.0,12h,Tolonen N-dep
PMM1523,down,-0.031313289,not_significant,1650,,,psaB,,0,,12h,Tolonen N-dep
PMM1519,down,-1.88547167521436,significant_down,110,,66,psaL,down,1,66.0,12h,Tolonen N-dep
PMM1556,down,-3.27215681190175,significant_down,22,,13,rplW,down,1,13.0,12h,Tolonen N-dep
PMM1507,down,-2.50864345283746,significant_down,50,,32,rpsJ,down,1,32.0,12h,Tolonen N-dep
PMM0876,down,-0.436069314,not_significant,1043,,,,,0,,12h,Tolonen N-dep
PMM1134,up,1.78541257628635,significant_up,130,37,,,up,1,37.0,12h,Tolonen N-dep
PMM1457,down,-3.24632433837456,significant_down,23,,14,atp1,down,1,14.0,12h,Tolonen N-dep
PMM1700,up,1.50680562561874,significant_up,226,74,,acnB,up,1,74.0,12h,Tolonen N-dep
PMM0710,down,-1.60397657407417,significant_down,192,,103,pstS,down,1,103.0,12h,Tolonen N-dep
PMM1385,up,-0.011922328,not_significant,1686,,,hli,,0,,12h,Tolonen N-dep
PMM0605,down,-0.835544518,not_significant,599,,,,,0,,12h,Tolonen N-dep
PMM1554,down,-3.09294261511568,significant_down,27,,16,rpsS,down,1,16.0,12h,Tolonen N-dep
PMM1350,down,-1.85719135206984,significant_down,115,,68,,down,1,68.0,12h,Tolonen N-dep
PMM0971,up,1.25303331253527,significant_up,323,105,,urtB,up,1,105.0,12h,Tolonen N-dep
PMM0548,up,-0.734142746,not_significant,695,,,rdgB,,0,,12h,Tolonen N-dep
PMM1262,up,0.164179905,not_significant,1454,,,lexA,,0,,12h,Tolonen N-dep
PMM0540,down,-2.74697166572216,significant_down,41,,23,psaM,down,1,23.0,12h,Tolonen N-dep
PMM0371,up,2.37248468438192,significant_up,55,18,,cynB,up,1,18.0,12h,Tolonen N-dep
PMM0817,up,-0.305859109,not_significant,1261,,,hli,,0,,12h,Tolonen N-dep
PMM0306,down,-1.73588695314982,significant_down,144,,85,cpeS,down,1,85.0,12h,Tolonen N-dep
PMM1562,up,0.8057789,not_significant,625,,,recA,,0,,12h,Tolonen N-dep
PMM1553,down,-2.88748579586806,significant_down,34,,20,rplV,down,1,20.0,12h,Tolonen N-dep
PMM1375,down,-1.364211581,not_significant,271,,,,,0,,12h,Tolonen N-dep
PMM1074,up,2.16915863279813,significant_up,83,26,,zwf,up,1,26.0,12h,Tolonen N-dep
PMM0781,down,-2.36389395348516,significant_down,56,,34,fbaA,down,1,34.0,12h,Tolonen N-dep
PMM0726,up,1.51099567147691,significant_up,219,69,,,up,1,69.0,12h,Tolonen N-dep
PMM1672,up,-0.494035439,not_significant,975,,,desC4,,0,,12h,Tolonen N-dep
PMM1402,down,-2.92897807456382,significant_down,33,,19,,down,1,19.0,12h,Tolonen N-dep
PMM0469,down,-1.7907620753724,significant_down,129,,76,psaF,down,1,76.0,12h,Tolonen N-dep
PMM0996,up,1.20124773442206,significant_up,347,115,,,up,1,115.0,12h,Tolonen N-dep
PMM1298,down,-2.26184588347615,significant_down,65,,39,lpdA,down,1,39.0,12h,Tolonen N-dep
PMM0599,down,-1.25221849255433,significant_down,324,,145,,down,1,145.0,12h,Tolonen N-dep
PMM0087,up,2.2073471190465,significant_up,71,22,,,up,1,22.0,12h,Tolonen N-dep
PMM0468,down,-1.50783616232717,significant_down,223,,115,psaJ,down,1,115.0,12h,Tolonen N-dep
PMM1384,up,-0.09241189,not_significant,1557,,,hli,,0,,12h,Tolonen N-dep
PMM1552,down,-2.87081737855559,significant_down,36,,21,rpsC,down,1,21.0,12h,Tolonen N-dep
PMM0363,up,2.2831177834588,significant_up,62,21,,,up,1,21.0,12h,Tolonen N-dep
