locus_tag,direction,log2fc,expression_status,rank,rank_up,rank_down,gene_name,de_direction,concordance,dir_rank,timepoint,label
PMM0030,up,1.06344462,not_significant,72,,,,,0,,,Tolonen urea
PMM0337,up,-0.862802371,not_significant,115,,,,,0,,,Tolonen urea
PMM0346,down,-0.039472208,not_significant,1551,,,,,0,,,Tolonen urea
PMM0370,up,-1.056210072,not_significant,74,,,cynA,,0,,,Tolonen urea
PMM0550,down,-0.414563646,not_significant,478,,,rbcL,,0,,,Tolonen urea
PMM1453,down,-0.28612071,not_significant,737,,,atpF,,0,,,Tolonen urea
PMM1452,down,-0.378863969,not_significant,537,,,atpD,,0,,,Tolonen urea
PMM0690,up,0.492466824,not_significant,365,,,hli,,0,,,Tolonen urea
PMM1454,down,-0.231917029,not_significant,879,,,atpG,,0,,,Tolonen urea
PMM1404,up,1.5972224828923,significant_up,24,1,,hli,up,1,1.0,,Tolonen urea
PMM0920,up,-0.195371878,not_significant,994,,,glnA,,0,,,Tolonen urea
PMM0970,up,-0.161692929,not_significant,1097,,,urtA,,0,,,Tolonen urea
PMM0699,down,0.768420178,not_significant,146,,,,,0,,,Tolonen urea
PMM1557,down,-0.218232739,not_significant,920,,,rplD,,0,,,Tolonen urea
PMM1390,up,0.859794231475427,significant_up,116,15,,hli,up,1,15.0,,Tolonen urea
PMM1455,down,-0.253017156,not_significant,820,,,atpH,,0,,,Tolonen urea
PMM0818,up,0.746932499019675,significant_up,156,17,,hli,up,1,17.0,,Tolonen urea
PMM0453,down,0.03081561,not_significant,1585,,,fabG,,0,,,Tolonen urea
PMM0689,up,1.426938041,not_significant,33,,,hli,,0,,,Tolonen urea
PMM1706,down,-0.060258959,not_significant,1466,,,rpsF,,0,,,Tolonen urea
PMM0365,up,0.669195053,not_significant,197,,,,,0,,,Tolonen urea
PMM0246,up,-2.271141941,not_significant,6,,,ntcA,,0,,,Tolonen urea
PMM0336,up,0.139161434,not_significant,1168,,,PTOX,,0,,,Tolonen urea
PMM1451,down,-0.393772333,not_significant,513,,,atpA,,0,,,Tolonen urea
PMM0901,down,0.574714696,not_significant,286,,,htpG,,0,,,Tolonen urea
PMM0687,up,0.315462674,not_significant,653,,,,,0,,,Tolonen urea
PMM0374,up,-2.187624181,not_significant,7,,,tatA,,0,,,Tolonen urea
PMM0583,down,-0.428472694,not_significant,455,,,hemE,,0,,,Tolonen urea
PMM1558,down,-0.446383365,not_significant,432,,,rplC,,0,,,Tolonen urea
PMM0447,up,-0.021246078,not_significant,1626,,,ctaA,,0,,,Tolonen urea
PMM0452,down,0.471574886,not_significant,394,,,groL2,,0,,,Tolonen urea
PMM0334,up,0.459131473,not_significant,411,,,,,0,,,Tolonen urea
PMM0549,down,-0.501785217,not_significant,355,,,csoS1A,,0,,,Tolonen urea
PMM1541,down,-0.122806256,not_significant,1230,,,rplO,,0,,,Tolonen urea
PMM0272,down,-0.172911048,not_significant,1067,,,psbK,,0,,,Tolonen urea
PMM0819,up,-0.083974013,not_significant,1386,,,,,0,,,Tolonen urea
PMM1538,down,0.017142364,not_significant,1635,,,rpmJ,,0,,,Tolonen urea
PMM1520,down,0.025824421,not_significant,1606,,,psaI,,0,,,Tolonen urea
PMM1537,down,-0.195711051,not_significant,992,,,rpsM,,0,,,Tolonen urea
PMM1396,up,0.855208203579604,significant_up,119,16,,hli,up,1,16.0,,Tolonen urea
PMM0684,up,-0.06084315,not_significant,1462,,,,,0,,,Tolonen urea
