locus_tag,direction,log2fc,expression_status,rank,rank_up,rank_down,gene_name,de_direction,concordance,dir_rank,timepoint,label
PMM0030,up,,,,,,,,0,,day 14,Weissberg proteomics axenic
PMM0337,up,,,,,,,,0,,day 14,Weissberg proteomics axenic
PMM0346,down,-0.731453259785969,not_significant,325,,,,,0,,day 14,Weissberg proteomics axenic
PMM0370,up,2.09205468495687,significant_up,30,7,,cynA,up,1,7.0,day 14,Weissberg proteomics axenic
PMM0550,down,-0.000543276468913,not_significant,1424,,,rbcL,,0,,day 14,Weissberg proteomics axenic
PMM1453,down,0.120879173278806,not_significant,1171,,,atpF,,0,,day 14,Weissberg proteomics axenic
PMM1452,down,-0.42042509714762,not_significant,654,,,atpD,,0,,day 14,Weissberg proteomics axenic
PMM0690,up,,,,,,hli,,0,,day 14,Weissberg proteomics axenic
PMM1454,down,0.16824245452881,not_significant,1073,,,atpG,,0,,day 14,Weissberg proteomics axenic
PMM1404,up,,,,,,hli,,0,,day 14,Weissberg proteomics axenic
PMM0920,up,2.12048435211182,significant_up,28,5,,glnA,up,1,5.0,day 14,Weissberg proteomics axenic
PMM0970,up,0.82442315419515,not_significant,272,,,urtA,,0,,day 14,Weissberg proteomics axenic
PMM0699,down,,,,,,,,0,,day 14,Weissberg proteomics axenic
PMM1557,down,-0.957051277160643,not_significant,211,,,rplD,,0,,day 14,Weissberg proteomics axenic
PMM1390,up,0.555896123250325,not_significant,489,,,hli,,0,,day 14,Weissberg proteomics axenic
PMM1455,down,,,,,,atpH,,0,,day 14,Weissberg proteomics axenic
PMM0818,up,,,,,,hli,,0,,day 14,Weissberg proteomics axenic
PMM0453,down,-0.188495318094886,not_significant,1027,,,fabG,,0,,day 14,Weissberg proteomics axenic
PMM0689,up,,,,,,hli,,0,,day 14,Weissberg proteomics axenic
PMM1706,down,-0.240723609924317,not_significant,939,,,rpsF,,0,,day 14,Weissberg proteomics axenic
PMM0365,up,1.23428757985433,significant_up,121,25,,,up,1,25.0,day 14,Weissberg proteomics axenic
PMM0246,up,1.86500326792399,significant_up,39,9,,ntcA,up,1,9.0,day 14,Weissberg proteomics axenic
PMM0336,up,1.31883398691813,significant_up,96,19,,PTOX,up,1,19.0,day 14,Weissberg proteomics axenic
PMM1451,down,-0.580751101175948,not_significant,467,,,atpA,,0,,day 14,Weissberg proteomics axenic
PMM0901,down,-0.344155311584474,not_significant,771,,,htpG,,0,,day 14,Weissberg proteomics axenic
PMM0687,up,,,,,,,,0,,day 14,Weissberg proteomics axenic
PMM0374,up,,,,,,tatA,,0,,day 14,Weissberg proteomics axenic
PMM0583,down,0.706792513529463,not_significant,345,,,hemE,,0,,day 14,Weissberg proteomics axenic
PMM1558,down,-0.638705889383949,not_significant,404,,,rplC,,0,,day 14,Weissberg proteomics axenic
PMM0447,up,,,,,,ctaA,,0,,day 14,Weissberg proteomics axenic
PMM0452,down,-0.139798800150555,not_significant,1138,,,groL2,,0,,day 14,Weissberg proteomics axenic
PMM0334,up,,,,,,,,0,,day 14,Weissberg proteomics axenic
PMM0549,down,-0.0111233393351196,not_significant,1401,,,csoS1A,,0,,day 14,Weissberg proteomics axenic
PMM1541,down,-0.934309323628739,not_significant,222,,,rplO,,0,,day 14,Weissberg proteomics axenic
PMM0272,down,,,,,,psbK,,0,,day 14,Weissberg proteomics axenic
PMM0819,up,,,,,,,,0,,day 14,Weissberg proteomics axenic
PMM1538,down,,,,,,rpmJ,,0,,day 14,Weissberg proteomics axenic
PMM1520,down,,,,,,psaI,,0,,day 14,Weissberg proteomics axenic
PMM1537,down,-0.995993614196779,not_significant,195,,,rpsM,,0,,day 14,Weissberg proteomics axenic
PMM1396,up,,,,,,hli,,0,,day 14,Weissberg proteomics axenic
PMM0684,up,,,,,,,,0,,day 14,Weissberg proteomics axenic
PMM1397,up,,,,,,hli,,0,,day 14,Weissberg proteomics axenic
PMM0552,down,-0.0828485488891606,not_significant,1249,,,csoS2,,0,,day 14,Weissberg proteomics axenic
PMM0785,down,0.40441989898682,not_significant,681,,,prkB,,0,,day 14,Weissberg proteomics axenic
PMM1523,down,-0.0274686813354501,not_significant,1363,,,psaB,,0,,day 14,Weissberg proteomics axenic
PMM1519,down,0.14434909820557,not_significant,1127,,,psaL,,0,,day 14,Weissberg proteomics axenic
PMM1556,down,-0.720318158467612,not_significant,331,,,rplW,,0,,day 14,Weissberg proteomics axenic
PMM1507,down,-1.13193035125733,significant_down,152,,81,rpsJ,down,1,81.0,day 14,Weissberg proteomics axenic
PMM0876,down,-0.286932945251467,not_significant,871,,,,,0,,day 14,Weissberg proteomics axenic
PMM1134,up,,,,,,,,0,,day 14,Weissberg proteomics axenic
PMM1457,down,1.18017101287841,not_significant,136,,,atp1,,0,,day 14,Weissberg proteomics axenic
PMM1700,up,-0.33513355255127,not_significant,783,,,acnB,,0,,day 14,Weissberg proteomics axenic
PMM0710,down,0.18218199412028,not_significant,1043,,,pstS,,0,,day 14,Weissberg proteomics axenic
PMM1385,up,,,,,,hli,,0,,day 14,Weissberg proteomics axenic
PMM0605,down,-1.72779242197672,not_significant,52,,,,,0,,day 14,Weissberg proteomics axenic
PMM1554,down,-0.381094296773275,not_significant,708,,,rpsS,,0,,day 14,Weissberg proteomics axenic
PMM1350,down,0.0907971064249669,not_significant,1233,,,,,0,,day 14,Weissberg proteomics axenic
PMM0971,up,0.19376532236735,not_significant,1019,,,urtB,,0,,day 14,Weissberg proteomics axenic
PMM0548,up,-0.0927184422810878,not_significant,1225,,,rdgB,,0,,day 14,Weissberg proteomics axenic
PMM1262,up,-0.903522173563641,not_significant,235,,,lexA,,0,,day 14,Weissberg proteomics axenic
PMM0540,down,,,,,,psaM,,0,,day 14,Weissberg proteomics axenic
PMM0371,up,1.27374362945557,not_significant,107,,,cynB,,0,,day 14,Weissberg proteomics axenic
PMM0817,up,,,,,,hli,,0,,day 14,Weissberg proteomics axenic
PMM0306,down,0.266187349955243,not_significant,899,,,cpeS,,0,,day 14,Weissberg proteomics axenic
PMM1562,up,2.11917718251546,significant_up,29,6,,recA,up,1,6.0,day 14,Weissberg proteomics axenic
PMM1553,down,-0.488676389058433,not_significant,560,,,rplV,,0,,day 14,Weissberg proteomics axenic
PMM1375,down,-0.0921723047892273,not_significant,1227,,,,,0,,day 14,Weissberg proteomics axenic
PMM1074,up,0.34499454498291,not_significant,768,,,zwf,,0,,day 14,Weissberg proteomics axenic
PMM0781,down,-1.52338314056396,significant_down,70,,41,fbaA,down,1,41.0,day 14,Weissberg proteomics axenic
PMM0726,up,,,,,,,,0,,day 14,Weissberg proteomics axenic
PMM1672,up,-1.20649814605713,not_significant,128,,,desC4,,0,,day 14,Weissberg proteomics axenic
PMM1402,down,0.504731814066571,not_significant,545,,,,,0,,day 14,Weissberg proteomics axenic
PMM0469,down,0.218499183654783,not_significant,980,,,psaF,,0,,day 14,Weissberg proteomics axenic
PMM0996,up,1.17408593495687,not_significant,137,,,,,0,,day 14,Weissberg proteomics axenic
PMM1298,down,0.0276619593302398,not_significant,1362,,,lpdA,,0,,day 14,Weissberg proteomics axenic
PMM0599,down,0.143172899881999,not_significant,1131,,,,,0,,day 14,Weissberg proteomics axenic
PMM0087,up,,,,,,,,0,,day 14,Weissberg proteomics axenic
PMM0468,down,1.46143881479899,not_significant,74,,,psaJ,,0,,day 14,Weissberg proteomics axenic
PMM1384,up,,,,,,hli,,0,,day 14,Weissberg proteomics axenic
PMM1552,down,-1.15271409352621,significant_down,142,,76,rpsC,down,1,76.0,day 14,Weissberg proteomics axenic
PMM0363,up,-0.216287295023597,not_significant,984,,,,,0,,day 14,Weissberg proteomics axenic
PMM0965,up,1.60331058502197,significant_up,60,13,,ureA,up,1,13.0,day 14,Weissberg proteomics axenic
PMM1623,up,0.57793140411377,not_significant,470,,,ssb,,0,,day 14,Weissberg proteomics axenic
PMM0810,up,0.526843706766764,not_significant,523,,,,,0,,day 14,Weissberg proteomics axenic
PMM1511,down,-0.964613278706867,not_significant,209,,,rpsL,,0,,day 14,Weissberg proteomics axenic
