locus_tag,direction,log2fc,expression_status,rank,rank_up,rank_down,gene_name,de_direction,concordance,dir_rank,timepoint,label
PMM0030,up,5.21558509421573,significant_up,25,9,,,up,1,9.0,day 14,Weissberg RNA-seq axenic
PMM0337,up,4.404923755200296,significant_up,57,21,,,up,1,21.0,day 14,Weissberg RNA-seq axenic
PMM0346,down,-2.5914367066091426,significant_down,267,,166,,down,1,166.0,day 14,Weissberg RNA-seq axenic
PMM0370,up,5.158630264411528,significant_up,29,10,,cynA,up,1,10.0,day 14,Weissberg RNA-seq axenic
PMM0550,down,-3.455844662842546,significant_down,128,,77,rbcL,down,1,77.0,day 14,Weissberg RNA-seq axenic
PMM1453,down,-3.263795583655416,significant_down,152,,92,atpF,down,1,92.0,day 14,Weissberg RNA-seq axenic
PMM1452,down,-4.059179745575669,significant_down,83,,50,atpD,down,1,50.0,day 14,Weissberg RNA-seq axenic
PMM0690,up,4.867489138027757,significant_up,40,13,,hli,up,1,13.0,day 14,Weissberg RNA-seq axenic
PMM1454,down,-3.0594827089307257,significant_down,172,,107,atpG,down,1,107.0,day 14,Weissberg RNA-seq axenic
PMM1404,up,9.582753879264446,significant_up,1,1,,hli,up,1,1.0,day 14,Weissberg RNA-seq axenic
PMM0920,up,3.3569768863566645,significant_up,140,56,,glnA,up,1,56.0,day 14,Weissberg RNA-seq axenic
PMM0970,up,2.6694942279740563,significant_up,254,97,,urtA,up,1,97.0,day 14,Weissberg RNA-seq axenic
PMM0699,down,-1.0351320724740742,not_significant,880,,,,,0,,day 14,Weissberg RNA-seq axenic
PMM1557,down,-2.109535577734513,significant_down,379,,230,rplD,down,1,230.0,day 14,Weissberg RNA-seq axenic
PMM1390,up,4.202745707846625,significant_up,74,29,,hli,up,1,29.0,day 14,Weissberg RNA-seq axenic
PMM1455,down,-2.5201655442413164,significant_down,283,,173,atpH,down,1,173.0,day 14,Weissberg RNA-seq axenic
PMM0818,up,,,,,,hli,,0,,day 14,Weissberg RNA-seq axenic
PMM0453,down,-5.374876227964133,significant_down,21,,14,fabG,down,1,14.0,day 14,Weissberg RNA-seq axenic
PMM0689,up,7.724627764684528,significant_up,2,2,,hli,up,1,2.0,day 14,Weissberg RNA-seq axenic
PMM1706,down,-3.572035857475282,significant_down,112,,68,rpsF,down,1,68.0,day 14,Weissberg RNA-seq axenic
PMM0365,up,2.781143850594197,significant_up,230,88,,,up,1,88.0,day 14,Weissberg RNA-seq axenic
PMM0246,up,3.352117316421244,significant_up,141,57,,ntcA,up,1,57.0,day 14,Weissberg RNA-seq axenic
PMM0336,up,5.016074153075532,significant_up,33,11,,PTOX,up,1,11.0,day 14,Weissberg RNA-seq axenic
PMM1451,down,-4.730623112079471,significant_down,44,,30,atpA,down,1,30.0,day 14,Weissberg RNA-seq axenic
PMM0901,down,-1.9769620667661207,significant_down,421,,249,htpG,down,1,249.0,day 14,Weissberg RNA-seq axenic
PMM0687,up,4.0674889457570345,significant_up,81,32,,,up,1,32.0,day 14,Weissberg RNA-seq axenic
PMM0374,up,6.418916756577419,significant_up,7,4,,tatA,up,1,4.0,day 14,Weissberg RNA-seq axenic
PMM0583,down,-4.112171438048171,significant_down,79,,49,hemE,down,1,49.0,day 14,Weissberg RNA-seq axenic
PMM1558,down,-2.897858305797257,significant_down,199,,125,rplC,down,1,125.0,day 14,Weissberg RNA-seq axenic
PMM0447,up,3.4970293441224487,significant_up,121,49,,ctaA,up,1,49.0,day 14,Weissberg RNA-seq axenic
PMM0452,down,-1.223865668242629,significant_down,762,,413,groL2,down,1,413.0,day 14,Weissberg RNA-seq axenic
PMM0334,up,3.6260850558508992,significant_up,109,44,,,up,1,44.0,day 14,Weissberg RNA-seq axenic
PMM0549,down,-4.316636545341085,significant_down,65,,41,csoS1A,down,1,41.0,day 14,Weissberg RNA-seq axenic
PMM1541,down,-3.5340512632938546,significant_down,116,,70,rplO,down,1,70.0,day 14,Weissberg RNA-seq axenic
PMM0272,down,-4.41665071953194,significant_down,56,,36,psbK,down,1,36.0,day 14,Weissberg RNA-seq axenic
PMM0819,up,4.660970769559715,significant_up,49,17,,,up,1,17.0,day 14,Weissberg RNA-seq axenic
PMM1538,down,-1.501151024956274,significant_down,606,,339,rpmJ,down,1,339.0,day 14,Weissberg RNA-seq axenic
PMM1520,down,-5.429774199420243,significant_down,20,,13,psaI,down,1,13.0,day 14,Weissberg RNA-seq axenic
PMM1537,down,-1.5656561902307198,significant_down,578,,325,rpsM,down,1,325.0,day 14,Weissberg RNA-seq axenic
PMM1396,up,,,,,,hli,,0,,day 14,Weissberg RNA-seq axenic
PMM0684,up,4.737350948185801,significant_up,43,14,,,up,1,14.0,day 14,Weissberg RNA-seq axenic
PMM1397,up,,,,,,hli,,0,,day 14,Weissberg RNA-seq axenic
PMM0552,down,-5.374598899555868,significant_down,22,,15,csoS2,down,1,15.0,day 14,Weissberg RNA-seq axenic
PMM0785,down,-5.486743453751393,significant_down,18,,11,prkB,down,1,11.0,day 14,Weissberg RNA-seq axenic
PMM1523,down,-3.307455846014609,significant_down,146,,89,psaB,down,1,89.0,day 14,Weissberg RNA-seq axenic
PMM1519,down,-5.470392135580254,significant_down,19,,12,psaL,down,1,12.0,day 14,Weissberg RNA-seq axenic
PMM1556,down,-2.624965826592925,significant_down,261,,162,rplW,down,1,162.0,day 14,Weissberg RNA-seq axenic
PMM1507,down,-2.666458760027498,significant_down,255,,157,rpsJ,down,1,157.0,day 14,Weissberg RNA-seq axenic
PMM0876,down,-3.341257443436336,significant_down,143,,86,,down,1,86.0,day 14,Weissberg RNA-seq axenic
PMM1134,up,2.388567861059389,significant_up,313,119,,,up,1,119.0,day 14,Weissberg RNA-seq axenic
PMM1457,down,-1.3216551224742306,significant_down,700,,390,atp1,down,1,390.0,day 14,Weissberg RNA-seq axenic
PMM1700,up,1.2128427876269885,significant_up,765,340,,acnB,up,1,340.0,day 14,Weissberg RNA-seq axenic
PMM0710,down,-4.460025089868583,significant_down,55,,35,pstS,down,1,35.0,day 14,Weissberg RNA-seq axenic
PMM1385,up,6.035214484826836,significant_up,11,6,,hli,up,1,6.0,day 14,Weissberg RNA-seq axenic
PMM0605,down,-1.570630705642782,significant_down,573,,323,,down,1,323.0,day 14,Weissberg RNA-seq axenic
PMM1554,down,-2.963743739798923,significant_down,187,,117,rpsS,down,1,117.0,day 14,Weissberg RNA-seq axenic
PMM1350,down,-4.355553430642511,significant_down,62,,38,,down,1,38.0,day 14,Weissberg RNA-seq axenic
PMM0971,up,1.3784273298087533,significant_up,670,291,,urtB,up,1,291.0,day 14,Weissberg RNA-seq axenic
PMM0548,up,3.634342051784111,significant_up,107,43,,rdgB,up,1,43.0,day 14,Weissberg RNA-seq axenic
PMM1262,up,2.707552636769836,significant_up,245,93,,lexA,up,1,93.0,day 14,Weissberg RNA-seq axenic
PMM0540,down,-3.8455988490593422,significant_down,96,,58,psaM,down,1,58.0,day 14,Weissberg RNA-seq axenic
PMM0371,up,4.279566443092617,significant_up,70,27,,cynB,up,1,27.0,day 14,Weissberg RNA-seq axenic
PMM0817,up,,,,,,hli,,0,,day 14,Weissberg RNA-seq axenic
PMM0306,down,-5.534383730343569,significant_down,16,,9,cpeS,down,1,9.0,day 14,Weissberg RNA-seq axenic
PMM1562,up,3.667196854262506,significant_up,106,42,,recA,up,1,42.0,day 14,Weissberg RNA-seq axenic
PMM1553,down,-2.3234399076652967,significant_down,329,,203,rplV,down,1,203.0,day 14,Weissberg RNA-seq axenic
PMM1375,down,-2.35740117090641,significant_down,321,,198,,down,1,198.0,day 14,Weissberg RNA-seq axenic
PMM1074,up,1.920617234588716,significant_up,445,181,,zwf,up,1,181.0,day 14,Weissberg RNA-seq axenic
PMM0781,down,-3.4744810486550395,significant_down,126,,75,fbaA,down,1,75.0,day 14,Weissberg RNA-seq axenic
PMM0726,up,1.9839051204954696,significant_up,418,169,,,up,1,169.0,day 14,Weissberg RNA-seq axenic
PMM1672,up,3.5671327919208986,significant_up,114,46,,desC4,up,1,46.0,day 14,Weissberg RNA-seq axenic
PMM1402,down,-2.7926481783151047,significant_down,224,,140,,down,1,140.0,day 14,Weissberg RNA-seq axenic
PMM0469,down,-5.505270718334601,significant_down,17,,10,psaF,down,1,10.0,day 14,Weissberg RNA-seq axenic
PMM0996,up,1.181663987036058,significant_up,786,348,,,up,1,348.0,day 14,Weissberg RNA-seq axenic
PMM1298,down,-2.228175708202921,significant_down,351,,213,lpdA,down,1,213.0,day 14,Weissberg RNA-seq axenic
PMM0599,down,-2.308164455455608,significant_down,331,,204,,down,1,204.0,day 14,Weissberg RNA-seq axenic
PMM0087,up,1.8720605816908888,significant_up,469,196,,,up,1,196.0,day 14,Weissberg RNA-seq axenic
PMM0468,down,-6.036345072413191,significant_down,10,,5,psaJ,down,1,5.0,day 14,Weissberg RNA-seq axenic
PMM1384,up,4.383800019177504,significant_up,58,22,,hli,up,1,22.0,day 14,Weissberg RNA-seq axenic
PMM1552,down,-2.808110519766845,significant_down,220,,137,rpsC,down,1,137.0,day 14,Weissberg RNA-seq axenic
PMM0363,up,2.2869503884744224,significant_up,335,127,,,up,1,127.0,day 14,Weissberg RNA-seq axenic
PMM0965,up,2.264438881479556,significant_up,342,132,,ureA,up,1,132.0,day 14,Weissberg RNA-seq axenic
PMM1623,up,1.8684447662519024,significant_up,470,197,,ssb,up,1,197.0,day 14,Weissberg RNA-seq axenic
PMM0810,up,2.035413432007069,significant_up,398,157,,,up,1,157.0,day 14,Weissberg RNA-seq axenic
PMM1511,down,-2.145972322773164,significant_down,368,,222,rpsL,down,1,222.0,day 14,Weissberg RNA-seq axenic
PMM0767,down,-4.793269226533822,significant_down,42,,29,fbp-sbp,down,1,29.0,day 14,Weissberg RNA-seq axenic
