locus_tag,direction,log2fc,expression_status,rank,rank_up,rank_down,gene_name,de_direction,concordance,dir_rank,timepoint,label
PMM0030,up,5.12,significant_up,4,2,,,up,1,2.0,12h,Read N-dep
PMM0337,up,8.66,significant_up,1,1,,,up,1,1.0,12h,Read N-dep
PMM0346,down,-4.87,significant_down,5,,3,,down,1,3.0,12h,Read N-dep
PMM0370,up,3.85,significant_up,27,14,,cynA,up,1,14.0,12h,Read N-dep
PMM0550,down,-1.48,significant_down,294,,121,rbcL,down,1,121.0,12h,Read N-dep
PMM1453,down,-5.25,significant_down,3,,2,atpF,down,1,2.0,12h,Read N-dep
PMM1452,down,-5.53,significant_down,2,,1,atpD,down,1,1.0,12h,Read N-dep
PMM0690,up,,,,,,hli,,0,,12h,Read N-dep
PMM1454,down,-4.69,significant_down,9,,5,atpG,down,1,5.0,12h,Read N-dep
PMM1404,up,4.57,significant_up,13,6,,hli,up,1,6.0,12h,Read N-dep
PMM0920,up,2.85,significant_up,78,42,,glnA,up,1,42.0,12h,Read N-dep
PMM0970,up,4.07,significant_up,24,12,,urtA,up,1,12.0,12h,Read N-dep
PMM0699,down,-4.82,significant_down,7,,4,,down,1,4.0,12h,Read N-dep
PMM1557,down,-1.91,significant_down,194,,90,rplD,down,1,90.0,12h,Read N-dep
PMM1390,up,4.81,significant_up,8,4,,hli,up,1,4.0,12h,Read N-dep
PMM1455,down,-4.17,significant_down,23,,12,atpH,down,1,12.0,12h,Read N-dep
PMM0818,up,2.92,significant_up,73,37,,hli,up,1,37.0,12h,Read N-dep
PMM0453,down,-4.26,significant_down,20,,10,fabG,down,1,10.0,12h,Read N-dep
PMM0689,up,4.28,significant_up,19,10,,hli,up,1,10.0,12h,Read N-dep
PMM1706,down,-4.65,significant_down,10,,6,rpsF,down,1,6.0,12h,Read N-dep
PMM0365,up,4.49,significant_up,15,7,,,up,1,7.0,12h,Read N-dep
PMM0246,up,1.71,not_significant,237,,,ntcA,,0,,12h,Read N-dep
PMM0336,up,2.32,significant_up,135,71,,PTOX,up,1,71.0,12h,Read N-dep
PMM1451,down,-3.0,significant_down,68,,34,atpA,down,1,34.0,12h,Read N-dep
PMM0901,down,-2.15,significant_down,159,,74,htpG,down,1,74.0,12h,Read N-dep
PMM0687,up,2.7,significant_up,89,47,,,up,1,47.0,12h,Read N-dep
PMM0374,up,1.55,not_significant,275,,,tatA,,0,,12h,Read N-dep
PMM0583,down,-3.46,significant_down,42,,21,hemE,down,1,21.0,12h,Read N-dep
PMM1558,down,-4.3,significant_down,18,,9,rplC,down,1,9.0,12h,Read N-dep
PMM0447,up,4.49,significant_up,16,8,,ctaA,up,1,8.0,12h,Read N-dep
PMM0452,down,-2.16,significant_down,158,,73,groL2,down,1,73.0,12h,Read N-dep
PMM0334,up,4.37,significant_up,17,9,,,up,1,9.0,12h,Read N-dep
PMM0549,down,-2.81,significant_down,82,,38,csoS1A,down,1,38.0,12h,Read N-dep
PMM1541,down,-0.55,not_significant,593,,,rplO,,0,,12h,Read N-dep
