locus_tag,gene_name,direction,signature_type,tolonen_peak_timepoint,tolonen_best_dir_rank,tolonen_best_global_rank,read_peak_timepoint,read_best_dir_rank,read_best_global_rank,cross_study_best_dir_rank,product,gene_category
PMM1055,chlI,down,core,24h,58.0,136,24h,140.0,283,58.0,"protoporphyrin IX Mg-chelatase, subunit ChlI",Coenzyme metabolism
PMM0312,rpsA1,down,core,6h,88.0,218,12h,60.0,129,60.0,30S ribosomal protein S1,Translation
PMM1109,,down,core,24h,63.0,144,24h,61.0,113,61.0,uncharacterized conserved secreted protein,Unknown
PMM0626,,up,core,6h,66.0,175,24h,61.0,130,61.0,conserved hypothetical protein,Unknown
PMM0502,ycf41,up,core,12h,62.0,196,12h,64.0,120,62.0,possible single-stranded DNA-binding protein,Transport
PMM0869,rpsR,down,core,24h,82.0,189,24h,62.0,114,62.0,30S ribosomal protein S18,Translation
PMM1534,rplQ,down,core,6h,63.0,157,24h,158.0,344,63.0,50S ribosomal protein L17,Translation
PMM0046,ndk,down,core,6h,77.0,181,24h,64.0,116,64.0,nucleoside diphosphate kinase,Nucleotide metabolism
PMM0204,rplK,down,core,6h,64.0,158,12h,117.0,279,64.0,50S ribosomal protein L11,Translation
PMM1544,rplF,down,core,6h,67.0,164,24h,113.0,218,67.0,50S ribosomal protein L6,Translation
PMM0480,,up,core,12h,121.0,367,12h,67.0,127,67.0,possible DNA recombination-mediator A family protein,Replication and repair
PMM0964,ureB,up,core,12h,90.0,285,12h,69.0,132,69.0,urease beta subunit,Stress response and adaptation
PMM0864,,down,core,24h,128.0,311,24h,71.0,134,71.0,uncharacterized conserved membrane protein,Unknown
PMM1128,hli15,up,core,24h,72.0,270,12h,87.0,200,72.0,high light inducible protein,Stress response and adaptation
PMM0511,ppa,down,core,6h,73.0,174,24h,94.0,180,73.0,inorganic pyrophosphatase,Central intermediary metabolism
PMM0691,,down,core,12h,74.0,126,24h,139.0,282,74.0,tryptophan-rich conserved hypothetical protein CHP02450,Unknown
PMM0356,pip,down,core,12h,147.0,330,24h,83.0,157,83.0,proline iminopeptidase,Amino acid metabolism
PMM1154,ilvN,up,core,12h,128.0,381,12h,84.0,184,84.0,"acetolactate synthase, small subunit",Amino acid metabolism
PMM0784,accD,down,core,24h,138.0,426,12h,84.0,182,84.0,"acetyl-CoA carboxylase, carboxyl transferase beta subunit",Lipid metabolism
PMM1183,rpmH,down,core,24h,94.0,211,24h,87.0,165,87.0,50S ribosomal protein L34,Translation
