locus_tag,direction,log2fc,expression_status,rank,rank_up,rank_down,gene_name,de_direction,concordance,dir_rank,timepoint,label
PMM0030,up,,,,,,,,0,,day 18,Weissberg proteomics coculture
PMM0337,up,,,,,,,,0,,day 18,Weissberg proteomics coculture
PMM0346,down,-0.856067021687826,not_significant,141,,,,,0,,day 18,Weissberg proteomics coculture
PMM0370,up,2.44718742370605,significant_up,6,6,,cynA,up,1,6.0,day 18,Weissberg proteomics coculture
PMM0550,down,-0.106927235921227,not_significant,1161,,,rbcL,,0,,day 18,Weissberg proteomics coculture
PMM1453,down,-0.16110928853353,not_significant,1033,,,atpF,,0,,day 18,Weissberg proteomics coculture
PMM1452,down,-0.0892124176025368,not_significant,1202,,,atpD,,0,,day 18,Weissberg proteomics coculture
PMM0690,up,,,,,,hli,,0,,day 18,Weissberg proteomics coculture
PMM1454,down,-0.232611338297527,not_significant,891,,,atpG,,0,,day 18,Weissberg proteomics coculture
PMM1404,up,,,,,,hli,,0,,day 18,Weissberg proteomics coculture
PMM0920,up,2.55111503601075,significant_up,5,5,,glnA,up,1,5.0,day 18,Weissberg proteomics coculture
PMM0970,up,1.66582997639974,significant_up,20,14,,urtA,up,1,14.0,day 18,Weissberg proteomics coculture
PMM0699,down,,,,,,,,0,,day 18,Weissberg proteomics coculture
PMM1557,down,-0.696844736735027,not_significant,236,,,rplD,,0,,day 18,Weissberg proteomics coculture
PMM1390,up,-1.60296122233073,not_significant,23,,,hli,,0,,day 18,Weissberg proteomics coculture
PMM1455,down,,,,,,atpH,,0,,day 18,Weissberg proteomics coculture
PMM0818,up,,,,,,hli,,0,,day 18,Weissberg proteomics coculture
PMM0453,down,-0.247865041097,not_significant,860,,,fabG,,0,,day 18,Weissberg proteomics coculture
PMM0689,up,,,,,,hli,,0,,day 18,Weissberg proteomics coculture
PMM1706,down,-0.092690149943034,not_significant,1196,,,rpsF,,0,,day 18,Weissberg proteomics coculture
PMM0365,up,1.43038813273112,significant_up,36,20,,,up,1,20.0,day 18,Weissberg proteomics coculture
PMM0246,up,1.76032638549805,significant_up,15,11,,ntcA,up,1,11.0,day 18,Weissberg proteomics coculture
PMM0336,up,0.980452219645184,not_significant,96,,,PTOX,,0,,day 18,Weissberg proteomics coculture
PMM1451,down,0.0025622049967504,not_significant,1419,,,atpA,,0,,day 18,Weissberg proteomics coculture
PMM0901,down,-0.35260581970215,not_significant,654,,,htpG,,0,,day 18,Weissberg proteomics coculture
PMM0687,up,,,,,,,,0,,day 18,Weissberg proteomics coculture
PMM0374,up,,,,,,tatA,,0,,day 18,Weissberg proteomics coculture
PMM0583,down,0.262137095133463,not_significant,830,,,hemE,,0,,day 18,Weissberg proteomics coculture
PMM1558,down,-0.691916147867837,not_significant,243,,,rplC,,0,,day 18,Weissberg proteomics coculture
PMM0447,up,,,,,,ctaA,,0,,day 18,Weissberg proteomics coculture
PMM0452,down,-0.169757207234702,not_significant,1015,,,groL2,,0,,day 18,Weissberg proteomics coculture
PMM0334,up,,,,,,,,0,,day 18,Weissberg proteomics coculture
PMM0549,down,0.08915138244629,not_significant,1203,,,csoS1A,,0,,day 18,Weissberg proteomics coculture
PMM1541,down,-1.25483067830403,significant_down,42,,6,rplO,down,1,6.0,day 18,Weissberg proteomics coculture
PMM0272,down,,,,,,psbK,,0,,day 18,Weissberg proteomics coculture
PMM0819,up,,,,,,,,0,,day 18,Weissberg proteomics coculture
PMM1538,down,,,,,,rpmJ,,0,,day 18,Weissberg proteomics coculture
PMM1520,down,,,,,,psaI,,0,,day 18,Weissberg proteomics coculture
PMM1537,down,-0.886835734049479,not_significant,127,,,rpsM,,0,,day 18,Weissberg proteomics coculture
PMM1396,up,,,,,,hli,,0,,day 18,Weissberg proteomics coculture
PMM0684,up,,,,,,,,0,,day 18,Weissberg proteomics coculture
PMM1397,up,,,,,,hli,,0,,day 18,Weissberg proteomics coculture
PMM0552,down,-0.581995646158857,not_significant,345,,,csoS2,,0,,day 18,Weissberg proteomics coculture
PMM0785,down,0.0381577809651699,not_significant,1329,,,prkB,,0,,day 18,Weissberg proteomics coculture
PMM1523,down,-0.102898915608722,not_significant,1169,,,psaB,,0,,day 18,Weissberg proteomics coculture
PMM1519,down,-0.106678644816086,not_significant,1164,,,psaL,,0,,day 18,Weissberg proteomics coculture
PMM1556,down,-0.576526641845702,not_significant,354,,,rplW,,0,,day 18,Weissberg proteomics coculture
PMM1507,down,-0.681945164998373,not_significant,249,,,rpsJ,,0,,day 18,Weissberg proteomics coculture
PMM0876,down,-0.0029087066650435,not_significant,1416,,,,,0,,day 18,Weissberg proteomics coculture
PMM1134,up,,,,,,,,0,,day 18,Weissberg proteomics coculture
PMM1457,down,-0.67002296447754,not_significant,258,,,atp1,,0,,day 18,Weissberg proteomics coculture
PMM1700,up,1.11675389607747,significant_up,63,26,,acnB,up,1,26.0,day 18,Weissberg proteomics coculture
PMM0710,down,-0.313069025675456,not_significant,720,,,pstS,,0,,day 18,Weissberg proteomics coculture
PMM1385,up,,,,,,hli,,0,,day 18,Weissberg proteomics coculture
PMM0605,down,-0.971600214640301,not_significant,98,,,,,0,,day 18,Weissberg proteomics coculture
PMM1554,down,-0.591215133666993,not_significant,333,,,rpsS,,0,,day 18,Weissberg proteomics coculture
PMM1350,down,-0.12124061584473,not_significant,1127,,,,,0,,day 18,Weissberg proteomics coculture
PMM0971,up,0.749757130940764,not_significant,184,,,urtB,,0,,day 18,Weissberg proteomics coculture
PMM0548,up,0.233243942260742,not_significant,888,,,rdgB,,0,,day 18,Weissberg proteomics coculture
PMM1262,up,0.285714467366537,not_significant,773,,,lexA,,0,,day 18,Weissberg proteomics coculture
PMM0540,down,,,,,,psaM,,0,,day 18,Weissberg proteomics coculture
PMM0371,up,2.7204049428304,significant_up,3,3,,cynB,up,1,3.0,day 18,Weissberg proteomics coculture
PMM0817,up,,,,,,hli,,0,,day 18,Weissberg proteomics coculture
PMM0306,down,-0.0027275085449232,not_significant,1417,,,cpeS,,0,,day 18,Weissberg proteomics coculture
PMM1562,up,0.330812454223634,not_significant,690,,,recA,,0,,day 18,Weissberg proteomics coculture
PMM1553,down,-0.447579065958657,not_significant,520,,,rplV,,0,,day 18,Weissberg proteomics coculture
PMM1375,down,-0.444395701090501,not_significant,525,,,,,0,,day 18,Weissberg proteomics coculture
PMM1074,up,0.581380208333336,not_significant,348,,,zwf,,0,,day 18,Weissberg proteomics coculture
PMM0781,down,-0.86967658996582,not_significant,133,,,fbaA,,0,,day 18,Weissberg proteomics coculture
PMM0726,up,,,,,,,,0,,day 18,Weissberg proteomics coculture
PMM1672,up,-0.894587834676109,not_significant,123,,,desC4,,0,,day 18,Weissberg proteomics coculture
PMM1402,down,0.931091308593744,not_significant,112,,,,,0,,day 18,Weissberg proteomics coculture
PMM0469,down,-0.204465230305989,not_significant,940,,,psaF,,0,,day 18,Weissberg proteomics coculture
