locus_tag,direction,log2fc,expression_status,rank,rank_up,rank_down,gene_name,de_direction,concordance,dir_rank,timepoint,label
PMM0030,up,,,,,,,,0,,,Steglich high white light
PMM0337,up,,,,,,,,0,,,Steglich high white light
PMM0346,down,,,,,,,,0,,,Steglich high white light
PMM0370,up,,,,,,cynA,,0,,,Steglich high white light
PMM0550,down,,,,,,rbcL,,0,,,Steglich high white light
PMM1453,down,,,,,,atpF,,0,,,Steglich high white light
PMM1452,down,,,,,,atpD,,0,,,Steglich high white light
PMM0690,up,29.1,significant_up,9,9,,hli,up,1,9.0,,Steglich high white light
PMM1454,down,2.1,significant_up,160,108,,atpG,up,-1,108.0,,Steglich high white light
PMM1404,up,39.5,significant_up,6,6,,hli,up,1,6.0,,Steglich high white light
PMM0920,up,,,,,,glnA,,0,,,Steglich high white light
PMM0970,up,,,,,,urtA,,0,,,Steglich high white light
PMM0699,down,3.9,significant_up,48,36,,,up,-1,36.0,,Steglich high white light
PMM1557,down,,,,,,rplD,,0,,,Steglich high white light
PMM1390,up,,,,,,hli,,0,,,Steglich high white light
PMM1455,down,,,,,,atpH,,0,,,Steglich high white light
PMM0818,up,41.7,significant_up,3,3,,hli,up,1,3.0,,Steglich high white light
PMM0453,down,-2.0,significant_down,166,,53,fabG,down,1,53.0,,Steglich high white light
PMM0689,up,10.9,significant_up,15,14,,hli,up,1,14.0,,Steglich high white light
PMM1706,down,,,,,,rpsF,,0,,,Steglich high white light
PMM0365,up,2.5,significant_up,118,81,,,up,1,81.0,,Steglich high white light
PMM0246,up,,,,,,ntcA,,0,,,Steglich high white light
PMM0336,up,3.0,significant_up,92,65,,PTOX,up,1,65.0,,Steglich high white light
PMM1451,down,,,,,,atpA,,0,,,Steglich high white light
PMM0901,down,,,,,,htpG,,0,,,Steglich high white light
PMM0687,up,,,,,,,,0,,,Steglich high white light
PMM0374,up,,,,,,tatA,,0,,,Steglich high white light
PMM0583,down,-3.6,significant_down,63,,16,hemE,down,1,16.0,,Steglich high white light
PMM1558,down,,,,,,rplC,,0,,,Steglich high white light
PMM0447,up,,,,,,ctaA,,0,,,Steglich high white light
PMM0452,down,1.3,not_significant,193,,,groL2,,0,,,Steglich high white light
PMM0334,up,,,,,,,,0,,,Steglich high white light
PMM0549,down,,,,,,csoS1A,,0,,,Steglich high white light
PMM1541,down,,,,,,rplO,,0,,,Steglich high white light
PMM0272,down,,,,,,psbK,,0,,,Steglich high white light
PMM0819,up,,,,,,,,0,,,Steglich high white light
PMM1538,down,,,,,,rpmJ,,0,,,Steglich high white light
PMM1520,down,,,,,,psaI,,0,,,Steglich high white light
PMM1537,down,,,,,,rpsM,,0,,,Steglich high white light
PMM1396,up,41.3,significant_up,4,4,,hli,up,1,4.0,,Steglich high white light
PMM0684,up,,,,,,,,0,,,Steglich high white light
PMM1397,up,42.2,significant_up,2,2,,hli,up,1,2.0,,Steglich high white light
PMM0552,down,,,,,,csoS2,,0,,,Steglich high white light
PMM0785,down,,,,,,prkB,,0,,,Steglich high white light
PMM1523,down,,,,,,psaB,,0,,,Steglich high white light
PMM1519,down,,,,,,psaL,,0,,,Steglich high white light
PMM1556,down,,,,,,rplW,,0,,,Steglich high white light
PMM1507,down,,,,,,rpsJ,,0,,,Steglich high white light
PMM0876,down,,,,,,,,0,,,Steglich high white light
PMM1134,up,,,,,,,,0,,,Steglich high white light
PMM1457,down,,,,,,atp1,,0,,,Steglich high white light
PMM1700,up,,,,,,acnB,,0,,,Steglich high white light
PMM0710,down,,,,,,pstS,,0,,,Steglich high white light
PMM1385,up,,,,,,hli,,0,,,Steglich high white light
PMM0605,down,,,,,,,,0,,,Steglich high white light
PMM1554,down,,,,,,rpsS,,0,,,Steglich high white light
PMM1350,down,,,,,,,,0,,,Steglich high white light
PMM0971,up,,,,,,urtB,,0,,,Steglich high white light
PMM0548,up,,,,,,rdgB,,0,,,Steglich high white light
PMM1262,up,,,,,,lexA,,0,,,Steglich high white light
PMM0540,down,-3.8,significant_down,53,,13,psaM,down,1,13.0,,Steglich high white light
PMM0371,up,,,,,,cynB,,0,,,Steglich high white light
PMM0817,up,33.1,significant_up,8,8,,hli,up,1,8.0,,Steglich high white light
PMM0306,down,,,,,,cpeS,,0,,,Steglich high white light
PMM1562,up,,,,,,recA,,0,,,Steglich high white light
PMM1553,down,-2.0,significant_down,173,,59,rplV,down,1,59.0,,Steglich high white light
PMM1375,down,,,,,,,,0,,,Steglich high white light
PMM1074,up,,,,,,zwf,,0,,,Steglich high white light
PMM0781,down,1.8,not_significant,177,,,fbaA,,0,,,Steglich high white light
PMM0726,up,,,,,,,,0,,,Steglich high white light
PMM1672,up,18.9,significant_up,10,10,,desC4,up,1,10.0,,Steglich high white light
PMM1402,down,,,,,,,,0,,,Steglich high white light
PMM0469,down,-5.3,significant_down,29,,5,psaF,down,1,5.0,,Steglich high white light
PMM0996,up,,,,,,,,0,,,Steglich high white light
PMM1298,down,,,,,,lpdA,,0,,,Steglich high white light
PMM0599,down,,,,,,,,0,,,Steglich high white light
PMM0087,up,-2.5,significant_down,116,,37,,down,-1,37.0,,Steglich high white light
PMM0468,down,-4.4,significant_down,35,,7,psaJ,down,1,7.0,,Steglich high white light
PMM1384,up,,,,,,hli,,0,,,Steglich high white light
PMM1552,down,,,,,,rpsC,,0,,,Steglich high white light
PMM0363,up,,,,,,,,0,,,Steglich high white light
PMM0965,up,,,,,,ureA,,0,,,Steglich high white light
PMM1623,up,,,,,,ssb,,0,,,Steglich high white light
PMM0810,up,4.5,significant_up,32,26,,,up,1,26.0,,Steglich high white light
PMM1511,down,,,,,,rpsL,,0,,,Steglich high white light
PMM0767,down,,,,,,fbp-sbp,,0,,,Steglich high white light
PMM0314,down,,,,,,psbT,,0,,,Steglich high white light
PMM0364,up,2.2,significant_up,141,99,,,up,1,99.0,,Steglich high white light
PMM0307,down,-4.1,significant_down,42,,10,unk6,down,1,10.0,,Steglich high white light
PMM1555,down,,,,,,rplB,,0,,,Steglich high white light
PMM0491,up,,,,,,phhB,,0,,,Steglich high white light
PMM0987,down,,,,,,rpsU,,0,,,Steglich high white light
PMM1456,down,,,,,,atpI,,0,,,Steglich high white light
PMM0766,down,2.1,significant_up,155,105,,rpe,up,-1,105.0,,Steglich high white light
PMM0245,up,-1.0,not_significant,198,,,cobO2,,0,,,Steglich high white light
PMM1608,down,,,,,,acpP,,0,,,Steglich high white light
PMM1545,down,,,,,,rpsH,,0,,,Steglich high white light
PMM1578,down,,,,,,psaD,,0,,,Steglich high white light
PMM1644,down,2.8,significant_up,102,70,,psbZ,up,-1,70.0,,Steglich high white light
PMM0446,up,-2.4,significant_down,127,,40,ctaCI,down,-1,40.0,,Steglich high white light
PMM0754,down,,,,,,tsf,,0,,,Steglich high white light
PMM0429,down,,,,,,petP,,0,,,Steglich high white light
PMM1601,up,,,,,,glgP,,0,,,Steglich high white light
PMM1662,down,,,,,,rplT,,0,,,Steglich high white light
PMM1345,down,,,,,,rpmA,,0,,,Steglich high white light
PMM1610,down,,,,,,tktA,,0,,,Steglich high white light
PMM1336,down,,,,,,fabZ,,0,,,Steglich high white light
PMM0202,down,,,,,,rplJ,,0,,,Steglich high white light
PMM1285,down,,,,,,rpsP,,0,,,Steglich high white light
PMM1542,down,,,,,,rpsE,,0,,,Steglich high white light
PMM0368,up,,,,,,,,0,,,Steglich high white light
PMM1661,down,,,,,,rpmI,,0,,,Steglich high white light
PMM1438,down,,,,,,atpB,,0,,,Steglich high white light
PMM0747,down,,,,,,pcyA,,0,,,Steglich high white light
PMM0160,up,,,,,,ndhA,,0,,,Steglich high white light
PMM0075,up,2.6,significant_up,105,72,,,up,1,72.0,,Steglich high white light
PMM0870,down,,,,,,rpmG,,0,,,Steglich high white light
PMM0201,down,,,,,,rplL,,0,,,Steglich high white light
PMM1135,up,40.8,significant_up,5,5,,hli,up,1,5.0,,Steglich high white light
PMM0494,down,,,,,,ppa,,0,,,Steglich high white light
PMM0936,up,,,,,,umuD,,0,,,Steglich high white light
PMM1655,down,,,,,,tig,,0,,,Steglich high white light
PMM1314,up,2.3,significant_up,137,96,,clpP3,up,1,96.0,,Steglich high white light
PMM1409,up,,,,,,,,0,,,Steglich high white light
PMM1149,up,-2.0,significant_down,171,,57,,down,-1,57.0,,Steglich high white light
PMM0410,down,,,,,,rpsD,,0,,,Steglich high white light
PMM1536,down,,,,,,rpsK,,0,,,Steglich high white light
PMM0751,down,,,,,,,,0,,,Steglich high white light
PMM0858,up,,,,,,,,0,,,Steglich high white light
PMM1609,down,,,,,,fabF,,0,,,Steglich high white light
PMM0329,down,-3.7,significant_down,59,,15,psaE,down,1,15.0,,Steglich high white light
PMM0348,down,,,,,,,,0,,,Steglich high white light
PMM1437,down,,,,,,groES,,0,,,Steglich high white light
PMM0035,up,,,,,,PSTA,,0,,,Steglich high white light
PMM0120,up,,,,,,sulA,,0,,,Steglich high white light
PMM1011,down,-3.3,significant_down,78,,21,,down,1,21.0,,Steglich high white light
PMM0145,up,,,,,,ndhM,,0,,,Steglich high white light
PMM1412,up,,,,,,,,0,,,Steglich high white light
PMM1532,down,,,,,,rplM,,0,,,Steglich high white light
PMM1678,up,,,,,,,,0,,,Steglich high white light
PMM0214,down,,,,,,sul3,,0,,,Steglich high white light
PMM1312,up,,,,,,yacL,,0,,,Steglich high white light
PMM0770,up,,,,,,gnd,,0,,,Steglich high white light
PMM0428,down,,,,,,chlG,,0,,,Steglich high white light
PMM1490,up,,,,,,deg1,,0,,,Steglich high white light
PMM0988,up,,,,,,,,0,,,Steglich high white light
PMM0647,up,,,,,,,,0,,,Steglich high white light
PMM0203,down,,,,,,rplA,,0,,,Steglich high white light
PMM0251,down,,,,,,psbH,,0,,,Steglich high white light
PMM0651,up,,,,,,,,0,,,Steglich high white light
PMM0797,down,,,,,,,,0,,,Steglich high white light
PMM1055,down,2.3,significant_up,136,95,,chlI,up,-1,95.0,,Steglich high white light
PMM0312,down,,,,,,rpsA1,,0,,,Steglich high white light
PMM1109,down,,,,,,,,0,,,Steglich high white light
PMM0626,up,,,,,,,,0,,,Steglich high white light
PMM0502,up,,,,,,ycf41,,0,,,Steglich high white light
PMM0869,down,,,,,,rpsR,,0,,,Steglich high white light
PMM1534,down,,,,,,rplQ,,0,,,Steglich high white light
PMM0046,down,1.2,not_significant,195,,,ndk,,0,,,Steglich high white light
PMM0204,down,,,,,,rplK,,0,,,Steglich high white light
PMM1544,down,,,,,,rplF,,0,,,Steglich high white light
PMM0480,up,,,,,,,,0,,,Steglich high white light
PMM0964,up,,,,,,ureB,,0,,,Steglich high white light
PMM0864,down,,,,,,,,0,,,Steglich high white light
PMM1128,up,3.9,significant_up,49,37,,hli15,up,1,37.0,,Steglich high white light
PMM0511,down,,,,,,ppa,,0,,,Steglich high white light
PMM0691,down,-2.5,significant_down,119,,38,,down,1,38.0,,Steglich high white light
PMM0356,down,-3.1,significant_down,86,,25,pip,down,1,25.0,,Steglich high white light
PMM1154,up,,,,,,ilvN,,0,,,Steglich high white light
PMM0784,down,,,,,,accD,,0,,,Steglich high white light
PMM1183,down,,,,,,rpmH,,0,,,Steglich high white light
PMM1146,up,,,,,,pntA2,,0,,,Steglich high white light
PMM0969,up,,,,,,ureG,,0,,,Steglich high white light
PMM1643,down,,,,,,ribH,,0,,,Steglich high white light
PMM0560,down,,,,,,hisG,,0,,,Steglich high white light
PMM0510,down,,,,,,,,0,,,Steglich high white light
PMM0273,down,,,,,,mviM,,0,,,Steglich high white light
PMM1607,down,,,,,,psaC,,0,,,Steglich high white light
PMM0930,down,,,,,,phdB,,0,,,Steglich high white light
PMM1440,down,-2.0,significant_down,172,,58,ycf65,down,1,58.0,,Steglich high white light
PMM1442,up,,,,,,pepP,,0,,,Steglich high white light
PMM0906,down,-4.3,significant_down,40,,9,psaK,down,1,9.0,,Steglich high white light
PMM0769,down,,,,,,glgC,,0,,,Steglich high white light
PMM0296,down,2.1,significant_up,151,104,,ycf48,up,-1,104.0,,Steglich high white light
PMM0206,down,,,,,,secE,,0,,,Steglich high white light
PMM0753,down,,,,,,rpsB,,0,,,Steglich high white light
PMM0026,down,,,,,,efp,,0,,,Steglich high white light
PMM0142,down,,,,,,,,0,,,Steglich high white light
PMM0844,down,-3.3,significant_down,75,,20,cycI1,down,1,20.0,,Steglich high white light
