scope,label,up_N,tested_N,up_nonN,tested_nonN,rate_N,rate_nonN,odds_ratio,or_haldane,ci_low,ci_high,p_greater,p_bh
MED4,cynS,4,8,1,4,0.5,0.25,3.0,2.3333333333333335,0.23011535471937059,23.659631279642483,0.4242424242424243,0.8242424242424242
MED4,cynD,5,7,1,2,0.7142857142857143,0.5,2.5,2.2,0.1460265203358241,33.14466433130929,0.5833333333333333,0.8242424242424242
MED4,amt1,5,8,2,6,0.625,0.3333333333333333,3.3333333333333335,2.8285714285714287,0.36556981386149695,21.885877944949453,0.296037296037296,0.8242424242424242
MED4,urtA,5,8,3,11,0.625,0.2727272727272727,4.444444444444445,3.816326530612245,0.6127386153382686,23.769267716568663,0.1438040803365881,0.8242424242424242
MED4,urtB,4,8,1,5,0.5,0.2,4.0,3.0,0.3120472168530845,28.841789043218114,0.31546231546231546,0.8242424242424242
MED4,urtC,2,7,1,5,0.2857142857142857,0.2,1.6,1.3636363636363635,0.1265914598332954,14.689017210798669,0.6363636363636362,0.8242424242424242
MED4,urtD,2,7,1,2,0.2857142857142857,0.5,0.4,0.45454545454545453,0.030170768664426466,6.848071142832499,0.9166666666666666,0.9166666666666666
MED4,urtE,3,8,1,3,0.375,0.3333333333333333,1.2,1.0606060606060606,0.09358639757754049,12.01975121290772,0.7212121212121212,0.8242424242424242
POOLED,urtA family,8,11,6,27,0.7272727272727273,0.2222222222222222,9.333333333333334,8.032967032967033,1.7518045124038928,36.835479584526595,0.0055305316508855356,0.011061063301771071
POOLED,cynS family,4,8,1,9,0.5,0.1111111111111111,8.0,5.666666666666667,0.6452957780316034,49.761849068751346,0.11085972850678731,0.11085972850678731
