"group_id","gene","organism","experiment_id","treatment_types","significant_up","significant_down","not_significant"
"cyanorak:CK_00000076","urtA","Prochlorococcus AS9601","10.1016/j.micres.2015.04.006_salt_saltacclimated_5_salt_as9601_rnaseq","salt",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1021/pr060460c_light_HL_vs_LL_med4_proteomics","light",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1021/pr060460c_light_ML_vs_LL_med4_proteomics","light",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/ismej.2015.36_carbon_air_0036_co2_21_med4_microarray","carbon",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/ismej.2015.36_carbon_low_co2_0004_co2_med4_microarray","carbon",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/ismej.2015.36_carbon_low_co2_and_no_med4_microarray","carbon",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq","coculture",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_mit9313_rnaseq_inoc_05e6","coculture",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_mit9313_rnaseq_inoc_5e6","coculture",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9312","10.1038/ismej.2017.189_carbon_stress_elevated_co2_800_ppm_mit9312_rnaseq","carbon",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1038/msb4100087_growth_medium_growth_on_nitrite_as_mit9313_microarray","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray","nitrogen",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1038/msb4100087_growth_medium_growth_on_urea_as_mit9313_microarray","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray","nitrogen",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray","nitrogen",1,0,0
