family,description,up_N,tested_N,up_nonN,tested_nonN,odds_ratio,or_haldane,ci_low,ci_high,p_greater,p_bh
urt*,urea transporter (urtA-E),10,11,7,27,28.571428571428573,19.133333333333333,2.8493300250274385,128.48088541127106,0.00034968520420191864,0.001049055612605756
amt*,ammonium transporter (amt1/2),6,11,6,17,2.2,2.090909090909091,0.47211183610932556,9.26030760523846,0.2692601067887108,0.2692601067887108
cynS,cyanate hydratase,4,8,1,9,8.0,5.666666666666667,0.6452957780316034,49.761849068751346,0.11085972850678731,0.16628959276018096
