group_id,consensus_gene_name,consensus_product,experiment_id,treatment_type,background_factors,organism_name,coculture_partner,timepoint,timepoint_hours,timepoint_order,growth_phase,genes_with_expression,significant_up,significant_down,not_significant,total_genes
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,axenic | light,Prochlorococcus MIT9313,,3h,3.0,2,acute_stress,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,axenic | light,Prochlorococcus MIT9313,,6h,6.0,3,acute_stress,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,axenic | light,Prochlorococcus MIT9313,,12h,12.0,4,acute_stress,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,axenic | light,Prochlorococcus MIT9313,,24h,24.0,5,acute_stress,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,axenic | light,Prochlorococcus MIT9313,,48h,48.0,6,acute_stress,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/nature06130_viral_phage_infected_med4_microarray,viral,light,Prochlorococcus MED4,Phage,1h,1.0,1,infected,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/nature06130_viral_phage_infected_med4_microarray,viral,light,Prochlorococcus MED4,Phage,2h,2.0,2,infected,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/nature06130_viral_phage_infected_med4_microarray,viral,light,Prochlorococcus MED4,Phage,3h,3.0,3,infected,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/nature06130_viral_phage_infected_med4_microarray,viral,light,Prochlorococcus MED4,Phage,4h,4.0,4,infected,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/nature06130_viral_phage_infected_med4_microarray,viral,light,Prochlorococcus MED4,Phage,5h,5.0,5,infected,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/nature06130_viral_phage_infected_med4_microarray,viral,light,Prochlorococcus MED4,Phage,6h,6.0,6,infected,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/nature06130_viral_phage_infected_med4_microarray,viral,light,Prochlorococcus MED4,Phage,7h,7.0,7,infected,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/nature06130_viral_phage_infected_med4_microarray,viral,light,Prochlorococcus MED4,Phage,8h,8.0,8,infected,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/nmicrobiol.2017.100_late_coculture_syn_wh7803_proteomics,coculture,light,Synechococcus WH7803,Ruegeria pomeroyi DSS-3,10 days,240.0,1,acclimated_steady_state,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/s42003-019-0410-x_plastic_hdpe_plastic_leachate_50_natl2a_rnaseq,plastic,axenic | light,Prochlorococcus NATL2A,,120 min,2.0,1,acute_stress,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/s42003-019-0410-x_plastic_pvc_plastic_leachate_2_mit9312_rnaseq,plastic,axenic | light,Prochlorococcus MIT9312,,90 min,1.5,1,acute_stress,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1038/s43705-022-00197-2_carbon_stress_elevated_pco2_800_ppm_wh8102_rnaseq,carbon,axenic | coculture,Synechococcus WH8102,,mid-exponential,,1,exponential,1,1,0,0,2
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,phosphorus,axenic | light,Prochlorococcus MED4,,0h,0.0,1,exponential,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,phosphorus,axenic | light,Prochlorococcus MED4,,4h,4.0,2,acute_stress,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,phosphorus,axenic | light,Prochlorococcus MED4,,12h,12.0,3,acute_stress,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,phosphorus,axenic | light,Prochlorococcus MED4,,24h,24.0,4,acute_stress,1,0,0,1,1
