"gene_name","locus_tag","experiment_id","treatment_types","expression_status"
"urtC","PMM0972","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"urtA","PMM0970","10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq","coculture","not_significant"
"urtB","PMM0971","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen","significant_up"
"urtB","PMM0971","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","significant_up"
"amt1","PMM0263","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"amt1","PMM0263","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"urtC","PMM0972","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"amt1","PMM0263","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"amt1","PMM0263","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen","not_significant"
"urtA","PMM0970","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"amt1","PMM0263","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen","not_significant"
"cynS","PMM0373","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"urtC","PMM0972","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"cynD","PMM0372","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","significant_up"
"amt1","PMM0263","10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq","coculture","not_significant"
"urtA","PMM0970","10.1038/ismej.2015.36_carbon_air_0036_co2_21_med4_microarray","carbon","significant_up"
"urtD","PMM0973","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"urtC","PMM0972","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"urtA","PMM0970","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","significant_down"
"urtE","PMM0974","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"urtA","PMM0970","10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_dark","light","significant_down"
"urtA","PMM0970","10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray","phosphorus","significant_down"
