"experiment_id","treatment_types","table_scope","omics_type"
"10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq","coculture","all_detected_genes","RNASEQ"
"10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","all_detected_genes","PROTEOMICS"
"10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","all_detected_genes","PROTEOMICS"
"10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","all_detected_genes","RNASEQ"
"10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic","nitrogen","all_detected_genes","RNASEQ"
"10.1128/spectrum.03275-22_dark_low_glucose_med4_proteomics","carbon","all_detected_genes","PROTEOMICS"
"10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics","carbon","all_detected_genes","PROTEOMICS"
"10.1128/spectrum.03275-22_light_low_glucose_med4_proteomics","carbon","all_detected_genes","PROTEOMICS"
"10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics","carbon","all_detected_genes","PROTEOMICS"
"10.3389/fmicb.2022.1038136_salt_low_salinity_acclimation_28_med4_rnaseq","salt","significant_only","RNASEQ"
"10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen","filtered_subset","RNASEQ"
"10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq","coculture","all_detected_genes","RNASEQ"
"10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_dark","light","significant_only","RNASEQ"
"10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_infected","light","significant_only","RNASEQ"
"10.1371/journal.pone.0165375_viral_phage_phm2_lysate_med4_rnaseq_dark","viral","significant_only","RNASEQ"
"10.1371/journal.pone.0165375_viral_phage_phm2_lysate_med4_rnaseq_light","viral","significant_only","RNASEQ"
"10.1038/ismej.2015.36_carbon_air_0036_co2_21_med4_microarray","carbon","filtered_subset","MICROARRAY"
"10.1038/ismej.2015.36_carbon_ambient_co2_no_o2_med4_microarray","carbon","filtered_subset","MICROARRAY"
"10.1038/ismej.2015.36_carbon_low_co2_0004_co2_med4_microarray","carbon","filtered_subset","MICROARRAY"
"10.1038/ismej.2015.36_carbon_low_co2_and_no_med4_microarray","carbon","filtered_subset","MICROARRAY"
"10.1186/1471-2180-14-11_expression_profiling_med4_rnaseq","growth_phase","","RNASEQ"
"10.1126/science.1243457_vesicle_proteomics_med4","compartment","significant_only","VESICLE_PROTEOMICS"
"10.1126/science.1243457_vesicle_dnaseq_med4","compartment","top_n","VESICLE_DNASEQ"
"10.1371/journal.pone.0043432_waldbauer_2012_med4_paired_diel","diel","","PAIRED_RNASEQ_PROTEOME"
"10.1038/ismej.2011.49_iron_iron_starvation_med4_med4_microarray_light_2","iron","significant_any_timepoint","MICROARRAY"
"10.1038/ismej.2011.49_iron_iron_starvation_med4_med4_microarray_light","iron","significant_any_timepoint","MICROARRAY"
"10.1038/ismej.2011.49_growth_medium_ironreplete_control_med4_med4_microarray","iron","significant_any_timepoint","MICROARRAY"
"10.1371/journal.pone.0005135_diel_cycling_med4_microarray","diel","","MICROARRAY"
"10.1038/nature06130_viral_phage_infected_med4_microarray","viral","significant_only","MICROARRAY"
"10.1021/pr060460c_light_HL_vs_LL_med4_proteomics","light","all_detected_genes","PROTEOMICS"
"10.1021/pr060460c_light_ML_vs_LL_med4_proteomics","light","all_detected_genes","PROTEOMICS"
"10.1128/JB.01097-06_light_stress_blue_light_13_umol_med4_microarray","light","filtered_subset","MICROARRAY"
"10.1128/JB.01097-06_light_stress_dcmu_white_light_13_med4_microarray","light","filtered_subset","MICROARRAY"
"10.1128/JB.01097-06_light_stress_green_light_13_umol_med4_microarray","light","filtered_subset","MICROARRAY"
"10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray","nitrogen","all_detected_genes","MICROARRAY"
"10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray","nitrogen","all_detected_genes","MICROARRAY"
"10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray","light","filtered_subset","MICROARRAY"
"10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","all_detected_genes","MICROARRAY"
"10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray","phosphorus","filtered_subset","MICROARRAY"
"10.1128/JB.01097-06_light_stress_red_light_13_umol_med4_microarray","light","filtered_subset","MICROARRAY"
"10.1128/JB.01097-06_light_stress_white_light_13_umol_med4_microarray","light","filtered_subset","MICROARRAY"
