pathway_id,pathway_name,direction,a,b,c,d,odds_ratio,p_value,fold_enrichment,expected,padj,test_type,pathway_coverage,n_pathway_genes_in_universe,n_pathway_genes_total,underpowered,timepoint,experiment
cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,up,13,7,194,1483,14.19661266568483,3.313382291740288e-08,5.328743961352657,2.43959929286977,2.286233781300799e-06,vs_genome,0.971830985915493,207,213,False,,de_ctrl_tolonen_cyanate
cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,combined,17,26,190,1464,5.038056680161944,3.58987356103637e-06,3.2410965060105608,5.245138479670006,0.0002477012757115095,vs_genome,0.971830985915493,207,213,False,,de_ctrl_tolonen_cyanate
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,down,3,20,7,1667,35.72142857142857,0.00024560948083994754,22.13478260869565,0.13553329404832057,0.005649018059318793,vs_genome,1.0,10,10,False,,de_ctrl_tolonen_cyanate
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,combined,3,40,7,1647,17.646428571428572,0.0016077082250392863,11.83953488372093,0.253388332351208,0.02773296688192769,vs_genome,1.0,10,10,False,,de_ctrl_tolonen_cyanate
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,5,18,17,1657,27.075163398692812,6.530520803430192e-06,16.768774703557312,0.29817324690630526,0.0002253029677183416,vs_genome,1.0,22,22,False,,de_ctrl_tolonen_cyanate
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,combined,5,38,17,1637,12.670278637770897,0.00015771443769744512,8.969344608879492,0.5574543311726576,0.003627432067041238,vs_genome,1.0,22,22,False,,de_ctrl_tolonen_cyanate
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,5,18,12,1662,38.47222222222222,1.6046663103625405e-06,21.70076726342711,0.23040659988214496,0.00011072197541501529,vs_genome,1.0,17,17,False,,de_ctrl_tolonen_cyanate
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,combined,5,38,12,1642,18.00438596491228,4.07282092809305e-05,11.607387140902873,0.4307601649970536,0.001405123220192102,vs_genome,1.0,17,17,False,,de_ctrl_tolonen_cyanate
cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,up,10,8,197,1482,9.403553299492385,1.0724565648858745e-05,4.554482018250134,2.195639363582793,0.0007399950297712534,vs_genome,0.971830985915493,207,213,False,,de_ctrl_tolonen_urea
cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,combined,14,18,193,1472,5.932066781807714,6.681704639073102e-06,3.5866545893719803,3.9033588685916323,0.00046103762009604404,vs_genome,0.971830985915493,207,213,False,,de_ctrl_tolonen_urea
