pathway_id,pathway_name,direction,a,b,c,d,odds_ratio,p_value,fold_enrichment,expected,padj,test_type,pathway_coverage,n_pathway_genes_in_universe,n_pathway_genes_total,underpowered,timepoint,experiment
cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,up,28,61,93,658,3.247664375110171,9.621652730695867e-06,2.1840468010028786,12.820238095238095,0.0006446507329566231,vs_genome,0.568075117370892,121,213,False,12h,de_ref_read_ndep
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,8,81,10,741,7.318518518518519,0.00021040392394150716,4.194756554307116,1.9071428571428573,0.00704853145204049,vs_genome,0.6428571428571429,18,28,False,12h,de_ref_read_ndep
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,down,8,118,0,714,inf,2.112351729729902e-07,6.666666666666667,1.2,7.076378294595172e-06,vs_genome,0.8,8,10,False,12h,de_ref_read_ndep
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,combined,8,207,0,625,inf,1.6694158797239667e-05,3.906976744186047,2.0476190476190474,0.0005592543197075288,vs_genome,0.8,8,10,False,12h,de_ref_read_ndep
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,8,118,8,706,5.983050847457627,0.0009282026478569179,3.3333333333333335,2.4,0.02072985913547117,vs_genome,0.9411764705882353,16,17,False,12h,de_ref_read_ndep
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,31,95,23,691,9.803661327231122,5.835365998020067e-14,3.8271604938271606,8.1,3.909695218673445e-12,vs_genome,0.8852459016393442,54,61,False,12h,de_ref_read_ndep
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,combined,31,184,23,602,4.409735349716446,2.701060629704504e-07,2.2428940568475455,13.821428571428571,1.8097106219020175e-05,vs_genome,0.8852459016393442,54,61,False,12h,de_ref_read_ndep
cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,up,31,84,93,645,2.5595238095238093,0.00012320616248517375,1.8543478260869566,16.71746776084408,0.006170424787609822,vs_genome,0.5821596244131455,124,213,False,24h,de_ref_read_ndep
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,9,106,9,729,6.877358490566038,0.0001841917847047708,3.708695652173913,2.4267291910902697,0.006170424787609822,vs_genome,0.6428571428571429,18,28,False,24h,de_ref_read_ndep
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,down,8,158,0,687,inf,1.7913772506615088e-06,5.13855421686747,1.5568581477139507,6.001113789716055e-05,vs_genome,0.8,8,10,False,24h,de_ref_read_ndep
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,combined,8,273,0,572,inf,0.00012962567491356253,3.0355871886120993,2.635404454865182,0.004342460109604345,vs_genome,0.8,8,10,False,24h,de_ref_read_ndep
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,11,155,5,682,9.68,2.0004918867182643e-05,3.532756024096386,3.1137162954279014,0.00044677652136707903,vs_genome,0.9411764705882353,16,17,False,24h,de_ref_read_ndep
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,35,131,18,669,9.930025445292621,1.678251602157824e-14,3.393384860195499,10.314185228604924,1.124428573445742e-12,vs_genome,0.8688524590163934,53,61,False,24h,de_ref_read_ndep
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,combined,35,246,18,554,4.378952122854562,3.574719738841042e-07,2.004633049083462,17.45955451348183,2.395062225023498e-05,vs_genome,0.8688524590163934,53,61,False,24h,de_ref_read_ndep
cyanorak.role:P.3,Transcription > Transcription factors,down,2,6,7,1682,80.0952380952381,0.0006889647849841899,47.138888888888886,0.04242781378903948,0.047538570163909104,vs_genome,1.0,9,9,False,0h,de_ref_tolonen_ndep
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,12,133,16,1536,8.661654135338345,8.939843847818615e-07,5.015763546798029,2.392457277548615,6.168492254994845e-05,vs_genome,1.0,28,28,False,12h,de_ref_tolonen_ndep
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,combined,13,294,15,1375,4.053287981859411,0.00047992690748973823,2.566426244765007,5.065409546258103,0.006622991323358388,vs_genome,1.0,28,28,False,12h,de_ref_tolonen_ndep
cyanorak.role:G.5,Energy metabolism > Pentose phosphate pathway,down,6,156,10,1525,5.865384615384615,0.0024560216470890174,3.928240740740741,1.5274012964054213,0.028244248941523702,vs_genome,1.0,16,16,False,12h,de_ref_tolonen_ndep
cyanorak.role:G.5,Energy metabolism > Pentose phosphate pathway,combined,9,298,7,1383,5.966922339405561,0.0006454921480762247,3.1093241042345277,2.894519740718916,0.007423159702876584,vs_genome,1.0,16,16,False,12h,de_ref_tolonen_ndep
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,down,10,152,0,1535,inf,4.86186242373273e-11,10.475308641975309,0.9546258102533883,1.6773425361877918e-09,vs_genome,1.0,10,10,False,12h,de_ref_tolonen_ndep
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,combined,10,297,0,1390,inf,3.324891513310218e-08,5.527687296416938,1.8090748379493222,1.1470875720920253e-06,vs_genome,1.0,10,10,False,12h,de_ref_tolonen_ndep
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,12,150,10,1525,12.2,1.0763002923565406e-07,5.713804713804714,2.100176782557454,1.8566180043150325e-06,vs_genome,1.0,22,22,False,12h,de_ref_tolonen_ndep
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,combined,13,294,9,1381,6.784958427815571,1.8280714783643357e-05,3.2663606751554637,3.979964643488509,0.0004204564400237972,vs_genome,1.0,22,22,False,12h,de_ref_tolonen_ndep
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,11,151,6,1529,18.56401766004415,3.242984918979507e-08,6.7781408859840235,1.6228638774307602,7.458865313652866e-07,vs_genome,1.0,17,17,False,12h,de_ref_tolonen_ndep
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,combined,11,296,6,1384,8.572072072072071,2.5342186772063573e-05,3.576738838858019,3.075427224513848,0.0004371527218180966,vs_genome,1.0,17,17,False,12h,de_ref_tolonen_ndep
cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,10,152,18,1517,5.544590643274854,0.00013751690292998468,3.741181657848325,2.6729522687094875,0.0018977332604337884,vs_genome,0.9032258064516129,28,31,False,12h,de_ref_tolonen_ndep
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,42,120,19,1516,27.926315789473684,5.051601975786131e-31,7.21250758955677,5.823217442545669,3.48560536329243e-29,vs_genome,1.0,61,61,False,12h,de_ref_tolonen_ndep
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,combined,42,265,19,1371,11.436345580933466,6.623528016216894e-19,3.805948630319859,11.035356511490866,4.5702343311896573e-17,vs_genome,1.0,61,61,False,12h,de_ref_tolonen_ndep
cyanorak.role:R.2,Other > Conserved hypothetical proteins,up,38,107,192,1360,2.515576323987539,1.5086000457174367e-05,1.933613193403298,19.652327637006483,0.0005204670157725156,vs_genome,0.6764705882352942,230,340,False,12h,de_ref_tolonen_ndep
cyanorak.role:D.4,Cellular processes > Chaperones,down,5,136,8,1548,7.113970588235294,0.0027493341613281925,4.6290234588106935,1.0801414260459634,0.027100579590235038,vs_genome,1.0,13,13,False,24h,de_ref_tolonen_ndep
cyanorak.role:D.4,Cellular processes > Chaperones,combined,6,210,7,1474,6.016326530612245,0.0031381526549304505,3.626068376068376,1.6546847377725398,0.030933219027171582,vs_genome,1.0,13,13,False,24h,de_ref_tolonen_ndep
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,9,66,19,1603,11.504784688995215,1.3934611163266695e-06,7.272857142857144,1.2374779021803182,9.61488170265402e-05,vs_genome,1.0,28,28,False,24h,de_ref_tolonen_ndep
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,combined,10,206,18,1463,3.9455231930960086,0.0014817558533793637,2.8058862433862433,3.5639363582793164,0.01704019231386268,vs_genome,1.0,28,28,False,24h,de_ref_tolonen_ndep
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,down,10,131,0,1556,inf,1.1616736270872797e-11,12.035460992907803,0.8308780200353565,4.0077740134511146e-10,vs_genome,1.0,10,10,False,24h,de_ref_tolonen_ndep
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,combined,10,206,0,1481,inf,9.277322324927984e-10,7.856481481481482,1.2728344136711844,3.200676202100155e-08,vs_genome,1.0,10,10,False,24h,de_ref_tolonen_ndep
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,10,131,12,1544,9.821882951653944,3.12236607779209e-06,5.470664087685364,1.8279316440777844,5.386081484191356e-05,vs_genome,1.0,22,22,False,24h,de_ref_tolonen_ndep
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,combined,11,205,11,1470,7.170731707317073,2.183996613898012e-05,3.928240740740741,2.8002357100766058,0.0003767394158974071,vs_genome,1.0,22,22,False,24h,de_ref_tolonen_ndep
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,10,131,7,1549,16.892039258451472,1.353548230150332e-07,7.0796829370045895,1.412492634060106,3.1131609293457637e-06,vs_genome,1.0,17,17,False,24h,de_ref_tolonen_ndep
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,combined,10,206,7,1474,10.221914008321775,7.928507227553476e-06,4.621459694989107,2.1638185032410138,0.00018235566623372995,vs_genome,1.0,17,17,False,24h,de_ref_tolonen_ndep
cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,9,132,19,1537,5.51555023923445,0.00025740769516575197,3.868541033434651,2.3264584560989983,0.003552226193287377,vs_genome,0.9032258064516129,28,31,False,24h,de_ref_tolonen_ndep
cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,combined,10,206,18,1463,3.9455231930960086,0.0014817558533793637,2.8058862433862433,3.5639363582793164,0.01704019231386268,vs_genome,0.9032258064516129,28,31,False,24h,de_ref_tolonen_ndep
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,41,100,20,1536,31.488,2.3294471186624938e-32,8.089408208347866,5.068355922215675,1.6073185118771207e-30,vs_genome,1.0,61,61,False,24h,de_ref_tolonen_ndep
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,combined,41,175,20,1461,17.114571428571427,3.879792030326061e-24,5.280585913782635,7.764289923394225,2.677056500924982e-22,vs_genome,1.0,61,61,False,24h,de_ref_tolonen_ndep
cyanorak.role:L.3,Protein fate > Protein folding and stabilization,down,8,133,20,1536,4.619548872180451,0.0013834260518903717,3.4387031408308,2.3264584560989983,0.015909399596739274,vs_genome,1.0,28,28,False,24h,de_ref_tolonen_ndep
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,3,3,25,1666,66.64,7.79382121774453e-05,30.303571428571427,0.09899823217442545,0.005377736640243726,vs_genome,1.0,28,28,False,3h,de_ref_tolonen_ndep
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,combined,3,3,25,1666,66.64,7.79382121774453e-05,30.303571428571427,0.09899823217442545,0.005377736640243726,vs_genome,1.0,28,28,False,3h,de_ref_tolonen_ndep
cyanorak.role:Q.1,"Transport and binding proteins > Amino acids, peptides and amines",up,2,4,8,1683,105.1875,0.00046318131057371546,56.56666666666667,0.03535651149086624,0.015979755214793185,vs_genome,1.0,10,10,False,3h,de_ref_tolonen_ndep
cyanorak.role:Q.1,"Transport and binding proteins > Amino acids, peptides and amines",combined,2,4,8,1683,105.1875,0.00046318131057371546,56.56666666666667,0.03535651149086624,0.015979755214793185,vs_genome,1.0,10,10,False,3h,de_ref_tolonen_ndep
cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,up,15,33,192,1457,3.449337121212121,0.00032517838991778477,2.5618961352657004,5.855038302887449,0.022437308904327147,vs_genome,0.971830985915493,207,213,False,48h,de_ref_tolonen_ndep
cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,combined,24,66,183,1424,2.829607550919026,9.246823234242935e-05,2.1861513687600644,10.978196817913966,0.0015950770079069063,vs_genome,0.971830985915493,207,213,False,48h,de_ref_tolonen_ndep
cyanorak.role:D.4,Cellular processes > Chaperones,down,3,39,10,1645,12.653846153846153,0.003394573141599161,9.324175824175825,0.3217442545668827,0.04962455314278577,vs_genome,1.0,13,13,False,48h,de_ref_tolonen_ndep
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,down,6,36,4,1651,68.79166666666667,3.1125438323610946e-08,24.242857142857144,0.24749558043606365,1.0738276221645777e-06,vs_genome,1.0,10,10,False,48h,de_ref_tolonen_ndep
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,combined,6,84,4,1603,28.625,3.341831276499966e-06,11.313333333333333,0.5303476723629935,0.00011529317903924884,vs_genome,1.0,10,10,False,48h,de_ref_tolonen_ndep
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,7,35,15,1640,21.866666666666667,4.4011600730253965e-07,12.856060606060607,0.54449027695934,1.0122668167958412e-05,vs_genome,1.0,22,22,False,48h,de_ref_tolonen_ndep
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,combined,7,83,15,1592,8.951004016064257,8.30976573699281e-05,5.99949494949495,1.1667648791985858,0.0015950770079069063,vs_genome,1.0,22,22,False,48h,de_ref_tolonen_ndep
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,9,33,8,1647,56.14772727272727,2.986187966222451e-11,21.39075630252101,0.4207424867413082,2.0604696966934914e-09,vs_genome,1.0,17,17,False,48h,de_ref_tolonen_ndep
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,combined,9,81,8,1599,22.208333333333332,3.829798788031904e-08,9.98235294117647,0.901591043017089,2.6425611637420137e-06,vs_genome,1.0,17,17,False,48h,de_ref_tolonen_ndep
cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,4,38,24,1631,7.1535087719298245,0.0043151785341552845,5.772108843537415,0.6929876252209782,0.04962455314278577,vs_genome,0.9032258064516129,28,31,False,48h,de_ref_tolonen_ndep
cyanorak.role:L.3,Protein fate > Protein folding and stabilization,down,4,38,24,1631,7.1535087719298245,0.0043151785341552845,5.772108843537415,0.6929876252209782,0.04962455314278577,vs_genome,1.0,28,28,False,48h,de_ref_tolonen_ndep
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,11,102,17,1567,9.940599769319492,5.801071043635777e-07,5.899810366624526,1.8644667059516795,4.002739020108686e-05,vs_genome,1.0,28,28,False,6h,de_ref_tolonen_ndep
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,combined,11,225,17,1444,4.1526797385620915,0.0007242641326681667,2.8249092009685226,3.893930465527401,0.009994845030820699,vs_genome,1.0,28,28,False,6h,de_ref_tolonen_ndep
cyanorak.role:G.5,Energy metabolism > Pentose phosphate pathway,combined,8,228,8,1453,6.37280701754386,0.0005868189074443647,3.5953389830508473,2.225103123158515,0.009994845030820699,vs_genome,1.0,16,16,False,6h,de_ref_tolonen_ndep
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,down,9,114,1,1573,124.1842105263158,3.9251888156493874e-10,12.417073170731708,0.7248084855627578,1.3541901413990387e-08,vs_genome,1.0,10,10,False,6h,de_ref_tolonen_ndep
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,combined,9,227,1,1460,57.88546255506608,1.4969777689567538e-07,6.471610169491525,1.3906894519740718,5.1645733029008005e-06,vs_genome,1.0,10,10,False,6h,de_ref_tolonen_ndep
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,11,112,11,1563,13.955357142857142,6.680188017905406e-08,6.8983739837398375,1.5945786682380672,1.5364432441182434e-06,vs_genome,1.0,22,22,False,6h,de_ref_tolonen_ndep
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,combined,12,224,10,1451,7.773214285714285,7.164946293740968e-06,3.9221879815100147,3.059516794342958,0.00016479376475604229,vs_genome,1.0,22,22,False,6h,de_ref_tolonen_ndep
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,34,89,27,1547,21.888472742405327,5.886803601425803e-25,7.689990670398507,4.421331761932823,4.061894484983804e-23,vs_genome,1.0,61,61,False,6h,de_ref_tolonen_ndep
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,combined,34,202,27,1434,8.93949394939494,4.424175770277014e-15,4.007918866351764,8.483205657041838,3.0526812814911395e-13,vs_genome,1.0,61,61,False,6h,de_ref_tolonen_ndep
cyanorak.role:R.2,Other > Conserved hypothetical proteins,up,31,82,199,1385,2.6311435224905013,3.901136189266329e-05,2.0241246633320507,15.315262227460224,0.0013458919852968835,vs_genome,0.6764705882352942,230,340,False,6h,de_ref_tolonen_ndep
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,7,33,20,1364,14.466666666666667,4.719702822379609e-06,9.22962962962963,0.7584269662921348,0.000325659494744193,vs_genome,0.9642857142857143,27,28,False,day 14,de_weissberg_proteomics_axenic
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,12,83,44,1285,4.222343921139102,0.00018648390847451413,3.21203007518797,3.735955056179775,0.012867389684741475,vs_genome,0.9180327868852459,56,61,False,day 14,de_weissberg_proteomics_axenic
cyanorak.role:J.3,Photosynthesis and respiration > Cytochrome b6/f complex,down,7,250,0,1167,inf,5.828895034958584e-06,5.5408560311284045,1.2633426966292134,0.0004021937574121423,vs_genome,0.5833333333333334,7,12,False,day 31,de_weissberg_proteomics_axenic
cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,13,244,9,1158,6.855191256830601,1.726163823757574e-05,3.274142200212239,3.970505617977528,0.0005955265191963631,vs_genome,0.7096774193548387,22,31,False,day 31,de_weissberg_proteomics_axenic
cyanorak.role:B.5,cyanorak.role:B.5,down,14,190,30,1190,2.92280701754386,0.00212710677918625,2.2210338680926918,6.303370786516854,0.03669259194096281,vs_genome,0.8979591836734694,44,49,False,day 89,de_weissberg_proteomics_axenic
cyanorak.role:J.3,Photosynthesis and respiration > Cytochrome b6/f complex,down,6,198,1,1219,36.93939393939394,4.998195167304715e-05,5.983193277310924,1.002808988764045,0.0034487546654402533,vs_genome,0.5833333333333334,7,12,False,day 89,de_weissberg_proteomics_axenic
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,7,197,7,1213,6.157360406091371,0.0015755000630125974,3.490196078431373,2.00561797752809,0.03623650144928974,vs_genome,0.8235294117647058,14,17,False,day 89,de_weissberg_proteomics_axenic
cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,10,194,12,1208,5.189003436426117,0.0003950477379128703,3.1729055258467023,3.151685393258427,0.013629146957994024,vs_genome,0.7096774193548387,22,31,False,day 89,de_weissberg_proteomics_axenic
cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,up,11,24,157,1232,3.596602972399151,0.0014642670657841093,2.6639455782312926,4.129213483146067,0.03367814251303451,vs_genome,0.7887323943661971,168,213,False,day 18,de_weissberg_proteomics_coculture
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,14,21,13,1376,70.56410256410257,2.5560219032481063e-17,21.096296296296295,0.663623595505618,1.7636551132411934e-15,vs_genome,0.9642857142857143,27,28,False,day 18,de_weissberg_proteomics_coculture
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,combined,15,34,12,1363,50.11029411764706,1.4585930220376305e-16,16.145124716553287,0.9290730337078652,1.006429185205965e-14,vs_genome,0.9642857142857143,27,28,False,day 18,de_weissberg_proteomics_coculture
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,5,9,51,1359,14.803921568627452,0.00012008248143769446,9.081632653061225,0.550561797752809,0.008285691219200917,vs_genome,0.9180327868852459,56,61,False,day 18,de_weissberg_proteomics_coculture
cyanorak.role:Q.1,"Transport and binding proteins > Amino acids, peptides and amines",up,5,30,5,1384,46.13333333333333,1.5447966140128825e-06,20.34285714285714,0.24578651685393257,5.3295483183444445e-05,vs_genome,1.0,10,10,False,day 18,de_weissberg_proteomics_coculture
cyanorak.role:Q.1,"Transport and binding proteins > Amino acids, peptides and amines",combined,5,44,5,1370,31.136363636363637,8.701212552658336e-06,14.53061224489796,0.3441011235955056,0.00030019183306671256,vs_genome,1.0,10,10,False,day 18,de_weissberg_proteomics_coculture
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,18,93,9,1304,28.043010752688172,7.657678916460498e-15,8.552552552552552,2.104634831460674,5.283798452357743e-13,vs_genome,0.9642857142857143,27,28,False,day 31,de_weissberg_proteomics_coculture
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,combined,20,228,7,1169,14.649122807017545,9.385926239172137e-11,4.253285543608124,4.702247191011236,3.238144552514387e-09,vs_genome,0.9642857142857143,27,28,False,day 31,de_weissberg_proteomics_coculture
cyanorak.role:G.9,Energy metabolism > TCA cycle,up,5,106,4,1309,15.43632075471698,0.0002578690630492932,7.127127127127128,0.7015449438202247,0.0059309884501337435,vs_genome,1.0,9,9,False,day 31,de_weissberg_proteomics_coculture
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,36,101,20,1267,22.58019801980198,4.430754910609496e-25,6.681960375391033,5.387640449438202,3.057220888320552e-23,vs_genome,0.9180327868852459,56,61,False,day 31,de_weissberg_proteomics_coculture
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,combined,36,212,20,1156,9.815094339622641,1.5749500366087259e-15,3.6912442396313363,9.752808988764045,1.0867155252600208e-13,vs_genome,0.9180327868852459,56,61,False,day 31,de_weissberg_proteomics_coculture
cyanorak.role:Q.1,"Transport and binding proteins > Amino acids, peptides and amines",up,7,104,3,1310,29.391025641025642,1.4389108307098325e-06,8.98018018018018,0.7794943820224719,4.964242365948922e-05,vs_genome,1.0,10,10,False,day 31,de_weissberg_proteomics_coculture
cyanorak.role:Q.1,"Transport and binding proteins > Amino acids, peptides and amines",combined,7,241,3,1173,11.356846473029046,0.0003354701098596828,4.019354838709677,1.7415730337078652,0.007715812526772704,vs_genome,1.0,10,10,False,day 31,de_weissberg_proteomics_coculture
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,16,129,11,1268,14.29739252995067,2.9728845118227114e-10,5.819667943805874,2.749297752808989,2.0512903131576707e-08,vs_genome,0.9642857142857143,27,28,False,day 60,de_weissberg_proteomics_coculture
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,combined,18,201,9,1196,11.900497512437811,1.5898715689956712e-09,4.334855403348554,4.152387640449438,1.097011382607013e-07,vs_genome,0.9642857142857143,27,28,False,day 60,de_weissberg_proteomics_coculture
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,up,8,137,12,1267,6.1654501216545015,0.00041625306999986403,3.9282758620689657,2.0365168539325844,0.009573820609996873,vs_genome,0.9090909090909091,20,22,False,day 60,de_weissberg_proteomics_coculture
cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,6,68,16,1334,7.356617647058823,0.0006172999707842404,5.248157248157248,1.1432584269662922,0.04259369798411259,vs_genome,0.7096774193548387,22,31,False,day 60,de_weissberg_proteomics_coculture
cyanorak.role:Q.1,"Transport and binding proteins > Amino acids, peptides and amines",up,6,139,4,1275,13.758992805755396,0.0001500721365142924,5.892413793103448,1.0182584269662922,0.005177488709743087,vs_genome,1.0,10,10,False,day 60,de_weissberg_proteomics_coculture
cyanorak.role:Q.9,Transport and binding proteins > Unknown substrate,up,5,140,6,1273,7.5773809523809526,0.002846727001317409,4.463949843260188,1.1200842696629214,0.049106040772725304,vs_genome,0.7857142857142857,11,14,False,day 60,de_weissberg_proteomics_coculture
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,16,145,11,1252,12.559247648902822,1.5227228848168008e-09,5.241315850011502,3.052668539325843,1.0506787905235926e-07,vs_genome,0.9642857142857143,27,28,False,day 89,de_weissberg_proteomics_coculture
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,combined,18,235,9,1162,9.88936170212766,1.8521055441084412e-08,3.752305665349143,4.797050561797753,1.2779528254348243e-06,vs_genome,0.9642857142857143,27,28,False,day 89,de_weissberg_proteomics_coculture
cyanorak.role:Q.1,"Transport and binding proteins > Amino acids, peptides and amines",up,6,155,4,1259,12.183870967741935,0.0002724520787587379,5.306832298136646,1.1306179775280898,0.0062663978114509715,vs_genome,1.0,10,10,False,day 89,de_weissberg_proteomics_coculture
cyanorak.role:R.2,Other > Conserved hypothetical proteins,up,31,130,115,1148,2.3804682274247493,0.00017557989360604388,1.8779885986556624,16.507022471910112,0.006057506329408513,vs_genome,0.4294117647058823,146,340,False,day 89,de_weissberg_proteomics_coculture
