ontology,genome_coverage,best_level,best_level_genome_coverage,best_level_median_genes,best_level_max_genes,best_level_n_terms,score,rank
cyanorak_role,0.7839572192513369,1.0,0.7770053475935829,9.0,308,109,0.7770053475935829,1
go_mf,0.6411764705882353,1.0,0.6390374331550802,17.0,909,15,0.6390374331550802,2
go_bp,0.5983957219251337,1.0,0.5962566844919787,7.0,1035,11,0.5962566844919787,3
ec,0.44224598930481285,1.0,0.43155080213903746,7.0,91,61,0.43155080213903746,4
kegg,0.56951871657754,1.0,0.4090909090909091,14.5,164,38,0.4090909090909091,5
cog_category,0.9315508021390374,,0.0,0.0,0,0,0.0,6
go_cc,0.42620320855614974,,0.0,0.0,0,0,0.0,7
pfam,0.7957219251336899,,0.0,0.0,0,0,0.0,8
tigr_role,0.9224598930481284,,0.0,0.0,0,0,0.0,9
