organism,ontology,background_used,experiment_id,timepoint,direction,n_tested,n_sig,experiment_short
Prochlorococcus MED4,cyanorak_role,organism,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,12h,down,69,6,ismej.2017.88
Prochlorococcus MED4,cyanorak_role,organism,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,12h,up,69,2,ismej.2017.88
Prochlorococcus MED4,cyanorak_role,organism,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,24h,down,69,3,ismej.2017.88
Prochlorococcus MED4,cyanorak_role,organism,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,24h,up,69,2,ismej.2017.88
Prochlorococcus MED4,cyanorak_role,organism,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,3h,down,69,0,ismej.2017.88
Prochlorococcus MED4,cyanorak_role,organism,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,3h,up,69,1,ismej.2017.88
Prochlorococcus MED4,cyanorak_role,organism,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,down,69,2,JB.01097-06
Prochlorococcus MED4,cyanorak_role,organism,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,up,69,1,JB.01097-06
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,down,68,0,ismej.2016.70
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,up,68,0,ismej.2016.70
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray,steady state,down,69,3,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray,steady state,up,69,1,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray,steady state,down,69,0,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray,steady state,up,69,1,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,down,69,1,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,up,69,0,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,12h,down,69,6,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,12h,up,69,2,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,24h,down,69,7,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,24h,up,69,1,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,3h,up,69,2,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,48h,down,69,6,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,48h,up,69,1,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,6h,down,69,3,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,6h,up,69,2,msb4100087
Prochlorococcus MED4,cyanorak_role,table_scope,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,down,69,0,2025.11.24.690089
Prochlorococcus MED4,cyanorak_role,table_scope,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,up,69,2,2025.11.24.690089
Prochlorococcus MED4,cyanorak_role,table_scope,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,down,66,1,2025.11.24.690089
Prochlorococcus MED4,cyanorak_role,table_scope,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,up,66,1,2025.11.24.690089
Prochlorococcus MED4,cyanorak_role,table_scope,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 31,down,66,2,2025.11.24.690089
Prochlorococcus MED4,cyanorak_role,table_scope,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 31,up,66,0,2025.11.24.690089
Prochlorococcus MED4,cyanorak_role,table_scope,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 89,down,66,4,2025.11.24.690089
