class,experiment_short,timepoint,timepoint_hours,direction,n_keypath_tested,n_significant,n_agree_expected,n_disagree_expected
R,ismej.2017.88,12h,12.0,down,11,6,6,0
R,ismej.2017.88,12h,12.0,up,11,1,1,0
R,ismej.2017.88,24h,24.0,down,11,4,4,0
R,ismej.2017.88,24h,24.0,up,11,1,1,0
R,ismej.2017.88,3h,3.0,down,11,0,0,0
R,ismej.2017.88,3h,3.0,up,11,1,0,1
R,msb4100087,0h,0.0,down,11,0,0,0
R,msb4100087,0h,0.0,up,11,0,0,0
R,msb4100087,12h,12.0,down,11,6,6,0
R,msb4100087,12h,12.0,up,11,2,2,0
R,msb4100087,24h,24.0,down,11,6,6,0
R,msb4100087,24h,24.0,up,11,2,2,0
R,msb4100087,3h,3.0,up,11,2,2,0
R,msb4100087,48h,48.0,down,11,4,4,0
R,msb4100087,48h,48.0,up,11,1,1,0
R,msb4100087,6h,6.0,down,11,3,3,0
R,msb4100087,6h,6.0,up,11,2,2,0
