category,omics,timepoint,ontology,experiment_id,term_id,term_name,expected_direction,up_signed_score,down_signed_score,up_contribution,down_contribution,max_abs_contribution,contributing_cluster,abs_contrib
coculture,Prot,day 60,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,7.707278026041056,0.0,7.707278026041056,0.0,7.707278026041056,UP,7.707278026041056
coculture,Prot,day 60,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,2.038219869590544,0.0,-2.038219869590544,0.0,-2.038219869590544,UP,2.038219869590544
coculture,Prot,day 60,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,-0.0,-1.3899598080454418,0.0,1.3899598080454418,1.3899598080454418,DOWN,1.3899598080454418
coculture,Prot,day 60,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,kegg.pathway:ko00910,Nitrogen metabolism,up,2.2739040542246824,0.0,2.2739040542246824,0.0,2.2739040542246824,UP,2.2739040542246824
coculture,Prot,day 60,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,kegg.pathway:ko00195,Photosynthesis,down,-0.0,-1.4967325292393574,0.0,1.4967325292393574,1.4967325292393574,DOWN,1.4967325292393574
coculture,Prot,day 89,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,6.997835189713854,0.0,6.997835189713854,0.0,6.997835189713854,UP,6.997835189713854
coculture,Prot,day 89,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,kegg.pathway:ko00195,Photosynthesis,down,-0.0,-2.6390349622221065,0.0,2.6390349622221065,2.6390349622221065,DOWN,2.6390349622221065
coculture,Prot,day 89,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,kegg.pathway:ko00910,Nitrogen metabolism,up,2.048047559838242,0.0,2.048047559838242,0.0,2.048047559838242,UP,2.048047559838242
coculture,Prot,days 60+89,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,8.311446908895451,0.0,8.311446908895451,0.0,8.311446908895451,UP,8.311446908895451
coculture,Prot,days 60+89,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,up,1.6005385256227391,0.0,1.6005385256227391,0.0,1.6005385256227391,UP,1.6005385256227391
coculture,Prot,days 60+89,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,kegg.pathway:ko00195,Photosynthesis,down,-0.0,-2.255749920713489,0.0,2.255749920713489,2.255749920713489,DOWN,2.255749920713489
coculture,Prot,days 60+89,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,kegg.pathway:ko00910,Nitrogen metabolism,up,2.1022575526879312,0.0,2.1022575526879312,0.0,2.1022575526879312,UP,2.1022575526879312
coculture,RNA,day 31,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,kegg.pathway:ko00195,Photosynthesis,down,-0.0,-1.5027623389299902,0.0,1.5027623389299902,1.5027623389299902,DOWN,1.5027623389299902
coculture,RNA,day 60,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,-0.0,-1.792346761605062,0.0,1.792346761605062,1.792346761605062,DOWN,1.792346761605062
coculture,RNA,day 60,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,-0.0,-1.792346761605062,0.0,1.792346761605062,1.792346761605062,DOWN,1.792346761605062
coculture,RNA,day 60,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,kegg.pathway:ko00195,Photosynthesis,down,-0.0,-8.237670132027016,0.0,8.237670132027016,8.237670132027016,DOWN,8.237670132027016
