term_id_a,n_a,term_id_b,n_b,intersect,union,jaccard,subset_relation,flag
cyanorak.role:D.1,213,cyanorak.role:E.4,28,17,224,0.07589285714285714,none,False
cyanorak.role:D.1,213,cyanorak.role:J.8,31,4,240,0.016666666666666666,none,False
cyanorak.role:D.1,213,cyanorak.role:K.2,61,4,270,0.014814814814814815,none,False
cyanorak.role:D.1,213,cyanorak.role:J.7,17,3,227,0.013215859030837005,none,False
cyanorak.role:D.1,213,cyanorak.role:J.2,22,0,235,0.0,none,False
cyanorak.role:D.1,213,cyanorak.role:J.1,10,0,223,0.0,none,False
cyanorak.role:E.4,28,cyanorak.role:J.1,10,0,38,0.0,none,False
cyanorak.role:E.4,28,cyanorak.role:J.2,22,0,50,0.0,none,False
cyanorak.role:E.4,28,cyanorak.role:J.7,17,0,45,0.0,none,False
cyanorak.role:E.4,28,cyanorak.role:J.8,31,0,59,0.0,none,False
cyanorak.role:E.4,28,cyanorak.role:K.2,61,0,89,0.0,none,False
cyanorak.role:J.1,10,cyanorak.role:J.2,22,0,32,0.0,none,False
cyanorak.role:J.1,10,cyanorak.role:J.7,17,0,27,0.0,none,False
cyanorak.role:J.1,10,cyanorak.role:J.8,31,0,41,0.0,none,False
cyanorak.role:J.1,10,cyanorak.role:K.2,61,0,71,0.0,none,False
cyanorak.role:J.2,22,cyanorak.role:J.7,17,0,39,0.0,none,False
cyanorak.role:J.2,22,cyanorak.role:J.8,31,0,53,0.0,none,False
cyanorak.role:J.2,22,cyanorak.role:K.2,61,0,83,0.0,none,False
cyanorak.role:J.7,17,cyanorak.role:J.8,31,0,48,0.0,none,False
cyanorak.role:J.7,17,cyanorak.role:K.2,61,0,78,0.0,none,False
cyanorak.role:J.8,31,cyanorak.role:K.2,61,0,92,0.0,none,False
