class,first_author,experiment_short,experiment_id,timepoint,timepoint_hours,direction,ontology,term_id,term_name,expected_direction,signed_score,p_adjust,count,bg_count,fold_enrichment,is_significant,agrees_with_expected
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,down,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,0.0,1.0,0,16,0.0,False,
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,down,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,0.0,1.0,0,28,0.0,False,
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,down,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,0.0,1.0,0,22,0.0,False,
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,down,cyanorak_role,cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,-1.0549687241866004,0.0881112324222636,2,17,24.95588235294117,False,
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,down,cyanorak_role,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,0.0,1.0,0,28,0.0,False,
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,down,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,0.0,1.0,0,61,0.0,False,
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,down,kegg,kegg.pathway:ko00195,Photosynthesis,down,0.0,1.0,0,48,0.0,False,
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,down,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,0.0,1.0,0,15,0.0,False,
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,down,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,0.0,1.0,0,25,0.0,False,
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,down,kegg,kegg.pathway:ko00910,Nitrogen metabolism,up,0.0,1.0,0,6,0.0,False,
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,down,kegg,kegg.pathway:ko03010,Ribosome,down,0.0,1.0,0,54,0.0,False,
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,up,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,-0.0,1.0,0,16,0.0,False,
R,Andrew C Tolonen,msb4100087,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,0h,0.0,up,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,-0.0,1.0,0,28,0.0,False,
