axis,locus_tag,n_rows
gene_overview,PMM0958,1
gene_overview,PMM1898,1
gene_overview,PMM0246,1
gene_ontology_terms,PMM0958,4
gene_ontology_terms,PMM1898,0
gene_ontology_terms,PMM0246,16
gene_clusters_by_gene,PMM0958,3
gene_clusters_by_gene,PMM1898,1
gene_clusters_by_gene,PMM0246,3
gene_derived_metrics,PMM0958,1
gene_derived_metrics,PMM1898,0
gene_derived_metrics,PMM0246,0
gene_homologs,PMM0958,4
gene_homologs,PMM1898,4
gene_homologs,PMM0246,4
gene_response_profile,PMM0958,1
gene_response_profile,PMM1898,1
gene_response_profile,PMM0246,1
