experiment_id,organism_name,omics_type,background_factors,is_time_course,timepoint,timepoint_order,timepoint_hours,tp_growth_phase,tp_gene_count,tp_significant_up,tp_significant_down,tp_not_significant,experiment_name,publication_doi,treatment_type,coculture_partner,table_scope,table_scope_detail,gene_count,distinct_gene_count,clustering_analysis_count,cluster_types,growth_phases,time_point_growth_phases,publication_title,treatment,control,light_condition,light_intensity,medium,temperature,statistical_test,experimental_context,cluster_count,genes_by_status_significant_up,genes_by_status_significant_down,genes_by_status_not_significant
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,PROTEOMICS,coculture | light,True,day 18,1.0,432.0,nutrient_limited,2226.0,123.0,27.0,2076.0,HOT1A3 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,11130,2226,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Alteromonas HOT1A3 in coculture with Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light,0,1379,1003,8748
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,PROTEOMICS,coculture | light,True,day 31,2.0,744.0,nutrient_limited,2226.0,243.0,179.0,1804.0,HOT1A3 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,11130,2226,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Alteromonas HOT1A3 in coculture with Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light,0,1379,1003,8748
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,PROTEOMICS,coculture | light,True,day 60,3.0,1440.0,nutrient_limited,2226.0,321.0,265.0,1640.0,HOT1A3 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,11130,2226,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Alteromonas HOT1A3 in coculture with Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light,0,1379,1003,8748
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,PROTEOMICS,coculture | light,True,day 89,4.0,2136.0,nutrient_limited,2226.0,355.0,268.0,1603.0,HOT1A3 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,11130,2226,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Alteromonas HOT1A3 in coculture with Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light,0,1379,1003,8748
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,PROTEOMICS,coculture | light,True,days 60+89,5.0,,nutrient_limited,2226.0,337.0,264.0,1625.0,HOT1A3 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,11130,2226,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Alteromonas HOT1A3 in coculture with Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light,0,1379,1003,8748
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,PROTEOMICS,axenic | light,True,day 18,1.0,432.0,nutrient_limited,2226.0,0.0,0.0,2226.0,HOT1A3 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,4452,2226,0,,nutrient_limited,nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Axenic Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light,0,433,578,3441
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,PROTEOMICS,axenic | light,True,day 31,2.0,744.0,nutrient_limited,2226.0,433.0,578.0,1215.0,HOT1A3 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,4452,2226,0,,nutrient_limited,nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Axenic Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light,0,433,578,3441
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,RNASEQ,coculture | light,True,day 18,1.0,432.0,nutrient_limited,3950.0,334.0,329.0,3287.0,HOT1A3 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,19750,3950,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Alteromonas HOT1A3 in coculture with Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light,0,1675,2449,15626
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,RNASEQ,coculture | light,True,day 31,2.0,744.0,nutrient_limited,3950.0,378.0,493.0,3079.0,HOT1A3 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,19750,3950,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Alteromonas HOT1A3 in coculture with Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light,0,1675,2449,15626
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,RNASEQ,coculture | light,True,day 60,3.0,1440.0,nutrient_limited,3950.0,346.0,528.0,3076.0,HOT1A3 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,19750,3950,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Alteromonas HOT1A3 in coculture with Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light,0,1675,2449,15626
