organism_name,condition,timepoint_label,timepoint_hours,locus_tag,gene_name,log2fc_rna,padj_rna,expression_status_rna,log2fc_prot,padj_prot,expression_status_prot,category,category_compact
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_08845,ahpF,-4.448881525355577,0.0007527643748369,significant_down,0.170084635416668,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16155,,-3.5178686013902505,0.1163142459609806,not_significant,0.70321909586589,0.434963621232566,not_significant,both_ns,both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_02340,dps,-3.490127880255657,7.109233745287985e-07,significant_down,0.273719787597657,0.94576612231392,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_19450,,3.460195430890153,0.000160353893034,significant_up,0.970767339070639,0.27849111986039,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16125,katG,-3.301216203792197,0.0006377922783827,significant_down,0.29589335123698,0.911038224530867,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01465,cheA,-3.196547420115876,2.3705387766955434e-05,significant_down,0.24816703796387,0.94576612231392,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_18275,hemH,-3.1962171687914824,9.799032089373416e-08,significant_down,0.138146718343099,0.980516823010817,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_08840,ahpC,-3.1478618054419294,0.0003982183967401,significant_down,-0.514074325561523,0.352097904824644,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_17215,,3.0380254987831647,0.0015189603495594,significant_up,0.649080912272136,0.50543442012612,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_02705,sodN,-2.9486831622811827,0.0054090804022671,significant_down,0.0221182505289734,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01475,aer2,-2.925008711412153,1.2097078935953536e-05,significant_down,-0.327970504760742,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_06955,,-2.840695346002155,5.675979925070829e-05,significant_down,-0.71470324198405,0.743471987849068,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_13975,,2.786268770999514,0.0001520305976152,significant_up,0.34827295939127,0.94309006052488,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_04785,,-2.7628199167291574,5.111615489430679e-05,significant_down,-0.35332743326823,0.606571002837145,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_05885,yeaG,-2.7150895532668056,2.3705387766955434e-05,significant_down,-0.774306615193684,0.434963621232566,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16370,,-2.65903254630414,0.0002093513614358,significant_down,-0.899271011352536,0.417880380661208,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_14680,ppdD,-2.647690975120243,0.0002793251024905,significant_down,0.985174814860027,0.423844469068049,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_10585,,2.635467893631506,2.0073737327063287e-08,significant_up,0.61587460835775,0.314974473801371,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_15100,,-2.612397371310795,0.0353660953148543,significant_down,0.105676651000973,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_18270,,-2.591298910933557,4.667622221511438e-09,significant_down,0.379566192626953,0.843720261991576,not_significant,rna_only_down,asymmetric_sig
