organism_name,condition,timepoint_label,timepoint_hours,paired_pool_size,n_with_fc,pearson_r,pearson_p,spearman_rho,spearman_p,n_concordant_up,n_concordant_down,n_rna_only_up,n_rna_only_down,n_prot_only_up,n_prot_only_down,n_opposite_rna_up,n_opposite_rna_down,n_both_ns,n_concordant_sig,pct_concordant_sig,n_asymmetric_sig,pct_asymmetric_sig,n_opposite_sig,pct_opposite_sig,pct_both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,2221,2221,-0.006242064813245002,0.7687501976975128,-0.0472487681135211,0.025966945553443047,0,0,101,261,0,0,0,0,1859,0,0.0,362,16.29896443043674,0,0.0,83.70103556956326
Alteromonas macleodii HOT1A3,axenic,day 31,744.0,2221,2221,-0.030132388739002005,0.15572805540418405,-0.0693522337025171,0.0010735953946710917,18,52,38,114,381,491,35,34,1058,70,3.1517334533993697,1024,46.10535794687078,69,3.1067086897793788,47.63619990995047
Alteromonas macleodii HOT1A3,coculture,day 18,432.0,2221,2221,-0.09351988791161575,1.012186287757199e-05,-0.11484209895105074,5.726521218356264e-08,14,4,206,159,100,17,6,9,1706,18,0.8104457451598379,482,21.70193606483566,15,0.6753714542998649,76.81224673570463
Alteromonas macleodii HOT1A3,coculture,day 31,744.0,2221,2221,0.028464062134468726,0.1799346658750175,-0.010385490710060985,0.6247144570489541,39,30,197,213,179,132,17,25,1389,69,3.1067086897793788,721,32.462854570013505,42,1.8910400720396219,62.53939666816749
Alteromonas macleodii HOT1A3,coculture,day 60,1440.0,2221,2221,-0.028209021114759272,0.18386898368800958,-0.030191790802275468,0.15491409434865724,31,31,126,208,244,210,24,46,1301,62,2.7915353444394415,788,35.4795137325529,70,3.1517334533993697,58.577217469608286
Alteromonas macleodii HOT1A3,coculture,day 89,2136.0,2221,2221,0.0024910703569893896,0.9065969857997774,-0.02543116987562322,0.2309068323877216,37,34,126,203,267,202,32,51,1269,71,3.1967582170193607,798,35.929761368752814,83,3.737055380459253,57.136425033768575
Prochlorococcus MED4,axenic,day 14,336.0,1424,1424,0.22962330426550243,1.7098751283891537e-18,0.2302994772457053,1.349988063927859e-18,26,38,255,339,11,46,11,3,695,64,4.49438202247191,651,45.71629213483146,14,0.9831460674157303,48.806179775280896
Prochlorococcus MED4,coculture,day 18,432.0,1424,1424,-0.06496954874183258,0.014201572087215251,-0.07791516245112294,0.0032600295409727325,1,0,14,15,34,14,0,0,1346,1,0.0702247191011236,77,5.407303370786517,0,0.0,94.52247191011236
Prochlorococcus MED4,coculture,day 31,744.0,1424,1424,0.1174905529608762,8.784098928765947e-06,0.10014876409481305,0.00015345683814447047,9,27,82,130,93,101,9,9,964,36,2.5280898876404496,406,28.51123595505618,18,1.2640449438202248,67.69662921348315
Prochlorococcus MED4,coculture,day 60,1440.0,1424,1424,0.18341478962660493,3.069704962518581e-12,0.17818469548199728,1.2672988323814095e-11,18,22,67,119,109,52,0,18,1019,40,2.808988764044944,347,24.367977528089888,18,1.2640449438202248,71.55898876404494
Prochlorococcus MED4,coculture,day 89,2136.0,1424,1424,0.21870580937992107,6.997820267561174e-17,0.20880882336440326,1.7123168773168197e-15,19,17,46,82,136,73,2,6,1043,36,2.5280898876404496,337,23.665730337078653,8,0.5617977528089888,73.24438202247191
