experiment_id,timepoint_hours,n_total_rows,n_with_log2fc,n_null_log2fc,median,q1,q3,iqr,abs_max,std
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,432.0,2226,2226,0,0.0348869959513341,-0.1883077621459965,0.25281190872192577,0.44111967086792225,3.13886515299479,0.4055992270358561
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,744.0,2226,2226,0,-0.3604027430216485,-1.0524018605550125,0.7363139788309727,1.7887158393859852,5.87598133087158,1.5951911491324915
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,432.0,2226,2226,0,-0.039346059163411745,-0.34414529800415,0.36833413441975926,0.7124794324239092,3.82494926452637,0.6475940589554264
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,744.0,2226,2226,0,-0.0256144205729153,-0.5258800188700374,0.5446988741556787,1.0705788930257163,5.87431716918945,0.9402819638240827
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,1440.0,2226,2226,0,-0.0812994639078782,-0.6845928827921635,0.5987227757771815,1.2833156585693448,6.40589396158854,1.0888289981175878
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,2136.0,2226,2226,0,-0.02558453877766875,-0.654397805531819,0.6766802469889343,1.3310780525207533,6.83469645182292,1.1164756347739462
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,,2226,2226,0,-0.0557634035746257,-0.6647369066874197,0.6019891897837333,1.266726096471153,6.62029520670573,1.0760524821771396
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic,432.0,3950,3950,0,-0.044352251551270955,-0.6228748430183544,0.4087048763176982,1.0315797193360525,6.181810469135925,0.906731906195918
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic,744.0,3950,3950,0,-0.045354247406643844,-0.5751855103355371,0.3977744238919259,0.9729599342274631,10.51400702546802,0.8876679331233659
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic,,3950,3950,0,0.0388072451057942,-0.790150254047077,0.6252017975409232,1.415352051588,6.364989799186489,1.2578889960804238
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,432.0,3950,3950,0,0.03069744307131855,-0.4717018502353031,0.5218625386558574,0.9935643888911605,7.099580576508896,0.9349730635944693
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,744.0,3950,3950,0,-0.0242015048213529,-0.6137291086198489,0.5348697214637022,1.148598830083551,11.065809246599526,1.1324325072458474
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,1440.0,3950,3950,0,0.0367294569624892,-0.6033607117911788,0.5428545135512362,1.146215225342415,7.365275695638774,1.1341059926880082
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,2136.0,3950,3950,0,-0.0011425526800823,-0.6655967707735069,0.5008357750367003,1.1664325458102072,7.881659730456786,1.1011464138922857
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,,3950,3950,0,0.039963839468586795,-0.5914860235861069,0.5282929356414706,1.1197789592275775,7.647785002552335,1.0854693747715578
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,336.0,1424,1424,0,0.0657609303792317,-0.367592016855875,0.396545410156252,0.7641374270121271,4.85077126820883,0.7705067363903882
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,744.0,1424,1424,0,0.07917944590250711,-0.7668585777282713,0.821229775746664,1.5880883534749353,5.82990550994871,1.3202531769936285
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,2136.0,1424,1424,0,0.1367524464925145,-0.6091464360555026,0.8372659683227545,1.4464124043782571,6.40673510233559,1.2515159142069658
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,432.0,1424,1424,0,0.00127347310384205,-0.32783587773640777,0.3097790082295732,0.6376148859659809,2.90846252441406,0.5532273652572685
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,744.0,1424,1424,0,-0.0130081176757818,-0.5147541364034033,0.43711614608764626,0.9518702824910495,3.6010570526123,0.8222162109760653
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,1440.0,1424,1424,0,-0.02039718627929705,-0.4229246775309262,0.48459593454997074,0.907520612080897,4.24491532643636,0.8356540982938166
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,2136.0,1424,1424,0,-0.0289243062337238,-0.485668659210205,0.494482040405273,0.9801506996154781,4.67224407196045,0.9044683065548655
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,,1424,1424,0,-0.03618574142456145,-0.43619585037231323,0.4697700341542573,0.9059658845265706,4.21590280532837,0.8402688123133469
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,336.0,1849,1849,0,0.0494671073195792,-1.056009880961495,0.9248432772681792,1.9808531582296742,9.582753879264446,1.8171369590763056
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,432.0,1849,1849,0,-0.081094111796352,-0.3716094573044895,0.2159949309390382,0.5876043882435278,2.977416928350797,0.5623862322326684
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,744.0,1849,1849,0,-0.1034398514277475,-0.6531996721529847,0.4383475268263954,1.0915471989793801,5.941762180832684,1.041540976156657
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,1440.0,1849,1849,0,-0.1153451544623587,-0.6735521462336184,0.3961109884243832,1.0696631346580014,5.314405505937215,0.9705370561319827
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,2136.0,1849,1849,0,-0.1574252220518611,-0.6141648101758829,0.3242309364610565,0.9383957466369394,5.380801220852142,0.9260203306112026
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,,1849,1849,0,-0.1031381386324253,-0.5684804898492123,0.3582885486615173,0.9267690385107297,5.285835269870368,0.8820078465225875
