experiment_id,experiment_name,organism_name,omics_type,treatment_type,background_factors,is_time_course,growth_phases,time_point_growth_phases,treatment,control,distinct_gene_count,table_scope,experimental_context
10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,MED4 Coculture with Alteromonas HOT1A3 vs Axenic (RNASEQ),Prochlorococcus MED4,RNASEQ,coculture,light,False,exponential,exponential,Coculture with Alteromonas HOT1A3,Axenic,1849,all_detected_genes,Log exponential day 11 in PRO99-lowN at 24C under continuous light
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),Prochlorococcus MED4,PROTEOMICS,nitrogen,coculture | light,True,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,1424,all_detected_genes,Prochlorococcus MED4 in coculture with Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),Prochlorococcus MED4,PROTEOMICS,nitrogen,axenic | light,True,death | nutrient_limited,nutrient_limited | death | death,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,1424,all_detected_genes,Axenic Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),Prochlorococcus MED4,RNASEQ,nitrogen,coculture | light,True,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,1849,all_detected_genes,Prochlorococcus MED4 in coculture with Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),Prochlorococcus MED4,RNASEQ,nitrogen,axenic | light,False,nutrient_limited,nutrient_limited,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,1849,all_detected_genes,Axenic Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light
