timepoint,timepoint_hours,growth_phase,axis_score,axis_mean_signed_lfc,background_mean_lfc,background_sd_lfc,n_axis_genes_with_data,n_background_genes_with_data,axis_genes_with_data,axis_genes_missing_data
day 14,336.0,nutrient_limited,1.7068766766298755,1.271032651265465,-0.03752919645804552,0.7666411203808741,5,1419,PMM0246;PMM0263;PMM0920;PMM0970;PMM1463,
day 31,744.0,death,0.9265501648933997,1.155355453491211,-0.06454332439950411,1.3166030551956842,5,1419,PMM0246;PMM0263;PMM0920;PMM0970;PMM1463,
day 89,2136.0,death,1.0118305666521885,1.3535697301228868,0.08995404175141619,1.2488411894417812,5,1419,PMM0246;PMM0263;PMM0920;PMM0970;PMM1463,
