locus_tag,gene_name,product,gene_category,annotation_quality,organism_name,annotation_types,expression_edge_count,significant_up_count,significant_down_count,closest_ortholog_group_size,closest_ortholog_genera,cluster_membership_count,cluster_types,numeric_metric_count,boolean_metric_count,categorical_metric_count,gene_summary,function_description,all_identifiers,numeric_metric_types_observed,boolean_metric_types_observed,categorical_metric_types_observed,compartments_observed,derived_metric_count,derived_metric_value_kinds,log2fc,padj,rank,rank_up,de_product,de_gene_category
PMM1828,,Hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category,11,4,4,6.0,Prochlorococcus,1,condition_comparison,0,0,0,Hypothetical protein :: Alternative locus ID,Alternative locus ID,A8WI41 | CK_Pro_MED4_01828 | TX50_RS01930 | WP_036930926.1,,,,,0,,6.716442209499447,4.8838547119055255e-09,4,3,Hypothetical protein,Unknown
PMM1813,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,9,4,1,4.0,Prochlorococcus,1,condition_comparison,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,A8WI26 | CK_Pro_MED4_01813 | TX50_RS01780 | WP_036930939.1,,,,,0,,6.278731081746498,1.8679781613252852e-08,9,5,conserved hypothetical protein,Unknown
PMM0958,,conserved hypothetical protein (DUF1830),Unknown,1,Prochlorococcus MED4,pfam | cog_category | cyanorak_role | tigr_role,31,17,2,11.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,1,0,0,conserved hypothetical protein (DUF1830) :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00958 | Q7V1C1 | TX50_RS05100 | WP_011132591.1,vesicle_dna_avg_read_coverage,,,vesicle,1,numeric,5.739882511894883,1.5179555296357305e-06,14,7,conserved hypothetical protein (DUF1830),Unknown
PMM0030,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,tigr_role,27,10,4,4.0,Prochlorococcus,4,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: -,,CK_Pro_MED4_00030 | TX50_RS00165 | WP_152556136.1,,,,,0,,5.21558509421573,2.743774357673569e-06,25,9,conserved hypothetical protein,Unknown
PMM1427,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,19,10,5,14.0,Prochlorococcus | Synechococcus,2,condition_comparison | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_01427 | Q7V058 | TX50_RS09330 | WP_011133056.1,,,,,0,,4.940958409884867,,36,12,conserved hypothetical protein,Unknown
PMM0684,,conserved hypothetical protein (DUF1651),Unknown,1,Prochlorococcus MED4,pfam | cog_category | cyanorak_role | tigr_role,28,9,0,7.0,Prochlorococcus,4,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein (DUF1651) :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00684 | TX50_RS03635 | WP_036930839.1,,,,,0,,4.737350948185801,4.4140577642682845e-12,43,14,conserved hypothetical protein (DUF1651),Unknown
PMM1966,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | tigr_role,7,2,4,13.0,Prochlorococcus | Synechococcus,1,condition_comparison,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,A8WII3 | CK_Pro_MED4_01966 | TX50_RS06205 | WP_036930560.1,,,,,0,,4.705838225250466,6.593148607998512e-07,45,15,conserved hypothetical protein,Unknown
PMM1898,,Conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,,7,2,1,1.0,Prochlorococcus,1,condition_comparison,0,0,0,Conserved hypothetical protein :: -,,A8WIB7 | CK_Pro_MED4_01898 | TX50_RS09660 | WP_173027985.1,,,,,0,,4.679947892418878,5.2420127670798215e-11,48,16,Conserved hypothetical protein,Unknown
PMM0819,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,pfam | cog_category,29,15,0,4.0,Prochlorococcus,4,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00819 | Q7V1P3 | TX50_RS04385 | WP_011132453.1,,,,,0,,4.660970769559715,1.1209098584843684e-11,49,17,conserved hypothetical protein,Unknown
PMM1939,,Conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,,16,3,0,6.0,Prochlorococcus,1,condition_comparison,0,0,0,Conserved hypothetical protein :: -,,A8WIF8 | CK_Pro_MED4_01939 | TX50_RS05455 | WP_036930287.1,,,,,0,,4.652180082560368,6.418892252351217e-05,50,18,Conserved hypothetical protein,Unknown
PMM1860,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,cyanorak_role | tigr_role,7,1,0,4.0,Prochlorococcus,1,condition_comparison,0,0,0,conserved hypothetical protein :: -,,A8WI79 | CK_Pro_MED4_01860 | TX50_RS09600 | WP_173027963.1,,,,,0,,4.60816166421428,8.977140841532316e-07,53,19,conserved hypothetical protein,Unknown
PMM0337,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | tigr_role,23,11,2,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00337 | Q7V2W7 | TX50_RS01775 | WP_011131974.1,,,,,0,,4.404923755200296,2.0876441643014387e-05,57,21,conserved hypothetical protein,Unknown
PMM1885,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,cyanorak_role | tigr_role,11,2,1,4.0,Prochlorococcus,1,condition_comparison,0,0,0,conserved hypothetical protein :: -,,A8WIA4 | CK_Pro_MED4_01885 | TX50_RS03940 | WP_036930791.1,,,,,0,,4.381109719687346,1.017770533674105e-09,59,23,conserved hypothetical protein,Unknown
PMM0685,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,19,10,0,14.0,Prochlorococcus | Synechococcus,2,condition_comparison | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00685 | Q7V207 | TX50_RS09270 | WP_011132319.1,,,,,0,,4.295477808531503,1.4850609744229278e-08,68,26,conserved hypothetical protein,Unknown
PMM0348,,conserved hypothetical protein family PM-17,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,31,13,3,8.0,Prochlorococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein family PM-17 :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00348 | Q7TUE9 | TX50_RS01845 | WP_011131985.1,,,,,0,,4.180174728276323,3.4656176847035786e-42,77,30,conserved hypothetical protein family PM-17,Unknown
