term_id,term_name,level,count,ontology_type,tree,tree_code
tigr.role:156,Hypothetical proteins / Conserved,0,84,tigr_role,,
cog.category:S,Function unknown,0,83,cog_category,,
cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,57,cyanorak_role,,
cyanorak.role:D.1.9,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification > Other,2,4,cyanorak_role,,
cyanorak.role:R.1,Other > Conserved hypothetical domains,1,4,cyanorak_role,,
go:0016020,membrane,2,4,go_cc,,
tigr.role:856,Not Found,0,4,tigr_role,,
pfam:PF11746,Domain of unknown function (DUF3303),1,3,pfam,,
pfam:PF07864,Protein of unknown function (DUF1651),1,3,pfam,,
pfam:PF10999,Protein of unknown function (DUF2839),1,2,pfam,,
cog.category:H,Coenzyme transport and metabolism,0,2,cog_category,,
cyanorak.role:D.1.5,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification > Phosphorus,2,2,cyanorak_role,,
pfam:PF09876,Predicted metal-binding protein (DUF2103),1,1,pfam,,
pfam:PF12594,Protein of unknown function (DUF3764),1,1,pfam,,
pfam:PF12049,Protein of unknown function (DUF3531),1,1,pfam,,
pfam:PF11833,Protein CHAPERONE-LIKE PROTEIN OF POR1-like,1,1,pfam,,
pfam:PF04402,Protein of unknown function (DUF541),1,1,pfam,,
pfam:PF05258,"Dna[CI] antecedent, DciA",1,1,pfam,,
pfam:PF07444,Ycf66 protein N-terminus,1,1,pfam,,
pfam:PF06172,Cupin superfamily (DUF985),1,1,pfam,,
pfam:PF11302,Protein of unknown function (DUF3104),1,1,pfam,,
pfam:PF11352,Protein of unknown function (DUF3155),1,1,pfam,,
pfam:PF11283,Protein of unknown function (DUF3084),1,1,pfam,,
pfam:PF10693,Protein of unknown function (DUF2499),1,1,pfam,,
pfam:PF01169,Divalent cation/proton antiporter GDT1,1,1,pfam,,
pfam:PF03881,Fructosamine kinase,1,1,pfam,,
pfam:PF08865,Domain of unknown function (DUF1830),1,1,pfam,,
pfam:PF11061,"Cytochrome b6f, subunit Tsr0524-like",1,1,pfam,,
pfam:PF04134,DCC1-like thiol-disulfide oxidoreductase,1,1,pfam,,
pfam:PF11196,Protein of unknown function DUF2834,1,1,pfam,,
pfam:PF07878,"CopG-like RHH_1 or ribbon-helix-helix domain, RHH_5",1,1,pfam,,
pfam:PF01027,Inhibitor of apoptosis-promoting Bax1,1,1,pfam,,
pfam:PF13638,PIN domain,1,1,pfam,,
pfam:PF01938,TRAM domain,1,1,pfam,,
pfam:PF12518,Protein of unknown function,1,1,pfam,,
pfam:PF11319,"Type VI secretion system VasI, EvfG, VC_A0118",1,1,pfam,,
pfam:PF11341,Protein of unknown function (DUF3143),1,1,pfam,,
pfam:PF11211,Protein of unknown function (DUF2997),1,1,pfam,,
tigr.role:133,Transcription / Other,0,1,tigr_role,,
pfam:PF11318,Protein of unknown function (DUF3120),1,1,pfam,,
kegg.orthology:K09705,K09705; uncharacterized protein,3,1,kegg,,
pfam:PF07498,"Rho termination factor, N-terminal domain",1,1,pfam,,
pfam:PF16258,Domain of unknown function (DUF4912),1,1,pfam,,
kegg.brite:ko02044.A6.B2,Imp/Vas secretion system related proteins,1,1,brite,secretion,ko02044
cog.category:M,Cell wall/membrane/envelope biogenesis,0,1,cog_category,,
cog.category:J,"Translation, ribosomal structure and biogenesis",0,1,cog_category,,
cog.category:O,"Post-translational modification, protein turnover, chaperones",0,1,cog_category,,
cyanorak.role:P.5,Transcription > Other,1,1,cyanorak_role,,
cyanorak.role:C.4,Cell envelope > Surface structures,1,1,cyanorak_role,,
cyanorak.role:R.4,Other > Hypothetical proteins,1,1,cyanorak_role,,
cyanorak.role:D.1.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification > Iron,2,1,cyanorak_role,,
go:0006353,DNA-templated transcription termination,7,1,go_bp,,
go:0006974,DNA damage response,4,1,go_bp,,
go:0032259,methylation,3,1,go_bp,,
go:0005886,plasma membrane,3,1,go_cc,,
go:0005618,cell wall,3,1,go_cc,,
go:0005575,cellular_component,0,1,go_cc,,
go:0046872,metal ion binding,5,1,go_mf,,
go:0016301,kinase activity,4,1,go_mf,,
go:0046873,metal ion transmembrane transporter activity,5,1,go_mf,,
go:0008168,methyltransferase activity,4,1,go_mf,,
go:0015035,protein-disulfide reductase activity,3,1,go_mf,,
go:0004518,nuclease activity,3,1,go_mf,,
go:0016787,hydrolase activity,2,1,go_mf,,
kegg.orthology:K09942,K09942; uncharacterized protein,3,1,kegg,,
kegg.orthology:K09797,K09797; uncharacterized protein,3,1,kegg,,
kegg.orthology:K06890,K06890; uncharacterized protein,3,1,kegg,,
kegg.orthology:K11909,vasI; type VI secretion system protein VasI,3,1,kegg,,
tigr.role:91,Cell envelope / Surface structures,0,1,tigr_role,,
