locus_tag,log2fc,annotation_quality,annotation_types,has_any_ontology_row,has_go_bp,has_go_mf,has_go_cc,has_kegg,has_ec,has_cog_category,has_cyanorak_role,has_tigr_role,has_pfam,has_brite
PMM1050,3.048310395769093,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM0347,2.951382820361075,1,go_cc | cog_category | cyanorak_role | tigr_role,True,False,False,True,False,False,True,True,True,False,False
PMM1864,2.942626402248639,0,,False,False,False,False,False,False,False,False,False,False,False
PMM0086,2.877177702771692,1,pfam | cog_category | tigr_role,True,False,False,False,False,False,True,False,True,True,False
PMM0698,2.859368312038584,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM0338,2.8436643709563776,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM2005,2.8293868084854266,0,cyanorak_role | tigr_role,True,False,False,False,False,False,False,True,True,False,False
PMM0309,2.783164267328629,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
TX50_RS09500,2.701940566762947,0,,False,False,False,False,False,False,False,False,False,False,False
PMM1910,2.580277331692581,1,cog_category,True,False,False,False,False,False,True,False,False,False,False
PMM0359,2.5675697258211083,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM0360,2.56522114841542,1,go_mf | pfam | cog_category | kegg | cyanorak_role | tigr_role,True,False,True,False,True,False,True,True,True,True,False
PMM1983,2.555476185509782,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM1479,2.4676848364330675,1,pfam | cog_category | tigr_role,True,False,False,False,False,False,True,False,True,True,False
PMM0975,2.4109045813818564,1,pfam | cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,True,False
PMM0984,2.400888381797426,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM1134,2.388567861059389,1,pfam | cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,True,False
PMM0938,2.344727345296854,1,go_bp | go_mf | cog_category | tigr_role,True,True,True,False,False,False,True,False,True,False,False
PMM1283,2.336846603388784,1,go_cc | pfam | cog_category | kegg | cyanorak_role | tigr_role,True,False,False,True,True,False,True,True,True,True,False
PMM1588,2.2757714841667105,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM1804,2.2752631275457844,1,cog_category | tigr_role,True,False,False,False,False,False,True,False,True,False,False
PMM1884,2.240652732160701,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM1919,2.227193732481097,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM1893,2.147429465264081,1,cog_category,True,False,False,False,False,False,True,False,False,False,False
PMM0731,2.1031547324493243,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM0369,2.0662943513144074,1,cog_category | tigr_role,True,False,False,False,False,False,True,False,True,False,False
PMM1043,2.0643817955354584,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM1870,2.0574953528332585,0,cyanorak_role | tigr_role,True,False,False,False,False,False,False,True,True,False,False
PMM0810,2.035413432007069,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM1013,2.0143684027383726,1,cog_category | cyanorak_role | tigr_role,True,False,False,False,False,False,True,True,True,False,False
PMM1238,1.9983374606964213,1,pfam | cog_category | tigr_role,True,False,False,False,False,False,True,False,True,True,False
