gene_category,sig_up_n405,candidate_aq_le_1_n116,noncandidate_aq_ge_2_n289,candidate_share_of_sig_up
Unknown,133,103,30,0.774
Stress response and adaptation,53,6,47,0.113
Coenzyme metabolism,37,2,35,0.054
Carbohydrate metabolism,25,0,25,0.0
Replication and repair,21,0,21,0.0
Post-translational modification,19,1,18,0.053
Amino acid metabolism,18,0,18,0.0
Cell wall and membrane,16,2,14,0.125
Translation,14,1,13,0.071
Transport,14,0,14,0.0
Nucleotide metabolism,13,0,13,0.0
Transcription,9,1,8,0.111
Central intermediary metabolism,7,0,7,0.0
Photosynthesis,5,0,5,0.0
Lipid metabolism,4,0,4,0.0
Regulatory functions,4,0,4,0.0
Cellular processes,3,0,3,0.0
Energy production,3,0,3,0.0
Cell cycle and division,3,0,3,0.0
Signal transduction,2,0,2,0.0
Secondary metabolites,2,0,2,0.0
