locus_tag,gene_name,experiment_id,treatment_type,timepoint,timepoint_hours,timepoint_order,log2fc,padj,rank,rank_up,rank_down,expression_status,growth_phase,product,experiment_name,treatment,gene_category,omics_type,coculture_partner,table_scope,table_scope_detail,background_factors
PMM1404,hli,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,day 14,336.0,1,9.582753879264446,1.6923763863488662e-25,1,1,,significant_up,nutrient_limited,high light inducible protein,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),PRO99-lowN nutrient starvation,Stress response and adaptation,RNASEQ,,all_detected_genes,,axenic | light
PMM0689,hli,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,day 14,336.0,1,7.724627764684528,6.064171587094446e-27,2,2,,significant_up,nutrient_limited,high light inducible protein,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),PRO99-lowN nutrient starvation,Stress response and adaptation,RNASEQ,,all_detected_genes,,axenic | light
PMM1828,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,day 14,336.0,1,6.716442209499447,4.8838547119055255e-09,4,3,,significant_up,nutrient_limited,Hypothetical protein,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),PRO99-lowN nutrient starvation,Unknown,RNASEQ,,all_detected_genes,,axenic | light
PMM0374,tatA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,day 14,336.0,1,6.418916756577419,1.4233535071503483e-05,7,4,,significant_up,nutrient_limited,"twin arginine-targeting translocase, TatA/E family protein",MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),PRO99-lowN nutrient starvation,Post-translational modification,RNASEQ,,all_detected_genes,,axenic | light
PMM1813,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,day 14,336.0,1,6.278731081746498,1.8679781613252852e-08,9,5,,significant_up,nutrient_limited,conserved hypothetical protein,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),PRO99-lowN nutrient starvation,Unknown,RNASEQ,,all_detected_genes,,axenic | light
PMM1385,hli,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,day 14,336.0,1,6.035214484826836,3.907859320047928e-19,11,6,,significant_up,nutrient_limited,high light inducible protein,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),PRO99-lowN nutrient starvation,Stress response and adaptation,RNASEQ,,all_detected_genes,,axenic | light
PMM0958,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,day 14,336.0,1,5.739882511894883,1.5179555296357305e-06,14,7,,significant_up,nutrient_limited,conserved hypothetical protein (DUF1830),MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),PRO99-lowN nutrient starvation,Unknown,RNASEQ,,all_detected_genes,,axenic | light
PMM1135,hli,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,day 14,336.0,1,5.22794867199713,1.053895082979986e-20,24,8,,significant_up,nutrient_limited,high light inducible protein,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),PRO99-lowN nutrient starvation,Stress response and adaptation,RNASEQ,,all_detected_genes,,axenic | light
PMM0030,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,day 14,336.0,1,5.21558509421573,2.743774357673569e-06,25,9,,significant_up,nutrient_limited,conserved hypothetical protein,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),PRO99-lowN nutrient starvation,Unknown,RNASEQ,,all_detected_genes,,axenic | light
PMM0370,cynA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,day 14,336.0,1,5.158630264411528,6.899092611446335e-10,29,10,,significant_up,nutrient_limited,"cyanate ABC transporter, substrate-binding protein",MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),PRO99-lowN nutrient starvation,Central intermediary metabolism,RNASEQ,,all_detected_genes,,axenic | light
