ontology_type,level,n_terms_with_genes,n_genes_at_level,genome_coverage,min_genes_per_term,q1_genes_per_term,median_genes_per_term,q3_genes_per_term,max_genes_per_term,n_levels_in_ontology,best_effort_share,min_exp_coverage,median_exp_coverage,max_exp_coverage,n_experiments_with_coverage,relevance_rank,tree,tree_code,organism
tigr_role,0,82,2106,0.7143826322930801,5,9.25,16.0,27.5,473,1,,0.8893351182507809,0.8893351182507809,0.8893351182507809,1,1,,,Prochlorococcus MIT9313
cyanorak_role,1,79,1635,0.5546132971506106,5,9.5,16.0,26.0,304,3,,0.6965640339134315,0.6965640339134315,0.6965640339134315,1,2,,,Prochlorococcus MIT9313
go_mf,2,41,1398,0.47421981004070557,5,8.0,22.0,93.0,361,8,0.17073170731707318,0.6135653726015172,0.6135653726015172,0.6135653726015172,1,3,,,Prochlorococcus MIT9313
go_mf,3,83,1282,0.43487109905020355,5,8.5,18.0,42.0,395,8,0.2289156626506024,0.5631414547077198,0.5631414547077198,0.5631414547077198,1,4,,,Prochlorococcus MIT9313
go_bp,3,76,1262,0.4280868385345997,5,8.0,14.5,29.75,465,9,0.23684210526315788,0.5519857206604195,0.5519857206604195,0.5519857206604195,1,5,,,Prochlorococcus MIT9313
go_bp,4,144,1150,0.39009497964721845,5,8.0,14.5,35.75,338,9,0.4166666666666667,0.5064703257474342,0.5064703257474342,0.5064703257474342,1,6,,,Prochlorococcus MIT9313
go_mf,4,95,1133,0.3843283582089552,5,8.0,16.0,26.5,333,8,0.23157894736842105,0.4979919678714859,0.4979919678714859,0.4979919678714859,1,7,,,Prochlorococcus MIT9313
pfam,0,96,1147,0.38907734056987786,5,6.0,8.0,13.25,159,2,,0.49129852744310576,0.49129852744310576,0.49129852744310576,1,8,,,Prochlorococcus MIT9313
go_bp,5,150,1011,0.34294436906377207,5,7.0,11.0,25.75,241,9,0.62,0.44489067380633646,0.44489067380633646,0.44489067380633646,1,9,,,Prochlorococcus MIT9313
brite,0,3,119,0.0403663500678426,14,26.0,38.0,53.0,68,26,,0.42079428826416776,0.42079428826416776,0.42079428826416776,1,10,transporters,ko02000,Prochlorococcus MIT9313
brite,0,3,37,0.012550881953867029,5,10.0,15.0,16.0,17,26,,0.42079428826416776,0.42079428826416776,0.42079428826416776,1,11,peptidases,ko01002,Prochlorococcus MIT9313
brite,0,3,24,0.008141112618724558,5,5.5,6.0,9.5,13,26,,0.42079428826416776,0.42079428826416776,0.42079428826416776,1,12,chaperones,ko03110,Prochlorococcus MIT9313
brite,0,2,23,0.007801899592944369,9,10.25,11.5,12.75,14,26,,0.42079428826416776,0.42079428826416776,0.42079428826416776,1,13,secretion,ko02044,Prochlorococcus MIT9313
brite,0,1,21,0.007123473541383989,21,21.0,21.0,21.0,21,26,,0.42079428826416776,0.42079428826416776,0.42079428826416776,1,14,dna_replication,ko03032,Prochlorococcus MIT9313
brite,0,2,16,0.005427408412483039,11,11.75,12.5,13.25,14,26,,0.42079428826416776,0.42079428826416776,0.42079428826416776,1,15,translation_factors,ko03012,Prochlorococcus MIT9313
brite,0,1,13,0.004409769335142469,13,13.0,13.0,13.0,13,26,,0.42079428826416776,0.42079428826416776,0.42079428826416776,1,16,transcription_factors,ko03000,Prochlorococcus MIT9313
brite,0,1,10,0.0033921302578018998,10,10.0,10.0,10.0,10,26,,0.42079428826416776,0.42079428826416776,0.42079428826416776,1,17,two_component,ko02022,Prochlorococcus MIT9313
go_cc,2,20,950,0.32225237449118044,5,15.25,33.0,140.0,474,6,0.4,0.4132083891120036,0.4132083891120036,0.4132083891120036,1,18,,,Prochlorococcus MIT9313
brite,0,2,68,0.023066485753052916,37,44.0,51.0,58.0,65,26,,0.42079428826416776,0.42079428826416776,0.42079428826416776,1,19,trna_biogenesis,ko03016,Prochlorococcus MIT9313
brite,0,1,54,0.018317503392130258,54,54.0,54.0,54.0,54,26,,0.42079428826416776,0.42079428826416776,0.42079428826416776,1,20,ribosome,ko03011,Prochlorococcus MIT9313
brite,1,34,663,0.22489823609226595,5,8.25,16.0,28.5,84,26,,0.3828647925033467,0.3828647925033467,0.3828647925033467,1,21,enzymes,ko01000,Prochlorococcus MIT9313
brite,1,8,111,0.03765264586160109,6,11.0,13.0,17.5,22,26,,0.3828647925033467,0.3828647925033467,0.3828647925033467,1,22,transporters,ko02000,Prochlorococcus MIT9313
brite,1,5,64,0.021709633649932156,6,13.0,20.0,21.0,35,26,,0.3828647925033467,0.3828647925033467,0.3828647925033467,1,23,trna_biogenesis,ko03016,Prochlorococcus MIT9313
brite,1,3,20,0.0067842605156037995,5,7.0,9.0,9.0,9,26,,0.3828647925033467,0.3828647925033467,0.3828647925033467,1,24,secretion,ko02044,Prochlorococcus MIT9313
brite,1,2,17,0.005766621438263229,7,7.75,8.5,9.25,10,26,,0.3828647925033467,0.3828647925033467,0.3828647925033467,1,25,dna_replication,ko03032,Prochlorococcus MIT9313
brite,1,1,9,0.0030529172320217096,9,9.0,9.0,9.0,9,26,,0.3828647925033467,0.3828647925033467,0.3828647925033467,1,26,transcription_factors,ko03000,Prochlorococcus MIT9313
brite,1,1,7,0.0023744911804613297,7,7.0,7.0,7.0,7,26,,0.3828647925033467,0.3828647925033467,0.3828647925033467,1,27,translation_factors,ko03012,Prochlorococcus MIT9313
cyanorak_role,0,17,1690,0.573270013568521,27,51.0,96.0,138.0,388,3,,0.7206604194556002,0.7206604194556002,0.7206604194556002,1,28,,,Prochlorococcus MIT9313
ec,1,36,854,0.28968792401628224,5,9.75,19.0,37.0,103,4,,0.37527889335118253,0.37527889335118253,0.37527889335118253,1,29,,,Prochlorococcus MIT9313
cog_category,0,18,1391,0.4718453188602442,17,49.0,81.0,116.25,159,1,,0.6050870147255689,0.6050870147255689,0.6050870147255689,1,30,,,Prochlorococcus MIT9313
kegg,1,31,824,0.27951153324287653,5,11.0,30.0,50.5,161,4,,0.36323070058009815,0.36323070058009815,0.36323070058009815,1,31,,,Prochlorococcus MIT9313
brite,1,3,54,0.018317503392130258,30,42.0,54.0,54.0,54,26,,0.3828647925033467,0.3828647925033467,0.3828647925033467,1,32,ribosome,ko03011,Prochlorococcus MIT9313
