ontology_type,level,n_terms_with_genes,n_genes_at_level,genome_coverage,min_genes_per_term,q1_genes_per_term,median_genes_per_term,q3_genes_per_term,max_genes_per_term,n_levels_in_ontology,best_effort_share,min_exp_coverage,median_exp_coverage,max_exp_coverage,n_experiments_with_coverage,relevance_rank,tree,tree_code,organism
kegg,2,98,807,0.2737449118046133,5,7.0,12.0,19.0,269,4,,0.3543061133422579,0.3543061133422579,0.3543061133422579,1,33,,,Prochlorococcus MIT9313
go_mf,5,53,765,0.25949796472184533,5,6.0,10.0,18.0,266,8,0.2830188679245283,0.3364569388665774,0.3364569388665774,0.3364569388665774,1,34,,,Prochlorococcus MIT9313
ec,2,60,718,0.2435549525101764,5,7.0,9.5,17.25,53,4,,0.3150379294957608,0.3150379294957608,0.3150379294957608,1,35,,,Prochlorococcus MIT9313
go_bp,6,109,709,0.24050203527815467,5,7.0,10.0,25.0,188,9,0.7522935779816514,0.3119143239625167,0.3119143239625167,0.3119143239625167,1,36,,,Prochlorococcus MIT9313
brite,2,50,547,0.1855495251017639,5,6.0,9.0,13.75,37,26,,0.29138777331548416,0.29138777331548416,0.29138777331548416,1,37,enzymes,ko01000,Prochlorococcus MIT9313
brite,2,6,54,0.018317503392130258,15,17.0,23.0,29.0,31,26,,0.29138777331548416,0.29138777331548416,0.29138777331548416,1,38,ribosome,ko03011,Prochlorococcus MIT9313
brite,2,6,44,0.014925373134328358,5,7.5,9.5,14.5,19,26,,0.29138777331548416,0.29138777331548416,0.29138777331548416,1,39,trna_biogenesis,ko03016,Prochlorococcus MIT9313
brite,2,6,40,0.013568521031207599,5,5.0,5.5,6.75,12,26,,0.29138777331548416,0.29138777331548416,0.29138777331548416,1,40,transporters,ko02000,Prochlorococcus MIT9313
brite,2,2,17,0.005766621438263229,7,7.75,8.5,9.25,10,26,,0.29138777331548416,0.29138777331548416,0.29138777331548416,1,41,dna_replication,ko03032,Prochlorococcus MIT9313
brite,0,7,710,0.24084124830393486,37,67.5,80.0,120.0,244,26,,0.42079428826416776,0.42079428826416776,0.42079428826416776,1,42,enzymes,ko01000,Prochlorococcus MIT9313
go_bp,2,32,560,0.18995929443690637,5,7.75,24.0,37.25,179,9,0.1875,0.24051762605979474,0.24051762605979474,0.24051762605979474,1,43,,,Prochlorococcus MIT9313
pfam,1,93,565,0.19165535956580732,5,5.0,7.0,9.0,41,2,,0.22802320392681838,0.22802320392681838,0.22802320392681838,1,44,,,Prochlorococcus MIT9313
ec,0,7,932,0.31614654002713705,62,70.5,91.0,190.5,324,4,,0.41186970102632753,0.41186970102632753,0.41186970102632753,1,45,,,Prochlorococcus MIT9313
go_cc,3,35,443,0.15027137042062416,5,8.0,13.0,33.5,225,6,0.6571428571428571,0.19544846050870146,0.19544846050870146,0.19544846050870146,1,46,,,Prochlorococcus MIT9313
go_mf,1,11,441,0.14959294436906379,6,14.5,18.0,50.5,180,8,0.0,0.1927710843373494,0.1927710843373494,0.1927710843373494,1,47,,,Prochlorococcus MIT9313
go_bp,1,9,439,0.14891451831750338,5,6.0,9.0,124.0,180,9,0.0,0.19143239625167335,0.19143239625167335,0.19143239625167335,1,48,,,Prochlorococcus MIT9313
cyanorak_role,2,22,380,0.12890094979647218,5,7.5,14.0,25.75,71,3,,0.16733601070950468,0.16733601070950468,0.16733601070950468,1,49,,,Prochlorococcus MIT9313
go_bp,7,53,337,0.11431478968792401,5,6.0,9.0,16.0,63,9,0.7547169811320755,0.14859437751004015,0.14859437751004015,0.14859437751004015,1,50,,,Prochlorococcus MIT9313
go_mf,6,19,312,0.10583446404341927,5,5.5,7.0,14.5,102,8,0.3684210526315789,0.13743864346273985,0.13743864346273985,0.13743864346273985,1,51,,,Prochlorococcus MIT9313
kegg,0,5,327,0.11092265943012211,36,55.0,59.0,98.0,164,4,,0.14457831325301204,0.14457831325301204,0.14457831325301204,1,52,,,Prochlorococcus MIT9313
go_cc,4,22,261,0.08853459972862958,5,7.0,15.5,30.0,171,6,0.8181818181818182,0.11512717536813923,0.11512717536813923,0.11512717536813923,1,53,,,Prochlorococcus MIT9313
go_cc,5,6,205,0.06953867028493894,9,11.75,19.0,51.0,87,6,0.3333333333333333,0.09013833110218653,0.09013833110218653,0.09013833110218653,1,54,,,Prochlorococcus MIT9313
go_bp,8,23,157,0.053256445047489824,5,5.5,8.0,14.0,52,9,0.7391304347826086,0.06916555109326193,0.06916555109326193,0.06916555109326193,1,55,,,Prochlorococcus MIT9313
go_mf,7,7,106,0.03595658073270014,5,7.0,10.0,18.5,42,8,0.0,0.0464078536367693,0.0464078536367693,0.0464078536367693,1,56,,,Prochlorococcus MIT9313
ec,3,12,89,0.030189959294436908,5,5.0,8.0,9.25,18,4,,0.038821954484605084,0.038821954484605084,0.038821954484605084,1,57,,,Prochlorococcus MIT9313
go_cc,1,1,303,0.10278154681139756,303,303.0,303.0,303.0,303,6,0.0,0.13342257920571174,0.13342257920571174,0.13342257920571174,1,58,,,Prochlorococcus MIT9313
go_cc,6,2,47,0.01594301221166893,14,18.75,23.5,28.25,33,6,0.0,0.020526550647032574,0.020526550647032574,0.020526550647032574,1,59,,,Prochlorococcus MIT9313
brite,3,5,40,0.013568521031207599,5,6.0,6.0,7.0,16,26,,0.01740294511378849,0.01740294511378849,0.01740294511378849,1,60,enzymes,ko01000,Prochlorococcus MIT9313
brite,3,1,6,0.0020352781546811396,6,6.0,6.0,6.0,6,26,,0.01740294511378849,0.01740294511378849,0.01740294511378849,1,61,dna_replication,ko03032,Prochlorococcus MIT9313
kegg,3,1,10,0.0033921302578018998,10,10.0,10.0,10.0,10,4,,0.004462293618920125,0.004462293618920125,0.004462293618920125,1,62,,,Prochlorococcus MIT9313
go_bp,9,1,8,0.0027137042062415195,8,8.0,8.0,8.0,8,9,1.0,0.0035698348951361,0.0035698348951361,0.0035698348951361,1,63,,,Prochlorococcus MIT9313
go_mf,8,1,5,0.0016960651289009499,5,5.0,5.0,5.0,5,8,0.0,0.0022311468094600626,0.0022311468094600626,0.0022311468094600626,1,64,,,Prochlorococcus MIT9313
