ontology_type,level,n_terms_with_genes,n_genes_at_level,genome_coverage,min_genes_per_term,q1_genes_per_term,median_genes_per_term,q3_genes_per_term,max_genes_per_term,n_levels_in_ontology,best_effort_share,min_exp_coverage,median_exp_coverage,max_exp_coverage,n_experiments_with_coverage,relevance_rank,tree,tree_code,organism
tigr_role,0,73,1630,0.829938900203666,5,8.0,13.0,24.0,366,1,,0.7403598971722365,0.7403598971722365,0.7403598971722365,1,1,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_mf,1,11,342,0.17413441955193482,5,11.5,16.0,50.5,120,7,0.0,0.7403598971722365,0.7403598971722365,0.7403598971722365,1,2,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_mf,2,37,1170,0.5957230142566191,5,7.0,20.0,96.0,314,7,0.1891891891891892,0.7223650385604113,0.7223650385604113,0.7223650385604113,1,3,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
cog_category,0,17,1132,0.5763747454175153,23,35.0,67.0,102.0,153,1,,0.9331619537275064,0.9331619537275064,0.9331619537275064,1,4,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_bp,1,8,324,0.164969450101833,5,5.75,15.5,99.5,146,9,0.125,0.6940874035989717,0.6940874035989717,0.6940874035989717,1,5,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_bp,2,28,416,0.21181262729124237,5,11.75,20.0,34.5,119,9,0.25,0.6915167095115681,0.6915167095115681,0.6915167095115681,1,6,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_bp,3,71,1076,0.5478615071283096,5,8.0,12.0,34.5,411,9,0.19718309859154928,0.6760925449871465,0.6760925449871465,0.6760925449871465,1,7,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_bp,4,131,990,0.5040733197556008,5,8.0,14.0,38.5,302,9,0.4198473282442748,0.6272493573264781,0.6272493573264781,0.6272493573264781,1,8,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
cyanorak_role,1,72,1342,0.6832993890020367,5,9.75,14.0,22.25,235,3,,0.6246786632390745,0.6246786632390745,0.6246786632390745,1,9,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_mf,3,76,1119,0.5697556008146639,5,9.0,19.5,42.5,487,7,0.18421052631578946,0.622107969151671,0.622107969151671,0.622107969151671,1,10,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
cyanorak_role,0,17,1394,0.709775967413442,14,49.0,74.0,132.0,308,3,,0.8123393316195373,0.8123393316195373,0.8123393316195373,1,11,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_bp,5,141,885,0.45061099796334014,5,8.0,11.0,26.0,222,9,0.6312056737588653,0.5424164524421594,0.5424164524421594,0.5424164524421594,1,12,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,0,3,77,0.03920570264765784,8,18.0,28.0,35.0,42,26,,0.532133676092545,0.532133676092545,0.532133676092545,1,13,transporters,ko02000,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
