ontology_type,level,n_terms_with_genes,n_genes_at_level,genome_coverage,min_genes_per_term,q1_genes_per_term,median_genes_per_term,q3_genes_per_term,max_genes_per_term,n_levels_in_ontology,best_effort_share,min_exp_coverage,median_exp_coverage,max_exp_coverage,n_experiments_with_coverage,relevance_rank,tree,tree_code,organism
tigr_role,0,77,1728,0.8744939271255061,5,7.0,13.0,24.0,451,1,,0.6515151515151515,0.9031909140075717,0.9352392065344224,13,1,,,Prochlorococcus MED4
cyanorak_role,1,69,1438,0.7277327935222672,5,9.0,14.0,23.0,340,3,,0.5959595959595959,0.7736289381563594,0.7830056179775281,13,2,,,Prochlorococcus MED4
go_mf,2,35,1142,0.5779352226720648,5,8.0,25.0,96.0,316,7,0.2,0.6111111111111112,0.6717737183264585,0.9021406727828746,13,3,,,Prochlorococcus MED4
go_mf,3,72,1104,0.5587044534412956,5,10.0,19.5,40.0,481,7,0.19444444444444445,0.5,0.6487919858573954,0.8379204892966361,13,4,,,Prochlorococcus MED4
go_bp,3,68,1063,0.5379554655870445,5,8.0,13.0,38.25,400,9,0.20588235294117646,0.5678745267712277,0.619917501473188,0.8807339449541285,13,5,,,Prochlorococcus MED4
go_bp,4,132,982,0.49696356275303644,5,8.0,13.0,38.0,291,9,0.4090909090909091,0.5151515151515151,0.5733647613435474,0.8226299694189603,13,6,,,Prochlorococcus MED4
go_mf,4,85,951,0.4812753036437247,5,9.0,16.0,25.0,304,7,0.2,0.3333333333333333,0.5586328815556865,0.7217125382262997,13,7,,,Prochlorococcus MED4
cyanorak_role,0,17,1501,0.7596153846153846,16,52.0,77.0,130.0,419,3,,0.7820443482963764,0.8096641131408367,0.9418960244648318,13,8,,,Prochlorococcus MED4
brite,0,3,85,0.0430161943319838,7,18.5,30.0,39.5,49,26,,0.35858585858585856,0.5091337654684738,0.7492354740061162,13,9,transporters,ko02000,Prochlorococcus MED4
brite,0,2,65,0.03289473684210526,35,42.0,49.0,56.0,63,26,,0.35858585858585856,0.5091337654684738,0.7492354740061162,13,10,trna_biogenesis,ko03016,Prochlorococcus MED4
brite,0,3,38,0.019230769230769232,5,10.5,16.0,16.5,17,26,,0.35858585858585856,0.5091337654684738,0.7492354740061162,13,11,peptidases,ko01002,Prochlorococcus MED4
brite,0,3,24,0.012145748987854251,5,5.5,6.0,9.5,13,26,,0.35858585858585856,0.5091337654684738,0.7492354740061162,13,12,chaperones,ko03110,Prochlorococcus MED4
brite,0,1,22,0.011133603238866396,22,22.0,22.0,22.0,22,26,,0.35858585858585856,0.5091337654684738,0.7492354740061162,13,13,dna_replication,ko03032,Prochlorococcus MED4
brite,0,2,16,0.008097165991902834,11,11.75,12.5,13.25,14,26,,0.35858585858585856,0.5091337654684738,0.7492354740061162,13,14,translation_factors,ko03012,Prochlorococcus MED4
brite,0,1,10,0.005060728744939271,10,10.0,10.0,10.0,10,26,,0.35858585858585856,0.5091337654684738,0.7492354740061162,13,15,transcription_factors,ko03000,Prochlorococcus MED4
brite,0,1,9,0.004554655870445344,9,9.0,9.0,9.0,9,26,,0.35858585858585856,0.5091337654684738,0.7492354740061162,13,16,secretion,ko02044,Prochlorococcus MED4
brite,0,1,6,0.003036437246963563,6,6.0,6.0,6.0,6,26,,0.35858585858585856,0.5091337654684738,0.7492354740061162,13,17,two_component,ko02022,Prochlorococcus MED4
go_bp,5,143,869,0.4397773279352227,5,7.0,10.0,24.0,217,9,0.6293706293706294,0.3888888888888889,0.5073659398939304,0.72782874617737,13,18,,,Prochlorococcus MED4
cog_category,0,17,1113,0.5632591093117408,18,32.0,65.0,102.0,150,1,,0.6019469983775013,0.6546847377725398,0.9877675840978594,13,19,,,Prochlorococcus MED4
