term_id,term_name,n_up,n_down,drop_reason,max_signed_score,contributing_clusters_up,contributing_clusters_down,per_experiment_breakdown,ontology
cyanorak.role:D.4,Cellular processes > Chaperones,0,2,below_threshold_notable,1.5670214209282076,,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|24h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|48h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 0, ""down"": 2}}",cyanorak_role
cyanorak.role:L.3,Protein fate > Protein folding and stabilization,0,2,below_threshold_notable,1.7983462098407368,,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|24h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|48h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 0, ""down"": 2}}",cyanorak_role
cyanorak.role:R.2,Other > Conserved hypothetical proteins,2,0,below_threshold_notable,3.283606788385704,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|12h|up|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|6h|up,,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 2, ""down"": 0}}",cyanorak_role
kegg.pathway:ko00061,Fatty acid biosynthesis,0,2,below_threshold_notable,2.971766616802896,,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|6h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|12h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 0, ""down"": 1}, ""10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq"": {""up"": 0, ""down"": 1}}",kegg
kegg.pathway:ko01212,Fatty acid metabolism,0,2,below_threshold_notable,2.873264557369515,,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|6h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|12h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 0, ""down"": 1}, ""10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq"": {""up"": 0, ""down"": 1}}",kegg
kegg.pathway:ko05152,Tuberculosis,0,2,below_threshold_notable,2.4805959227754864,,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|48h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|24h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 0, ""down"": 2}}",kegg
