group_id,organism_name,locus_tag,gene_name,product,gene_category
eggnog:1G12D@1117,Prochlorococcus MIT9303,P9303_29811,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus MIT9312,PMT9312_0836,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus MIT9313,PMT2236,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus NATL1A,NATL1_19261,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus NATL2A,PMN2A_1055,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus RSP50,BSR22_07430,ureC,urease subunit alpha,Amino acid metabolism
eggnog:1G12D@1117,Synechococcus CC9311,sync_2879,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Synechococcus PCC 7002,SYNPCC7002_A0193,ureC,urease subunit alpha,Amino acid metabolism
eggnog:1G12D@1117,Synechococcus WH8102,SYNW2449,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Synechococcus sp. BL107,BL107_06954,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Thermosynechococcus vestitus BP-1,tlr0005,ureC,urease subunit alpha,Amino acid metabolism
eggnog:1G19V@1117,Prochlorococcus AS9601,A9601_09091,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus MED4,PMM0951,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus MIT0801,EW15_0945,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus MIT9301,P9301_09071,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus MIT9303,P9303_15771,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus MIT9312,PMT9312_0848,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus MIT9313,PMT0653,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus NATL1A,NATL1_09281,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus NATL2A,PMN2A_0259,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus RSP50,BSR22_07500,carA,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,Nucleotide metabolism
eggnog:1G19V@1117,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro0745,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Synechococcus CC9311,sync_1636,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Synechococcus PCC 7002,SYNPCC7002_A2505,carA,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,Nucleotide metabolism
eggnog:1G19V@1117,Synechococcus WH7803,SynWH7803_1061,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Synechococcus WH8102,SYNW1026,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Synechococcus elongatus PCC 7942,H6G84_02350,carA,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,Nucleotide metabolism
eggnog:1G19V@1117,Synechococcus elongatus UTEX 2973,M744_05765,carA,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,Nucleotide metabolism
eggnog:1G19V@1117,Synechococcus sp. BL107,BL107_12350,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Thermosynechococcus vestitus BP-1,tll0760,carA,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,Nucleotide metabolism
eggnog:1G1UJ@1117,Prochlorococcus MIT9301,P9301_13131,merR,aliphatic nitrilase,Stress response and adaptation
