group_id,organism_name,locus_tag,gene_name,product,gene_category
eggnog:1G0DW@1117,Synechococcus sp. BL107,BL107_06899,narB,nitrate reductase,Stress response and adaptation
eggnog:1G0DW@1117,Thermosynechococcus vestitus BP-1,tlr1355,narB,molybdopterin oxidoreductase family protein,Energy production
eggnog:1G0FS@1117,Prochlorococcus AS9601,A9601_17761,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Prochlorococcus MED4,PMM1569,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Prochlorococcus MIT0801,EW15_2088,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Prochlorococcus MIT9301,P9301_17601,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Prochlorococcus MIT9303,P9303_22891,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Prochlorococcus MIT9312,PMT9312_1661,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Prochlorococcus MIT9313,PMT1719,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Prochlorococcus NATL1A,NATL1_20151,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Prochlorococcus NATL2A,PMN2A_1141,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Prochlorococcus RSP50,BSR22_02300,moeB,molybdopterin-synthase adenylyltransferase MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro1724,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Synechococcus CC9311,sync_0452,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Synechococcus PCC 7002,SYNPCC7002_A0363,moeB,molybdopterin-synthase adenylyltransferase MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Synechococcus WH7803,SynWH7803_0448,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Synechococcus WH8102,SYNW2053,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Synechococcus elongatus PCC 7942,H6G84_07020,moeB,molybdopterin-synthase adenylyltransferase MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Synechococcus elongatus UTEX 2973,M744_02270,moeB,molybdopterin-synthase adenylyltransferase MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Synechococcus sp. BL107,BL107_08711,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism
eggnog:1G0FS@1117,Thermosynechococcus vestitus BP-1,tlr2403,moeB,molybdopterin-synthase adenylyltransferase MoeB,Coenzyme metabolism
eggnog:1G0GT@1117,Prochlorococcus AS9601,A9601_08891,ureG,urease accessory protein UreG,Stress response and adaptation
eggnog:1G0GT@1117,Prochlorococcus MED4,PMM0969,ureG,urease accessory protein UreG,Stress response and adaptation
eggnog:1G0GT@1117,Prochlorococcus MIT0801,EW15_1981,ureG,urease accessory protein UreG,Stress response and adaptation
eggnog:1G0GT@1117,Prochlorococcus MIT9301,P9301_08871,ureG,urease accessory protein UreG,Stress response and adaptation
eggnog:1G0GT@1117,Prochlorococcus MIT9303,P9303_29751,ureG,urease accessory protein UreG,Stress response and adaptation
eggnog:1G0GT@1117,Prochlorococcus MIT9312,PMT9312_0830,ureG,urease accessory protein UreG,Stress response and adaptation
eggnog:1G0GT@1117,Prochlorococcus MIT9313,PMT2230,ureG,urease accessory protein UreG,Stress response and adaptation
eggnog:1G0GT@1117,Prochlorococcus NATL1A,NATL1_19201,ureG,urease accessory protein UreG,Stress response and adaptation
eggnog:1G0GT@1117,Prochlorococcus NATL2A,PMN2A_1049,ureG,urease accessory protein UreG,Stress response and adaptation
eggnog:1G0GT@1117,Prochlorococcus RSP50,BSR22_07400,ureG,urease accessory protein UreG,Nucleotide metabolism
eggnog:1G0GT@1117,Synechococcus CC9311,sync_2873,ureG,urease accessory protein UreG,Stress response and adaptation
eggnog:1G0GT@1117,Synechococcus PCC 7002,SYNPCC7002_A2071,ureG,urease accessory protein UreG,Transcription
eggnog:1G0GT@1117,Synechococcus WH8102,SYNW2443,ureG,urease accessory protein UreG,Stress response and adaptation
eggnog:1G0GT@1117,Synechococcus sp. BL107,BL107_06984,ureG,urease accessory protein UreG,Stress response and adaptation
eggnog:1G0GT@1117,Thermosynechococcus vestitus BP-1,tlr0057,ureG,urease accessory protein UreG,Transcription
eggnog:1G0K2@1117,Synechococcus CC9311,sync_2892,moeA,molybdopterin biosynthesis protein MoeA,Coenzyme metabolism
eggnog:1G0K2@1117,Synechococcus PCC 7002,SYNPCC7002_A0771,glp,gephyrin-like molybdotransferase Glp,Coenzyme metabolism
