strain,organism_name_kg,locus_tag,gene_name,product,gene_category,term_id
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29251,ntrX,nitrogen assimilation regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29701,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29711,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29721,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29731,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29741,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29751,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29761,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29771,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29781,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29791,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29801,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29811,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29861,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29881,focA,"nitrite transporter, FNT family",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_04671,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_13191,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_15771,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_16421,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_21181,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_21191,,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_21201,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_22891,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_23581,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_24561,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_24801,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_28921,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29251,ntrX,nitrogen assimilation regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29701,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29711,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29721,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29731,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29741,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29751,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29761,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29771,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29781,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29791,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29801,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29811,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_29861,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0248,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0825,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0826,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0827,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0828,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0829,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0830,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0831,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0832,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0833,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0834,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0835,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0836,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:D.1.3
