strain,organism_name_kg,locus_tag,gene_name,product,gene_category,term_id
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_02681,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08841,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08851,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08861,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08871,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08881,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08891,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08901,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08911,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08921,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08931,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08941,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08951,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_16651,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_17161,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_17761,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_02681,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_02851,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_04571,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_04581,,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_04591,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_06981,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08841,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08851,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08861,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08871,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08881,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08891,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08901,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08911,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08921,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08931,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08941,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_08951,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_09091,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_09401,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_16651,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_17161,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_17761,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Prochlorococcus AS9601,Prochlorococcus AS9601,A9601_18791,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0246,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0963,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0964,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0965,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0966,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0967,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0968,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0969,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0970,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0971,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0972,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0973,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0974,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM1463,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM1512,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM1569,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Prochlorococcus MED4,Prochlorococcus MED4,PMM0246,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0263,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0370,cynA,"cyanate ABC transporter, substrate-binding protein",Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0371,cynB,"cyanate ABC transporter, permease protein",Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0372,cynD,cyanate ABC transporter ATP-binding protein,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0373,cynS,cyanate hydratase,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0407,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0408,,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0409,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0642,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0920,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0951,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0963,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0964,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0965,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0966,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0967,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0968,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0969,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0970,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0971,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0972,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0973,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM0974,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM1463,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM1512,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM1569,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Prochlorococcus MED4,Prochlorococcus MED4,PMM1670,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_02691,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08821,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08831,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08841,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08851,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08861,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08871,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08881,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08891,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08901,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08911,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08921,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08931,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_13131,merR,aliphatic nitrilase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_16531,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_17041,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_17601,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_02691,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_02861,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_04261,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_04271,,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_04281,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_06691,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08821,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08831,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08841,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08851,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08861,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08871,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08881,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08891,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08901,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08911,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08921,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_08931,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_09071,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_09391,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_13131,merR,aliphatic nitrilase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_16531,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_17041,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_17601,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Prochlorococcus MIT9301,Prochlorococcus MIT9301,P9301_18601,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_04671,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_22891,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_23581,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9303,Prochlorococcus MIT9303,P9303_24561,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
