doi,year,title,journal,first_author,last_author,n_authors,study_type,organisms,experiment_count,treatment_types,background_factors,omics_types,growth_phases
10.1038/msb4100087,2006,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,Molecular Systems Biology,Andrew C Tolonen,Sallie W Chisholm,8,Transcriptomics (microarray),Prochlorococcus MED4 | Prochlorococcus MIT9313,6,nitrogen,axenic | light,MICROARRAY,acute_stress | exponential
10.1038/ismej.2017.88,2017,Nitrogen cost minimization is promoted by structural changes in the transcriptome of N-deprived Prochlorococcus cells,The ISME Journal,Robert W Read,Joseph J Grzymski,7,Transcriptomics (transcription start site mapping),Prochlorococcus MED4,1,nitrogen,axenic | light,RNASEQ,acute_stress | nutrient_limited
10.1128/mSystems.00008-17,2017,Quantitative Proteomics Shows Extensive Remodeling Induced by Nitrogen Limitation in Prochlorococcus marinus SS120,mSystems,Maria Agustina Domínguez-Martín,José Manuel García-Fernández,6,Proteomics,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),1,nitrogen,axenic | light,PROTEOMICS,acute_stress
10.1101/2025.11.24.690089,2025,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,bioRxiv,Osnat Weissberg,Daniel Sher,3,Transcriptomics and Proteomics (multi-omics),Alteromonas macleodii HOT1A3 | Prochlorococcus MED4,10,coculture | nitrogen,axenic | coculture | light,PROTEOMICS | RNASEQ,death | exponential | nutrient_limited
