strain,anchor_rows,unique_locus_tags,unique_gene_names
Prochlorococcus AS9601,40,24,23
Prochlorococcus MED4,44,28,27
Prochlorococcus MIT9301,42,25,24
Prochlorococcus MIT9303,45,27,26
Prochlorococcus MIT9312,40,24,23
Prochlorococcus MIT9313,45,27,26
Prochlorococcus NATL1A,46,28,26
Prochlorococcus NATL2A,46,28,28
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),16,12,12
Synechococcus WH8102,71,43,40
Synechococcus WH7803,43,28,27
Synechococcus CC9311,71,43,40
Synechococcus sp. BL107,63,38,37
