category,omics,timepoint,timepoint_hours,ontology,experiment_id,class,background_used,organism,score_up,score_down,final_score,n_up_sig,n_down_sig,n_up_total,n_down_total,n_total_sig,n_total_terms,classification
axenic_dying,Prot,day 14,336.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,T,table_scope,Prochlorococcus MED4,1.7532707052281056,0.381962940313869,0.7737651588607938,1,1,2,5,2,69,insufficient_nc
axenic_dying,Prot,day 14,336.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,T,table_scope,Prochlorococcus MED4,3.139674580397364,0.3453438339327016,0.8110656250101455,1,1,1,5,3,97,insufficient_nc
axenic_dead,Prot,day 31,744.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,T,table_scope,Prochlorococcus MED4,0.0,0.6488808099041314,0.4634862927886653,0,1,2,5,2,69,insufficient_nc
axenic_dead,Prot,day 31,744.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,T,table_scope,Prochlorococcus MED4,0.0,0.7522455970398406,0.6268713308665338,0,1,1,5,3,97,insufficient_nc
axenic_dead,Prot,day 89,2136.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,T,table_scope,Prochlorococcus MED4,0.0,0.6689990750197852,0.47785648215698945,0,2,2,5,4,69,insufficient_nc
axenic_dead,Prot,day 89,2136.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,T,table_scope,Prochlorococcus MED4,0.0,0.6116846674701322,0.5097372228917768,0,1,1,5,1,97,insufficient_nc
coculture,Prot,day 18,432.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,5.7459785124099145,0.42019528213525137,1.941847633642298,2,1,2,5,4,69,insufficient_nc
coculture,Prot,day 18,432.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,5.43036485237694,0.4378491143663494,1.2699350707014478,1,1,1,5,4,97,insufficient_nc
coculture,Prot,day 31,744.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,5.0,2.0,2.857142857142857,1,1,2,5,4,69,insufficient_nc
coculture,Prot,day 31,744.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,2.8541812266101907,2.8135353007479234,2.820309621724968,1,2,1,5,3,97,insufficient_nc
coculture,Prot,day 60,1440.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,4.50616995710767,-0.1296520123090204,1.1948685503814627,2,2,2,5,6,69,insufficient_nc
coculture,Prot,day 60,1440.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,2.2739040542246824,0.2993465058478715,0.62843943057734,1,1,1,5,2,97,insufficient_nc
coculture,Prot,day 89,2136.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,3.498917594856927,0.0,0.9996907413876934,1,0,2,5,3,69,insufficient_nc
coculture,Prot,day 89,2136.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,2.048047559838242,0.5278069924444213,0.7811804203433915,1,1,1,5,10,97,insufficient_nc
coculture,Prot,days 60+89,,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,4.955992717259095,0.0,1.4159979192168843,2,0,2,5,4,69,insufficient_nc
coculture,Prot,days 60+89,,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,2.1022575526879312,0.45114998414269775,0.7263345789002367,1,1,1,5,5,97,insufficient_nc
axenic_dying,RNA,day 14,336.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,T,table_scope,Prochlorococcus MED4,0.909829952913902,4.990030530114643,3.824258936628717,1,5,2,5,8,69,insufficient_nc
axenic_dying,RNA,day 14,336.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,T,table_scope,Prochlorococcus MED4,0.0,4.42022290457614,3.683519087146783,0,3,1,5,6,97,insufficient_nc
coculture,RNA,day 18,432.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,2,5,0,69,insufficient_nc
coculture,RNA,day 18,432.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,1,5,0,97,insufficient_nc
coculture,RNA,day 31,744.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,2,5,0,69,insufficient_nc
coculture,RNA,day 31,744.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.30055246778599803,0.250460389821665,0,1,1,5,1,97,insufficient_nc
