experiment_id,timepoint,category,omics,ontology,background_used,removed_term_id,removed_term_name,orig_final_score,new_final_score,flag_sign_flip,flag_large_drop
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,cyanorak_role,table_scope,cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,0.7737651588607938,0.9027260186709261,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,cyanorak_role,table_scope,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,0.7737651588607938,0.3183024502615575,False,True
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,cyanorak_role,table_scope,cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,0.7737651588607938,0.9027260186709261,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,cyanorak_role,table_scope,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,0.7737651588607938,0.9027260186709261,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,cyanorak_role,table_scope,cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,0.7737651588607938,0.9027260186709261,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,cyanorak_role,table_scope,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,0.7737651588607938,0.9027260186709261,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,cyanorak_role,table_scope,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,0.7737651588607938,0.5844235684093685,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,kegg,table_scope,kegg.pathway:ko00190,Oxidative phosphorylation,0.8110656250101455,0.9732787500121745,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,kegg,table_scope,kegg.pathway:ko00195,Photosynthesis,0.8110656250101455,0.9732787500121745,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,kegg,table_scope,kegg.pathway:ko00710,Carbon fixation by Calvin cycle,0.8110656250101455,0.9732787500121745,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,kegg,table_scope,kegg.pathway:ko00910,Nitrogen metabolism,0.8110656250101455,0.3453438339327016,False,True
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,kegg,table_scope,kegg.pathway:ko01200,Carbon metabolism,0.8110656250101455,0.9732787500121745,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,kegg,table_scope,kegg.pathway:ko03010,Ribosome,0.8110656250101455,0.6279349160794727,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 31,axenic_dead,Prot,cyanorak_role,table_scope,cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,0.4634862927886653,0.5407340082534429,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 31,axenic_dead,Prot,cyanorak_role,table_scope,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,0.4634862927886653,0.5407340082534429,False,False
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 31,axenic_dead,Prot,cyanorak_role,table_scope,cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,0.4634862927886653,0.5407340082534429,False,False
