excluded_experiment,experiment_id,timepoint,category,omics,ontology,background_used,orig_final_score,new_final_score,rel_change,flag_sign_flip_raw,flag_large_change_raw,orig_classification,new_classification,classification_flip,new_signature_size
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,cyanorak_role,table_scope,0.7737651588607938,0.9027260186709261,0.16666666666666663,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 14,axenic_dying,Prot,kegg,table_scope,0.8110656250101455,0.8110656250101455,0.0,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 31,axenic_dead,Prot,cyanorak_role,table_scope,0.4634862927886653,0.5407340082534429,0.16666666666666666,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 31,axenic_dead,Prot,kegg,table_scope,0.6268713308665338,0.6268713308665338,0.0,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 89,axenic_dead,Prot,cyanorak_role,table_scope,0.47785648215698945,0.5574992291831543,0.16666666666666657,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,day 89,axenic_dead,Prot,kegg,table_scope,0.5097372228917768,0.5097372228917768,0.0,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,day 18,coculture,Prot,cyanorak_role,table_scope,1.941847633642298,2.016829401779376,0.03861362077952305,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,day 18,coculture,Prot,kegg,table_scope,1.2699350707014478,1.2699350707014478,0.0,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,day 31,coculture,Prot,cyanorak_role,table_scope,2.857142857142857,3.3333333333333335,0.16666666666666669,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,day 31,coculture,Prot,kegg,table_scope,2.820309621724968,2.820309621724968,0.0,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,day 60,coculture,Prot,cyanorak_role,table_scope,1.1948685503814627,1.176502994082659,-0.015370357093205304,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,day 60,coculture,Prot,kegg,table_scope,0.62843943057734,0.62843943057734,0.0,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,day 89,coculture,Prot,cyanorak_role,table_scope,0.9996907413876934,1.166305864952309,0.1666666666666667,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,day 89,coculture,Prot,kegg,table_scope,0.7811804203433915,0.7811804203433915,0.0,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,days 60+89,coculture,Prot,cyanorak_role,table_scope,1.4159979192168843,1.3852411514825753,-0.021720913086736036,False,False,insufficient_nc,insufficient_nc,False,6
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,days 60+89,coculture,Prot,kegg,table_scope,0.7263345789002367,0.7263345789002367,0.0,False,False,insufficient_nc,insufficient_nc,False,6
