category,omics,timepoint,timepoint_hours,ontology,experiment_id,class,background_used,organism,score_up,score_down,final_score,n_up_sig,n_down_sig,n_up_total,n_down_total,n_total_sig,n_total_terms
,Microarray,12h,12.0,cyanorak_role,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,CTX,table_scope,Prochlorococcus MIT9313,3.1696676761590927,4.0,3.7627621931883124,2,2,2,5,4,69
,Microarray,12h,12.0,kegg,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,CTX,table_scope,Prochlorococcus MIT9313,0.0,3.213569239228226,2.6779743660235216,0,3,1,5,3,97
,Microarray,24h,24.0,cyanorak_role,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,CTX,table_scope,Prochlorococcus MIT9313,2.5667352726441344,6.045998308497097,5.051923155396251,2,4,2,5,8,69
,Microarray,24h,24.0,kegg,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,CTX,table_scope,Prochlorococcus MIT9313,0.0,4.264577393888613,3.553814494907178,0,3,1,5,5,97
,Microarray,3h,3.0,cyanorak_role,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,CTX,table_scope,Prochlorococcus MIT9313,0.0,0.0,0.0,0,0,2,5,0,69
,Microarray,3h,3.0,kegg,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,CTX,table_scope,Prochlorococcus MIT9313,0.0,0.0,0.0,0,0,1,5,0,97
,Microarray,48h,48.0,cyanorak_role,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,CTX,table_scope,Prochlorococcus MIT9313,2.048825379829471,4.7308173227110135,3.9645339104591435,1,4,2,5,6,69
,Microarray,48h,48.0,kegg,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,CTX,table_scope,Prochlorococcus MIT9313,0.0,4.0,3.3333333333333335,0,2,1,5,4,97
,Microarray,6h,6.0,cyanorak_role,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,CTX,table_scope,Prochlorococcus MIT9313,6.1334987799132525,3.338233818746672,4.136880950508552,2,2,2,5,5,69
,Microarray,6h,6.0,kegg,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,CTX,table_scope,Prochlorococcus MIT9313,0.0,2.4186298380869093,2.0155248650724245,0,2,1,5,5,97
