locus_tag,gene_name,product,annotation_quality,log2fc,breadth,groups_responded
PMM0684,,conserved hypothetical protein (DUF1651),1,4.737350948185801,4,"carbon, coculture, nitrogen, viral"
PMM0819,,conserved hypothetical protein,1,4.660970769559715,4,"carbon, coculture, nitrogen, viral"
PMM0348,,conserved hypothetical protein family PM-17,1,4.180174728276323,4,"carbon, light, nitrogen, salt"
PMM0731,,uncharacterized conserved membrane protein,1,2.1031547324493243,4,"coculture, iron, nitrogen, salt"
PMM0087,,conserved hypothetical protein,1,1.8720605816908888,4,"carbon, light, nitrogen, salt"
PMM1828,,Hypothetical protein,1,6.716442209499447,3,"coculture, iron, nitrogen"
PMM1813,,conserved hypothetical protein,1,6.278731081746498,3,"carbon, coculture, nitrogen"
PMM0958,,conserved hypothetical protein (DUF1830),1,5.739882511894883,3,"coculture, iron, nitrogen"
PMM0030,,conserved hypothetical protein,0,5.21558509421573,3,"coculture, nitrogen, viral"
PMM1427,,conserved hypothetical protein,1,4.940958409884867,3,"coculture, nitrogen, viral"
PMM1939,,Conserved hypothetical protein,0,4.652180082560368,3,"carbon, coculture, nitrogen"
PMM0337,,conserved hypothetical protein,1,4.404923755200296,3,"coculture, iron, nitrogen"
PMM1885,,conserved hypothetical protein,0,4.381109719687346,3,"coculture, iron, nitrogen"
PMM1915,,conserved hypothetical protein,1,4.02485471615402,3,"carbon, iron, nitrogen"
PMM1955,,Conserved hypothetical protein,0,3.876899592349444,3,"carbon, coculture, nitrogen"
PMM0334,,conserved hypothetical protein (DUF3104),1,3.6260850558508992,3,"coculture, nitrogen, viral"
PMM1894,,Conserved hypothetical protein,0,3.4514826332421285,3,"carbon, nitrogen, salt"
PMM2013,,conserved hypothetical protein,0,3.206325577469096,3,"iron, nitrogen, salt"
PMM0347,,uncharacterized conserved membrane protein,1,2.951382820361075,3,"carbon, light, nitrogen"
PMM0698,,conserved hypothetical protein,1,2.859368312038584,3,"carbon, coculture, nitrogen"
PMM2005,,conserved hypothetical protein,0,2.8293868084854266,3,"carbon, iron, nitrogen"
PMM1983,,uncharacterized conserved membrane protein,1,2.555476185509782,3,"carbon, iron, nitrogen"
PMM0975,,conserved hypothetical protein (DUF2862),1,2.4109045813818564,3,"light, nitrogen, phosphorus"
PMM1134,,conserved hypothetical protein (DUF1651),1,2.388567861059389,3,"carbon, coculture, nitrogen"
PMM1283,,uncharacterized membrane protein,1,2.336846603388784,3,"carbon, iron, nitrogen"
PMM1588,,conserved hypothetical protein,1,2.2757714841667105,3,"carbon, nitrogen, viral"
PMM1919,,conserved hypothetical protein,1,2.227193732481097,3,"carbon, coculture, nitrogen"
PMM1870,,conserved hypothetical protein,0,2.0574953528332585,3,"coculture, iron, nitrogen"
PMM0998,,conserved hypothetical protein,1,1.924241492015185,3,"coculture, light, nitrogen"
PMM0368,,conserved hypothetical protein (DUF3303),1,1.7762759005060205,3,"carbon, nitrogen, viral"
PMM2003,,Conserved hypothetical protein,0,1.5367576732597357,3,"carbon, nitrogen, salt"
PMM0715,,conserved hypothetical protein,0,1.255022371349108,3,"coculture, nitrogen, phosphorus"
PMM0075,,conserved hypothetical protein,1,1.0178142326676525,3,"carbon, light, nitrogen"
