priority,in_cyanorak,kind,kg_fit_score,n_seeds,seeds,pools,best_identity,year,title,doi,pmcid,pmid,homolog_genera,meta
2,False,comparative_genomics,2,2,PMT9312_0549;PMT9312_0550,pro,74,2022,Comparative Genomic Analysis Revealed Distinct Molecular Components and Organization of CO2-Concentrating Mechanism in Thermophilic Cyanobacteria,10.3389/fmicb.2022.876272,PMC9120777,,Synechocystis,"Tang, Frontiers in microbiology 2022"
2,False,comparative_genomics,2,1,PMT9312_0549,pro,52,2017,Identification of the direct regulon of NtcA during early acclimation to nitrogen starvation in the cyanobacterium Synechocystis sp. PCC 6803,10.1093/nar/gkx860,PMC5714215,,Synechocystis,"Giner-Lamia, Nucleic acids research 2017"
2,False,comparative_genomics,2,1,PMM1135,pro,50,2021,Identification of the key functional genes in salt-stress tolerance of Cyanobacterium Phormidium tenue using in silico analysis,10.1007/s13205-021-03050-w,PMC8602552,,Synechocystis,"Shahbazi, 3 Biotech 2021"
2,False,comparative_genomics,2,1,PMT9312_0549,pro,44,2023,Genomic Analysis of Leptolyngbya boryana CZ1 Reveals Efficient Carbon Fixation Modules,10.3390/plants12183251,PMC10536570,,Leptolyngbya,"Bai, Plants (Basel, Switzerland) 2023"
2,False,other,1,4,BL107_11441;BL107_16040;PMT1742;SynWH7803_0353,pro;syn,76,2022,Cyclophilin anaCyp40 regulates photosystem assembly and phycobilisome association in a cyanobacterium,10.1038/s41467-022-29211-w,PMC8967839,,Nostoc,"Yadav, Nature communications 2022"
2,False,other,1,4,PMT9312_0549;PMT9312_0550;SYNPCC7002_C0017;SynWH7803_0353,pro;syn,75,2011,Transcription Profiling of the Model Cyanobacterium Synechococcus sp. Strain PCC 7002 by Next-Gen (SOLiD™) Sequencing of cDNA,10.3389/fmicb.2011.00041,PMC3133671,,Synechococcus,"Ludwig, Frontiers in microbiology 2011"
2,False,other,1,3,BL107_16040;PMT9312_0549;PMT9312_0550,pro;syn,79,2011,Blueprint for a minimal photoautotrophic cell: conserved and variable genes in Synechococcus elongatus PCC 7942,10.1186/1471-2164-12-25,PMC3025956,,Synechococcus,"Delaye, BMC genomics 2011"
2,False,other,1,3,BL107_11441;BL107_16040;PMT9312_0549,pro;syn,76,2020,The First Proteomics Study of Nostoc sp. PCC 7120 Exposed to Cyanotoxin BMAA under Nitrogen Starvation,10.3390/toxins12050310,PMC7290344,,Anabaena;Nostoc,"Koksharova, Toxins 2020"
2,False,other,1,3,BL107_11441;PMT9312_0549;PMT9312_0550,pro;syn,74,2023,Deep Proteogenomics of a Photosynthetic Cyanobacterium,10.1021/acs.jproteome.3c00065,PMC10243305,,Synechocystis,"Spät, Journal of proteome research 2023"
2,False,other,1,3,PMM1135;PMT9312_0549;PMT9312_0550,pro,74,2025,Glucose Uncouples Nitrogen Sensing From Chlorosis via a Photosynthetic Checkpoint in Synechocystis sp. PCC 6803,10.1111/ppl.70645,PMC12638213,,Synechocystis,"Ortega-Martínez, Physiologia plantarum 2025"
