priority,in_cyanorak,kind,kg_fit_score,n_seeds,seeds,pools,best_identity,year,title,doi,pmcid,pmid,homolog_genera,meta
2,False,omics,3,3,BL107_16040;PMT1742;PMT9312_0549,pro;syn,77,2008,Gene expression patterns of sulfur starvation in Synechocystis sp. PCC 6803,10.1186/1471-2164-9-344,PMC2491639,,Synechocystis,"Zhang, BMC genomics 2008"
2,False,omics,3,2,BL107_07454;BL107_16040,syn,77,2004,Differential gene expression in response to hydrogen peroxide and the putative PerR regulon of Synechocystis sp. strain PCC 6803,10.1128/jb.186.11.3331-3345.2004,PMC415769,,Synechocystis,"Li, Journal of bacteriology 2004"
2,False,omics,3,2,PMT9312_0549;PMT9312_0550,pro,74,2013,Rhythmic and sustained oscillations in metabolism and gene expression of Cyanothece sp. ATCC 51142 under constant light,10.3389/fmicb.2013.00374,PMC3854555,,Crocosphaera;Cyanothece,"Gaudana, Frontiers in microbiology 2013"
2,False,omics,3,1,PMT9312_0550,pro,75,2013,"Cell-specific gene expression in Anabaena variabilis grown phototrophically, mixotrophically, and heterotrophically",10.1186/1471-2164-14-759,PMC4046671,,Trichormus,"Park, BMC genomics 2013"
2,False,omics,3,1,PMT1742,pro,70,2002,Global gene expression profiles of the cyanobacterium Synechocystis sp. strain PCC 6803 in response to irradiation with UV-B and white light,10.1128/jb.184.24.6845-6858.2002,PMC135463,,Synechocystis,"Huang, Journal of bacteriology 2002"
2,False,omics,3,1,PMM1135,pro,43,2013,RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium,10.1186/1754-6834-6-113,PMC3750487,,Synechococcus,"Ruffing, Biotechnology for biofuels 2013"
2,False,comparative_genomics,2,2,PMT9312_0549;PMT9312_0550,pro,74,2022,Comparative Genomic Analysis Revealed Distinct Molecular Components and Organization of CO2-Concentrating Mechanism in Thermophilic Cyanobacteria,10.3389/fmicb.2022.876272,PMC9120777,,Synechocystis,"Tang, Frontiers in microbiology 2022"
2,False,comparative_genomics,2,1,PMT9312_0549,pro,52,2017,Identification of the direct regulon of NtcA during early acclimation to nitrogen starvation in the cyanobacterium Synechocystis sp. PCC 6803,10.1093/nar/gkx860,PMC5714215,,Synechocystis,"Giner-Lamia, Nucleic acids research 2017"
2,False,comparative_genomics,2,1,PMM1135,pro,50,2021,Identification of the key functional genes in salt-stress tolerance of Cyanobacterium Phormidium tenue using in silico analysis,10.1007/s13205-021-03050-w,PMC8602552,,Synechocystis,"Shahbazi, 3 Biotech 2021"
2,False,comparative_genomics,2,1,PMT9312_0549,pro,44,2023,Genomic Analysis of Leptolyngbya boryana CZ1 Reveals Efficient Carbon Fixation Modules,10.3390/plants12183251,PMC10536570,,Leptolyngbya,"Bai, Plants (Basel, Switzerland) 2023"
2,False,other,1,4,BL107_11441;BL107_16040;PMT1742;SynWH7803_0353,pro;syn,76,2022,Cyclophilin anaCyp40 regulates photosystem assembly and phycobilisome association in a cyanobacterium,10.1038/s41467-022-29211-w,PMC8967839,,Nostoc,"Yadav, Nature communications 2022"
2,False,other,1,4,PMT9312_0549;PMT9312_0550;SYNPCC7002_C0017;SynWH7803_0353,pro;syn,75,2011,Transcription Profiling of the Model Cyanobacterium Synechococcus sp. Strain PCC 7002 by Next-Gen (SOLiD™) Sequencing of cDNA,10.3389/fmicb.2011.00041,PMC3133671,,Synechococcus,"Ludwig, Frontiers in microbiology 2011"
2,False,other,1,3,BL107_16040;PMT9312_0549;PMT9312_0550,pro;syn,79,2011,Blueprint for a minimal photoautotrophic cell: conserved and variable genes in Synechococcus elongatus PCC 7942,10.1186/1471-2164-12-25,PMC3025956,,Synechococcus,"Delaye, BMC genomics 2011"
