locus_tag,term_id,term_name
PMM0001,go:0003677,DNA binding
PMM0001,go:0003887,DNA-directed DNA polymerase activity
PMM0001,go:0008408,3^-5^ exonuclease activity
PMM0003,go:0004642,phosphoribosylformylglycinamidine synthase activity
PMM0004,go:0000287,magnesium ion binding
PMM0004,go:0004044,amidophosphoribosyltransferase activity
PMM0004,go:0016757,glycosyltransferase activity
PMM0005,go:0003677,DNA binding
PMM0005,go:0005524,ATP binding
PMM0005,go:0034335,DNA negative supercoiling activity
PMM0006,go:0005515,protein binding
PMM0007,go:0016491,oxidoreductase activity
PMM0007,go:0046872,metal ion binding
PMM0007,go:0051539,"4 iron, 4 sulfur cluster binding"
PMM0007,go:0052693,epoxyqueuosine reductase activity
PMM0009,go:0003723,RNA binding
PMM0009,go:0005515,protein binding
PMM0010,go:0003924,GTPase activity
PMM0010,go:0005047,signal recognition particle binding
PMM0010,go:0005525,GTP binding
PMM0011,go:0004722,protein serine/threonine phosphatase activity
PMM0011,go:0046872,metal ion binding
PMM0012,go:0004056,argininosuccinate lyase activity
PMM0013,go:0003676,nucleic acid binding
PMM0013,go:0003729,mRNA binding
PMM0014,go:0000049,tRNA binding
PMM0014,go:0010181,FMN binding
PMM0014,go:0050660,flavin adenine dinucleotide binding
PMM0014,go:0102264,tRNA-dihydrouridine20 synthase activity
PMM0014,go:0102266,tRNA-dihydrouridine20a synthase activity
PMM0015,go:0033743,peptide-methionine (R)-S-oxide reductase activity
PMM0015,go:0046872,metal ion binding
PMM0016,go:0000774,adenyl-nucleotide exchange factor activity
PMM0016,go:0030554,adenyl nucleotide binding
PMM0016,go:0042803,protein homodimerization activity
PMM0016,go:0051082,unfolded protein binding
PMM0016,go:0051087,protein-folding chaperone binding
PMM0016,go:0060589,nucleoside-triphosphatase regulator activity
PMM0017,go:0005524,ATP binding
PMM0017,go:0031072,heat shock protein binding
PMM0017,go:0051082,unfolded protein binding
PMM0018,go:0097163,sulfur carrier activity
PMM0019,go:0003924,GTPase activity
PMM0019,go:0005525,GTP binding
PMM0019,go:0019843,rRNA binding
PMM0019,go:0043022,ribosome binding
PMM0019,go:0046872,metal ion binding
PMM0020,go:0003677,DNA binding
PMM0021,go:0008762,UDP-N-acetylmuramate dehydrogenase activity
PMM0021,go:0016614,"oxidoreductase activity, acting on CH-OH group of donors"
PMM0021,go:0071949,FAD binding
PMM0022,go:0005524,ATP binding
PMM0022,go:0008763,UDP-N-acetylmuramate-L-alanine ligase activity
PMM0022,go:0016874,ligase activity
PMM0023,go:0000166,nucleotide binding
PMM0023,go:0004365,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
PMM0023,go:0008886,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (non-phosphorylating) activity
PMM0023,go:0047100,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity
PMM0023,go:0050661,NADP binding
PMM0023,go:0051287,NAD binding
PMM0024,go:0000287,magnesium ion binding
PMM0024,go:0005524,ATP binding
PMM0024,go:0009030,thiamine-phosphate kinase activity
PMM0025,go:0003755,peptidyl-prolyl cis-trans isomerase activity
PMM0026,go:0003723,RNA binding
PMM0026,go:0003746,translation elongation factor activity
PMM0026,go:0008135,"translation factor activity, RNA binding"
PMM0026,go:1901363,heterocyclic compound binding
PMM0027,go:0003989,acetyl-CoA carboxylase activity
PMM0028,go:0046872,metal ion binding
PMM0028,go:0050570,4-hydroxythreonine-4-phosphate dehydrogenase activity
PMM0028,go:0051287,NAD binding
PMM0029,go:0016491,oxidoreductase activity
PMM0029,go:0051287,NAD binding
PMM0031,go:0003676,nucleic acid binding
PMM0031,go:0004519,endonuclease activity
PMM0031,go:0008270,zinc ion binding
PMM0035,go:0016491,oxidoreductase activity
PMM0035,go:0030170,pyridoxal phosphate binding
PMM0036,go:0016740,transferase activity
PMM0037,go:0003921,GMP synthase activity
PMM0037,go:0004066,asparagine synthase (glutamine-hydrolyzing) activity
PMM0037,go:0005524,ATP binding
PMM0037,go:0016462,pyrophosphatase activity
PMM0038,go:0004386,helicase activity
PMM0040,go:0003824,catalytic activity
PMM0040,go:0008658,penicillin binding
PMM0040,go:0008955,peptidoglycan glycosyltransferase activity
PMM0040,go:0009002,serine-type D-Ala-D-Ala carboxypeptidase activity
PMM0040,go:0071972,"peptidoglycan L,D-transpeptidase activity"
PMM0041,go:0008753,NADPH dehydrogenase (quinone) activity
PMM0041,go:0010181,FMN binding
PMM0041,go:0016491,oxidoreductase activity
PMM0041,go:0050136,NADH dehydrogenase (quinone) (non-electrogenic) activity
PMM0041,go:0052873,FMN reductase (NADPH) activity
PMM0042,go:0009055,electron transfer activity
PMM0042,go:0010181,FMN binding
PMM0042,go:0016646,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor"
PMM0042,go:0016787,hydrolase activity
PMM0042,go:0042602,riboflavin reductase (NADPH) activity
PMM0043,go:0009055,electron transfer activity
PMM0043,go:0010181,FMN binding
PMM0043,go:0016646,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor"
PMM0043,go:0016787,hydrolase activity
PMM0043,go:0042602,riboflavin reductase (NADPH) activity
PMM0043,go:0046872,metal ion binding
PMM0044,go:0000049,tRNA binding
PMM0044,go:0000166,nucleotide binding
PMM0044,go:0004813,alanine-tRNA ligase activity
PMM0044,go:0016597,amino acid binding
PMM0044,go:0031406,carboxylic acid binding
PMM0045,go:0008792,arginine decarboxylase activity
PMM0046,go:0004550,nucleoside diphosphate kinase activity
PMM0046,go:0005524,ATP binding
PMM0046,go:0046872,metal ion binding
PMM0047,go:0016491,oxidoreductase activity
PMM0047,go:0016647,"oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor"
PMM0047,go:0043799,glycine oxidase activity
PMM0047,go:0050660,flavin adenine dinucleotide binding
PMM0048,go:0050567,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity
PMM0049,go:0004140,dephospho-CoA kinase activity
PMM0049,go:0005524,ATP binding
PMM0050,go:0004042,L-glutamate N-acetyltransferase activity
PMM0050,go:0004358,"L-glutamate N-acetyltransferase activity, acting on acetyl-L-ornithine as donor"
PMM0050,go:0008080,N-acetyltransferase activity
PMM0052,go:0016491,oxidoreductase activity
PMM0053,go:0003723,RNA binding
PMM0053,go:0008990,rRNA (guanine-N2-)-methyltransferase activity
PMM0053,go:0016423,tRNA (guanine) methyltransferase activity
PMM0053,go:0070043,rRNA (guanine-N7-)-methyltransferase activity
PMM0053,go:1904047,S-adenosyl-L-methionine binding
PMM0055,go:0043022,ribosome binding
PMM0057,go:0005515,protein binding
PMM0057,go:0005524,ATP binding
PMM0059,go:0005543,phospholipid binding
PMM0059,go:0008915,lipid-A-disaccharide synthase activity
PMM0059,go:0016757,glycosyltransferase activity
PMM0060,go:0003989,acetyl-CoA carboxylase activity
PMM0060,go:0004075,biotin carboxylase activity
PMM0060,go:0005524,ATP binding
PMM0060,go:0016874,ligase activity
PMM0060,go:0046872,metal ion binding
PMM0065,go:0005524,ATP binding
PMM0065,go:0016887,ATP hydrolysis activity
PMM0065,go:0140359,ABC-type transporter activity
PMM0067,go:0003824,catalytic activity
PMM0068,go:0005506,iron ion binding
PMM0068,go:0042586,peptide deformylase activity
PMM0069,go:0008236,serine-type peptidase activity
PMM0069,go:0016787,hydrolase activity
PMM0070,go:0016829,lyase activity
PMM0070,go:0030170,pyridoxal phosphate binding
PMM0070,go:0031071,cysteine desulfurase activity
PMM0072,go:0005524,ATP binding
PMM0072,go:0016887,ATP hydrolysis activity
PMM0076,go:0000287,magnesium ion binding
PMM0076,go:0004614,phosphoglucomutase activity
PMM0077,go:0000166,nucleotide binding
PMM0077,go:0003677,DNA binding
PMM0077,go:0005524,ATP binding
PMM0077,go:0008047,enzyme activator activity
PMM0077,go:0009378,four-way junction helicase activity
PMM0077,go:0016887,ATP hydrolysis activity
PMM0077,go:0017116,single-stranded DNA helicase activity
PMM0078,go:0000287,magnesium ion binding
PMM0078,go:0008897,holo-[acyl-carrier-protein] synthase activity
PMM0078,go:0016740,transferase activity
PMM0079,go:0008379,thioredoxin peroxidase activity
PMM0079,go:0016491,oxidoreductase activity
PMM0079,go:0051920,peroxiredoxin activity
PMM0080,go:0004594,pantothenate kinase activity
PMM0080,go:0005524,ATP binding
PMM0081,go:0003824,catalytic activity
PMM0081,go:0004604,phosphoadenylyl-sulfate reductase (thioredoxin) activity
PMM0082,go:0003954,NADH dehydrogenase activity
PMM0082,go:0003955,NAD(P)H dehydrogenase (quinone) activity
PMM0082,go:0016491,oxidoreductase activity
PMM0082,go:0050660,flavin adenine dinucleotide binding
PMM0083,go:0008324,monoatomic cation transmembrane transporter activity
PMM0084,go:0008324,monoatomic cation transmembrane transporter activity
PMM0085,go:0008324,monoatomic cation transmembrane transporter activity
PMM0085,go:0022857,transmembrane transporter activity
PMM0089,go:0003676,nucleic acid binding
PMM0089,go:0005524,ATP binding
PMM0089,go:0015439,ABC-type heme transporter activity
PMM0089,go:0016887,ATP hydrolysis activity
PMM0090,go:0004252,serine-type endopeptidase activity
PMM0094,go:0008270,zinc ion binding
PMM0096,go:0008934,inositol monophosphate 1-phosphatase activity
PMM0096,go:0046872,metal ion binding
PMM0097,go:0005215,transporter activity
PMM0097,go:0015288,porin activity
PMM0097,go:0015562,efflux transmembrane transporter activity
PMM0100,go:0008734,L-aspartate oxidase activity
PMM0100,go:0033765,"steroid dehydrogenase activity, acting on the CH-CH group of donors"
PMM0101,go:0003756,protein disulfide isomerase activity
PMM0101,go:0005515,protein binding
PMM0101,go:0015035,protein-disulfide reductase activity
PMM0101,go:0016491,oxidoreductase activity
PMM0101,go:0048038,quinone binding
PMM0102,go:0008172,S-methyltransferase activity
PMM0102,go:0016782,"transferase activity, transferring sulphur-containing groups"
PMM0102,go:0051539,"4 iron, 4 sulfur cluster binding"
PMM0102,go:1904047,S-adenosyl-L-methionine binding
PMM0105,go:0008703,5-amino-6-(5-phosphoribosylamino)uracil reductase activity
PMM0106,go:0016829,lyase activity
PMM0106,go:0046872,metal ion binding
PMM0106,go:0070497,6-carboxytetrahydropterin synthase activity
PMM0107,go:0000287,magnesium ion binding
PMM0107,go:0004765,shikimate kinase activity
PMM0107,go:0005524,ATP binding
PMM0110,go:0004364,glutathione transferase activity
PMM0110,go:0005515,protein binding
PMM0110,go:0016034,maleylacetoacetate isomerase activity
PMM0112,go:0019843,rRNA binding
PMM0112,go:0043021,ribonucleoprotein complex binding
PMM0112,go:0043024,ribosomal small subunit binding
PMM0113,go:0004852,uroporphyrinogen-III synthase activity
PMM0115,go:0016719,"9,9^-di-cis-zeta-carotene desaturase activity"
PMM0116,go:0005198,structural molecule activity
PMM0116,go:0005488,binding
PMM0116,go:0030674,protein-macromolecule adaptor activity
PMM0116,go:0051537,"2 iron, 2 sulfur cluster binding"
PMM0117,go:0005515,protein binding
PMM0120,go:0003824,catalytic activity
PMM0121,go:0016655,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"
PMM0121,go:0048038,quinone binding
PMM0121,go:0050136,NADH dehydrogenase (quinone) (non-electrogenic) activity
PMM0122,go:0051082,unfolded protein binding
PMM0123,go:0004124,cysteine synthase activity
PMM0123,go:0016846,carbon-sulfur lyase activity
PMM0125,go:0005524,ATP binding
PMM0125,go:0016887,ATP hydrolysis activity
PMM0125,go:0022857,transmembrane transporter activity
PMM0125,go:0140359,ABC-type transporter activity
PMM0128,go:0000156,phosphorelay response regulator activity
PMM0128,go:0000976,transcription cis-regulatory region binding
PMM0128,go:0003677,DNA binding
PMM0129,go:0003677,DNA binding
PMM0129,go:0003887,DNA-directed DNA polymerase activity
PMM0130,go:0004798,dTMP kinase activity
PMM0130,go:0005524,ATP binding
PMM0130,go:0050145,nucleoside monophosphate kinase activity
PMM0131,go:0000166,nucleotide binding
PMM0131,go:0005507,copper ion binding
PMM0131,go:0005524,ATP binding
PMM0131,go:0016887,ATP hydrolysis activity
PMM0131,go:0043682,P-type divalent copper transporter activity
PMM0131,go:0046872,metal ion binding
PMM0132,go:0005515,protein binding
PMM0133,go:0000166,nucleotide binding
PMM0133,go:0003684,damaged DNA binding
PMM0133,go:0005524,ATP binding
PMM0133,go:0008270,zinc ion binding
PMM0133,go:0016787,hydrolase activity
PMM0133,go:0046872,metal ion binding
PMM0133,go:0140664,ATP-dependent DNA damage sensor activity
PMM0134,go:0000156,phosphorelay response regulator activity
PMM0134,go:0000976,transcription cis-regulatory region binding
PMM0134,go:0003677,DNA binding
PMM0135,go:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
PMM0135,go:0043811,phosphate:acyl-[acyl carrier protein] acyltransferase activity
PMM0136,go:0004314,[acyl-carrier-protein] S-malonyltransferase activity
PMM0136,go:0004315,3-oxoacyl-[acyl-carrier-protein] synthase activity
PMM0136,go:0016746,acyltransferase activity
PMM0136,go:0033818,beta-ketoacyl-acyl-carrier-protein synthase III activity
